Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,9.49,9.89,9.48,9.86,1615400,9.86
2012-05-03,8.96,9.46,8.95,9.31,1400000,9.31
2012-05-02,9.22,9.34,8.93,8.95,1218600,8.95
2012-05-01,9.01,9.10,8.55,9.02,1395100,9.02
2012-04-30,8.77,9.04,8.77,9.04,1261200,9.04
2012-04-27,8.91,9.20,8.72,8.77,1423700,8.77
2012-04-26,9.25,9.29,8.93,9.00,1173700,9.00
2012-04-25,9.31,9.39,9.10,9.24,1213600,9.24
2012-04-24,9.93,10.02,9.62,9.72,1495700,9.72
2012-04-23,10.00,10.22,9.92,9.93,1932500,9.93
2012-04-20,9.51,9.60,9.27,9.57,1566900,9.57
2012-04-19,9.51,9.88,9.27,9.71,1733300,9.71
2012-04-18,9.47,9.67,9.39,9.54,1047800,9.54
2012-04-17,9.53,9.53,9.08,9.33,1641100,9.33
2012-04-16,9.69,10.06,9.58,9.78,1399500,9.78
2012-04-13,9.53,9.85,9.53,9.80,1251000,9.80
2012-04-12,9.86,9.87,9.34,9.45,2242700,9.45
2012-04-11,10.04,10.10,9.83,9.87,1023000,9.87
2012-04-10,9.72,10.38,9.66,10.30,1847500,10.30
2012-04-09,9.70,9.76,9.52,9.59,1083000,9.59
2012-04-05,9.18,9.23,9.04,9.20,784000,9.20
2012-04-04,8.93,9.21,8.91,9.09,1566600,9.09
2012-04-03,8.56,8.75,8.44,8.64,1124200,8.64
2012-04-02,8.91,8.94,8.48,8.48,991900,8.48
2012-03-30,8.56,8.89,8.56,8.80,694400,8.80
2012-03-29,8.83,9.06,8.68,8.76,1372300,8.76
2012-03-28,8.51,8.87,8.45,8.65,1011900,8.65
2012-03-27,8.32,8.52,8.26,8.51,979800,8.51
2012-03-26,8.56,8.58,8.31,8.34,1616400,8.34
2012-03-23,9.11,9.36,8.85,8.88,1151800,8.88
2012-03-22,9.17,9.32,9.04,9.15,6893300,9.15
2012-03-21,8.83,9.00,8.74,8.91,760200,8.91
2012-03-20,8.86,9.01,8.79,8.90,1167000,8.90
2012-03-19,8.93,8.97,8.45,8.65,1915400,8.65
2012-03-16,8.82,9.00,8.80,8.91,748200,8.91
2012-03-15,9.13,9.22,8.86,8.87,1146800,8.87
2012-03-14,8.91,9.22,8.84,9.10,1147600,9.10
2012-03-13,9.23,9.35,8.87,8.87,1842900,8.87
2012-03-12,9.33,9.58,9.29,9.45,620900,9.45
2012-03-09,9.80,9.81,9.21,9.40,1560600,9.40
2012-03-08,9.99,10.24,9.74,9.80,1059100,9.80
2012-03-07,10.42,10.46,10.16,10.20,1124700,10.20
2012-03-06,10.25,10.62,10.19,10.50,1882400,10.50
2012-03-05,10.03,10.25,9.89,9.91,1192600,9.91
2012-03-02,9.54,10.08,9.46,9.94,1531700,9.94
2012-03-01,9.54,9.55,9.20,9.51,1134700,9.51
2012-02-29,9.17,9.69,9.03,9.69,1342200,9.69
2012-02-28,9.17,9.40,9.00,9.25,1322800,9.25
2012-02-27,9.42,9.60,9.04,9.18,1185100,9.18
2012-02-24,9.08,9.19,9.02,9.15,651700,9.15
2012-02-23,9.48,9.63,9.08,9.11,812100,9.11
2012-02-22,9.39,9.54,9.26,9.53,623300,9.53
2012-02-21,9.07,9.42,9.03,9.30,714700,9.30
2012-02-17,8.96,9.16,8.94,9.12,785500,9.12
2012-02-16,9.66,9.66,9.08,9.10,1581500,9.10
2012-02-15,9.26,9.75,9.25,9.67,1632700,9.67
2012-02-14,9.45,9.63,9.37,9.41,869800,9.41
2012-02-13,9.37,9.55,9.28,9.32,711400,9.32
2012-02-10,9.63,9.75,9.56,9.69,949700,9.69
2012-02-09,9.09,9.49,9.09,9.30,550200,9.30
2012-02-08,9.16,9.46,9.03,9.18,777800,9.18
2012-02-07,9.24,9.40,9.11,9.24,535900,9.24
2012-02-06,9.26,9.30,9.14,9.19,610900,9.19
2012-02-03,9.28,9.36,9.03,9.11,1320600,9.11
2012-02-02,9.82,9.93,9.64,9.77,729200,9.77
2012-02-01,10.32,10.43,9.88,9.93,1017100,9.93
2012-01-31,10.36,10.81,10.30,10.60,657400,10.60
2012-01-30,10.60,10.82,10.46,10.59,915900,10.59
2012-01-27,10.73,10.73,10.34,10.35,536200,10.35
2012-01-26,10.31,10.74,10.28,10.57,854900,10.57
2012-01-25,10.83,10.97,10.43,10.53,901400,10.53
2012-01-24,11.22,11.38,10.76,10.83,670900,10.83
2012-01-23,10.97,11.26,10.73,11.00,658800,11.00
2012-01-20,11.04,11.12,10.88,10.96,1013200,10.96
2012-01-19,11.03,11.24,10.93,11.02,751200,11.02
2012-01-18,11.86,11.92,11.20,11.22,679000,11.22
2012-01-17,11.49,11.94,11.40,11.85,564700,11.85
2012-01-13,11.92,12.17,11.80,11.85,887400,11.85
2012-01-12,11.65,12.01,11.59,11.64,539800,11.64
2012-01-11,12.03,12.08,11.70,11.74,597400,11.74
2012-01-10,11.95,12.03,11.82,11.90,777800,11.90
2012-01-09,12.45,12.82,12.37,12.42,651100,12.42
2012-01-06,12.53,12.89,12.34,12.63,692200,12.63
2012-01-05,13.03,13.37,12.35,12.53,938000,12.53
2012-01-04,12.75,12.99,12.60,12.74,541600,12.74
2012-01-03,12.19,12.65,12.07,12.52,818300,12.52
2011-12-30,13.00,13.16,12.81,13.12,930400,13.12
2011-12-29,13.23,13.30,12.86,12.96,671300,12.96
2011-12-28,12.68,13.48,12.66,13.39,1072200,13.39
2011-12-27,13.02,13.08,12.54,12.72,519500,12.72
2011-12-23,12.86,13.08,12.80,12.85,551000,12.85
2011-12-22,13.06,13.16,12.78,12.99,1046200,12.99
2011-12-21,13.61,14.03,13.12,13.26,978600,13.26
2011-12-20,14.26,14.29,13.43,13.46,1654600,13.46
2011-12-19,14.12,15.37,13.95,15.30,1296000,15.30
2011-12-16,14.53,14.85,13.89,14.52,1773200,14.52
2011-12-15,14.61,15.29,14.60,14.87,1461400,14.87
2011-12-14,15.17,15.58,14.87,15.32,1990900,15.32
2011-12-13,13.45,14.99,13.31,14.76,2060300,14.76
2011-12-12,13.90,14.40,13.88,13.89,1415000,13.89
2011-12-09,14.55,14.62,13.07,13.30,1689200,13.30
2011-12-08,13.81,14.73,13.67,14.61,1771500,14.61
2011-12-07,13.64,14.23,13.20,13.40,1780500,13.40
