Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,23.61,23.61,23.32,23.48,135700,23.48
2012-05-03,23.70,23.77,23.50,23.74,68300,23.74
2012-05-02,23.46,23.91,23.46,23.77,69000,23.77
2012-05-01,23.74,24.25,23.49,23.60,108000,23.60
2012-04-30,24.21,24.26,23.73,23.77,181500,23.77
2012-04-27,24.27,24.37,23.92,24.21,115000,24.21
2012-04-26,23.80,24.45,23.79,24.24,141600,24.24
2012-04-25,23.66,24.03,23.55,23.81,87300,23.81
2012-04-24,23.17,23.45,23.17,23.42,177900,23.42
2012-04-23,22.94,23.24,22.13,23.11,140100,23.11
2012-04-20,23.10,23.34,22.79,23.32,130600,23.32
2012-04-19,22.72,23.09,22.56,22.77,109000,22.77
2012-04-18,22.78,22.94,22.62,22.75,206800,22.75
2012-04-17,22.90,23.18,22.79,22.92,111200,22.92
2012-04-16,22.72,22.89,22.43,22.75,76900,22.75
2012-04-13,22.98,23.07,22.60,22.60,60900,22.60
2012-04-12,22.91,23.24,22.86,23.12,76400,23.12
2012-04-11,22.91,22.95,22.60,22.95,86600,22.95
2012-04-10,22.70,22.86,22.61,22.73,486600,22.73
2012-04-09,22.69,22.86,22.21,22.69,83100,22.69
2012-04-05,22.73,23.13,22.42,23.06,105900,23.06
2012-04-04,23.00,23.56,22.57,22.88,74200,22.88
2012-04-03,23.63,23.69,23.17,23.25,66600,23.25
2012-04-02,23.20,23.72,23.18,23.64,125300,23.64
2012-03-30,23.46,23.50,23.11,23.33,116300,23.33
2012-03-29,23.28,23.38,23.06,23.27,73900,23.27
2012-03-28,23.24,23.50,22.94,23.48,135500,23.48
2012-03-27,23.19,23.42,22.96,23.24,99000,23.24
2012-03-26,23.29,23.61,22.96,23.21,164200,23.21
2012-03-23,23.21,23.21,22.86,23.10,95000,23.10
2012-03-22,22.79,23.12,22.69,23.12,165800,23.12
2012-03-21,22.94,23.14,22.94,22.97,100500,22.97
2012-03-20,23.04,23.26,22.84,22.96,131600,22.96
2012-03-19,23.09,23.24,22.36,23.12,881300,23.12
2012-03-16,22.23,22.50,22.13,22.28,390700,22.28
2012-03-15,21.36,22.31,21.36,22.31,587200,22.31
2012-03-14,21.00,21.31,20.85,21.30,344000,21.30
2012-03-13,21.10,21.10,20.91,21.02,146200,21.02
2012-03-12,20.98,21.07,20.62,20.98,622100,20.98
2012-03-09,20.11,20.67,19.84,20.66,94200,20.66
2012-03-08,20.25,20.40,19.98,20.12,297800,20.12
2012-03-07,20.19,20.34,19.99,20.23,58100,20.23
2012-03-06,20.33,20.37,20.00,20.06,83900,20.06
2012-03-05,20.58,20.62,20.40,20.55,51100,20.55
2012-03-02,21.07,21.13,20.55,20.56,160100,20.56
2012-03-01,20.79,21.38,20.32,21.03,224300,21.03
2012-02-29,20.70,21.04,20.63,20.72,287600,20.72
2012-02-28,20.58,20.73,20.40,20.67,336900,20.67
2012-02-27,19.61,20.62,19.46,20.54,823500,20.54
2012-02-24,19.26,19.74,19.12,19.68,413000,19.68
2012-02-23,19.29,19.55,19.12,19.46,223400,19.46
2012-02-22,19.50,19.50,18.56,19.20,393900,19.20
2012-02-21,18.74,19.03,18.72,18.99,175300,18.99
2012-02-17,18.96,18.96,18.60,18.72,435500,18.72
2012-02-16,18.64,18.95,18.55,18.85,297400,18.85
2012-02-15,18.93,18.94,18.42,18.60,222200,18.60
2012-02-14,18.78,18.90,18.66,18.82,127800,18.82
2012-02-13,19.11,19.23,18.77,18.86,153800,18.86
2012-02-10,18.95,19.15,18.87,19.05,75100,19.05
2012-02-09,19.10,19.23,18.92,19.12,35100,19.12
2012-02-08,19.00,19.18,18.63,19.10,118500,19.10
2012-02-07,19.05,19.08,18.93,19.02,66000,19.02
2012-02-06,18.90,19.07,18.90,19.05,114400,19.05
