Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.13,13.13,12.99,13.13,18100,13.13
2012-05-03,13.06,13.18,12.96,13.13,72500,13.13
2012-05-02,13.00,13.14,12.92,13.00,97000,13.00
2012-05-01,12.91,13.20,12.91,13.20,28000,13.20
2012-04-30,13.22,13.23,13.00,13.08,40300,13.08
2012-04-27,13.42,13.44,12.81,13.07,68000,13.07
2012-04-26,13.20,13.33,13.10,13.21,13500,13.21
2012-04-25,13.47,13.54,13.11,13.18,23300,13.18
2012-04-24,13.11,13.25,13.07,13.20,53600,13.20
2012-04-23,13.13,13.20,12.81,13.14,117300,13.14
2012-04-20,13.22,13.70,12.91,13.19,255900,13.19
2012-04-19,13.25,13.25,13.13,13.19,75000,13.19
2012-04-18,13.11,13.18,12.92,13.15,23900,13.15
2012-04-17,13.10,13.21,13.10,13.14,19600,13.14
2012-04-16,13.25,13.25,13.01,13.10,14000,13.10
2012-04-13,13.40,13.40,13.02,13.25,31600,13.25
2012-04-12,13.05,14.09,13.05,13.81,55400,13.81
2012-04-11,13.22,13.30,12.83,13.07,64700,13.07
2012-04-10,14.24,14.24,13.33,13.47,52500,13.47
2012-04-09,13.35,14.06,13.20,13.97,23800,13.97
2012-04-05,13.85,13.87,13.55,13.61,59100,13.61
2012-04-04,14.15,14.15,13.76,13.78,52500,13.78
2012-04-03,14.68,14.75,14.25,14.38,102000,14.38
2012-04-02,14.75,14.84,14.51,14.56,219300,14.56
2012-03-30,15.11,15.14,14.70,14.80,55700,14.80
2012-03-29,14.67,15.33,14.67,15.03,166300,15.03
2012-03-28,14.60,14.65,14.44,14.57,21400,14.57
2012-03-27,14.40,14.55,14.24,14.46,64000,14.46
2012-03-26,14.51,14.67,14.35,14.47,66700,14.47
2012-03-23,13.96,14.70,13.95,14.35,73000,14.35
2012-03-22,13.71,14.05,13.62,13.99,43100,13.99
2012-03-21,13.98,13.98,13.63,13.71,44500,13.71
2012-03-20,13.62,14.00,13.51,13.92,21700,13.92
2012-03-19,13.60,13.86,13.35,13.77,400300,13.77
2012-03-16,13.70,13.70,13.60,13.60,45600,13.60
2012-03-15,14.05,14.15,13.68,13.75,53000,13.75
2012-03-14,14.16,14.24,13.69,13.75,116000,13.75
2012-03-13,13.98,14.02,13.82,14.00,39200,14.00
2012-03-12,14.25,14.59,13.75,13.89,70900,13.89
2012-03-09,13.00,14.59,13.00,14.19,241700,14.19
2012-03-08,11.90,12.44,11.82,12.00,39000,12.00
2012-03-07,11.75,11.87,11.75,11.76,43500,11.76
2012-03-06,11.83,11.83,11.75,11.77,37600,11.77
2012-03-05,11.75,11.95,11.75,11.90,10800,11.90
2012-03-02,12.00,12.01,11.75,11.75,58500,11.75
2012-03-01,11.75,12.05,11.75,11.94,57100,11.94
2012-02-29,11.62,11.79,11.52,11.67,33700,11.67
2012-02-28,11.51,11.69,11.50,11.61,9500,11.61
2012-02-27,11.53,11.68,11.50,11.65,29000,11.65
2012-02-24,11.60,11.92,11.52,11.69,37400,11.69
