Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,5.55,5.64,5.46,5.60,65000,5.60
2012-05-03,5.66,5.68,5.46,5.54,88000,5.54
2012-05-02,5.70,5.77,5.62,5.65,125600,5.65
2012-05-01,5.86,5.92,5.72,5.76,71000,5.76
2012-04-30,5.72,5.96,5.72,5.81,139000,5.81
2012-04-27,5.70,5.79,5.50,5.75,99000,5.75
2012-04-26,5.68,5.72,5.58,5.68,79400,5.68
2012-04-25,5.70,5.76,5.63,5.72,58300,5.72
2012-04-24,5.45,5.70,5.40,5.67,112900,5.67
2012-04-23,5.62,5.64,5.42,5.43,109100,5.43
2012-04-20,5.68,5.70,5.61,5.68,221100,5.68
2012-04-19,5.68,5.74,5.63,5.68,69800,5.68
2012-04-18,5.59,5.75,5.54,5.71,134500,5.71
2012-04-17,5.49,5.63,5.49,5.62,65100,5.62
2012-04-16,5.46,5.50,5.40,5.44,72600,5.44
2012-04-13,5.51,5.55,5.45,5.47,54300,5.47
2012-04-12,5.46,5.63,5.41,5.53,133400,5.53
2012-04-11,5.47,5.62,5.32,5.47,176800,5.47
2012-04-10,5.41,5.48,5.36,5.44,113200,5.44
2012-04-09,5.40,5.48,5.34,5.43,78500,5.43
2012-04-05,5.54,5.62,5.43,5.47,54600,5.47
2012-04-04,5.71,5.73,5.48,5.54,172700,5.54
2012-04-03,5.60,5.88,5.60,5.75,158400,5.75
2012-04-02,5.48,5.62,5.48,5.60,96400,5.60
2012-03-30,5.43,5.56,5.34,5.47,129300,5.47
2012-03-29,5.38,5.48,5.38,5.41,89300,5.41
2012-03-28,5.39,5.48,5.35,5.41,95500,5.41
2012-03-27,5.44,5.44,5.29,5.39,196400,5.39
2012-03-26,5.29,5.48,5.27,5.45,276400,5.45
2012-03-23,5.17,5.27,5.16,5.25,80700,5.25
2012-03-22,5.23,5.31,5.20,5.23,51100,5.23
2012-03-21,5.30,5.32,5.20,5.27,211200,5.27
2012-03-20,5.28,5.43,5.19,5.31,90800,5.31
2012-03-19,5.26,5.37,5.25,5.32,200700,5.32
2012-03-16,5.34,5.34,5.24,5.27,75600,5.27
2012-03-15,5.27,5.40,5.27,5.31,72500,5.31
2012-03-14,5.35,5.35,5.22,5.28,225700,5.28
2012-03-13,5.27,5.41,5.22,5.35,150200,5.35
2012-03-12,5.25,5.29,5.20,5.23,67300,5.23
2012-03-09,5.30,5.30,5.20,5.25,286400,5.25
