Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,93.08,93.79,91.09,91.77,212700,91.77
2012-05-03,97.93,98.00,92.73,93.53,211000,93.53
2012-05-02,96.85,98.69,95.64,97.90,109700,97.90
2012-05-01,98.67,98.71,96.65,96.96,308300,96.96
2012-04-30,100.33,101.45,97.34,98.68,150000,98.68
2012-04-27,99.38,101.61,97.07,100.55,295400,100.55
2012-04-26,90.50,104.87,86.96,99.05,903700,99.05
2012-04-25,84.67,86.55,82.95,86.18,148900,86.18
2012-04-24,85.92,87.43,83.32,83.88,158900,83.88
2012-04-23,85.31,86.30,82.46,85.86,266600,85.86
2012-04-20,88.83,88.83,86.04,86.13,176300,86.13
2012-04-19,86.95,88.20,85.86,86.71,136100,86.71
2012-04-18,86.80,87.24,85.31,86.73,211200,86.73
2012-04-17,88.01,89.42,86.77,86.96,157700,86.96
2012-04-16,88.64,89.29,84.34,86.40,261100,86.40
2012-04-13,90.58,91.56,87.51,88.38,119400,88.38
2012-04-12,88.86,91.31,87.48,90.50,102800,90.50
2012-04-11,88.72,90.56,87.88,88.59,145100,88.59
2012-04-10,88.54,89.87,87.15,87.64,220800,87.64
2012-04-09,88.13,93.28,87.82,88.29,191000,88.29
2012-04-05,88.54,90.43,88.50,89.15,138300,89.15
2012-04-04,91.44,94.22,88.28,88.54,223200,88.54
2012-04-03,94.04,95.55,91.56,92.12,165900,92.12
2012-04-02,94.00,94.60,93.36,94.06,109100,94.06
2012-03-30,95.63,95.63,93.90,94.28,83000,94.28
2012-03-29,94.29,95.94,93.47,94.85,92800,94.85
2012-03-28,95.25,96.35,94.51,94.79,169900,94.79
2012-03-27,99.28,99.28,95.01,95.46,340900,95.46
2012-03-26,98.22,101.39,98.18,100.36,416600,100.36
2012-03-23,98.46,98.96,97.45,97.70,156700,97.70
2012-03-22,98.42,99.84,97.80,98.03,154900,98.03
2012-03-21,100.20,100.70,98.67,99.32,76300,99.32
2012-03-20,100.01,101.01,98.74,99.85,48300,99.85
2012-03-19,100.32,101.80,100.00,100.47,68000,100.47
2012-03-16,100.17,101.71,98.98,100.35,127700,100.35
2012-03-15,98.14,100.23,98.14,100.01,85200,100.01
2012-03-14,99.79,99.88,98.11,98.30,40400,98.30
2012-03-13,98.87,100.16,98.18,100.07,74500,100.07
2012-03-12,98.23,99.79,97.14,97.98,69700,97.98
2012-03-09,97.04,101.14,97.02,98.34,77700,98.34
2012-03-08,96.87,97.70,96.50,96.80,65400,96.80
2012-03-07,96.91,97.37,96.16,96.48,82500,96.48
2012-03-06,97.57,98.00,96.09,96.19,109900,96.19
2012-03-05,99.75,99.75,97.53,98.17,71000,98.17
2012-03-02,103.05,103.05,98.50,99.74,180200,99.74
2012-03-01,103.45,103.99,101.92,103.00,98300,103.00
2012-02-29,103.48,103.52,100.51,102.89,179800,102.89
2012-02-28,104.38,105.00,101.66,103.02,506400,103.02
2012-02-27,109.68,111.35,105.47,105.60,135800,105.60
2012-02-24,112.47,113.11,111.34,111.36,107000,110.36
2012-02-23,110.99,112.68,110.71,112.46,81200,111.45
2012-02-22,112.00,113.55,110.50,111.13,147400,110.13
2012-02-21,110.14,113.44,110.07,112.01,106800,111.00
2012-02-17,106.79,112.65,106.57,110.13,143300,109.14
2012-02-16,108.15,109.67,102.00,106.57,501000,105.61
2012-02-15,116.29,117.90,114.05,115.08,109200,114.05
2012-02-14,116.33,118.61,113.58,115.55,107000,114.51
2012-02-13,116.20,117.63,114.00,116.64,150200,115.59
2012-02-10,117.10,117.10,114.43,115.04,125600,114.01
2012-02-09,116.41,118.78,116.41,118.26,73600,117.20
2012-02-08,116.30,116.96,114.52,116.41,76200,115.36
2012-02-07,118.05,119.16,116.09,116.40,68400,115.35
2012-02-06,118.27,119.29,116.33,118.52,46600,117.46
2012-02-03,118.00,120.00,116.52,118.49,98300,117.43
2012-02-02,118.03,118.03,115.45,116.04,101000,115.00
2012-02-01,109.88,119.16,109.88,118.65,190600,117.58
2012-01-31,110.82,112.49,107.45,108.80,90900,107.82
2012-01-30,109.51,110.99,108.17,109.96,66400,108.97
2012-01-27,111.05,112.46,108.81,110.15,163000,109.16
2012-01-26,118.81,118.81,111.41,111.74,188200,110.74
2012-01-25,116.34,118.86,115.68,118.28,63100,117.22
2012-01-24,112.79,118.58,110.92,116.62,92800,115.57
2012-01-23,112.68,114.84,111.53,113.61,65200,112.59
2012-01-20,110.89,113.00,109.99,112.67,87800,111.66
2012-01-19,111.00,113.80,108.89,111.17,173100,110.17
2012-01-18,113.50,113.50,107.00,110.80,177400,109.81
2012-01-17,115.21,118.47,110.02,113.73,122100,112.71
2012-01-13,111.14,115.95,109.25,113.92,104200,112.90
2012-01-12,113.32,113.90,112.23,112.39,93200,111.38
2012-01-11,107.46,113.56,105.50,113.34,181400,112.32
2012-01-10,99.62,108.03,98.95,107.74,179600,106.77
2012-01-09,97.27,98.99,96.41,98.98,68100,98.09
2012-01-06,94.56,97.18,94.44,96.69,168800,95.82
2012-01-05,94.73,95.00,93.17,94.27,66300,93.42
2012-01-04,94.14,95.00,92.51,94.99,78900,94.14
2012-01-03,99.40,99.46,93.59,94.44,136900,93.59
2011-12-30,97.74,98.01,96.69,97.19,63800,96.32
2011-12-29,97.00,98.05,96.84,97.66,37100,96.78
2011-12-28,97.94,98.87,96.09,96.55,42000,95.68
2011-12-27,97.81,98.34,95.94,97.74,51600,96.86
2011-12-23,94.45,97.97,94.03,97.87,48800,96.99
2011-12-22,93.00,94.56,92.19,93.84,112900,93.00
2011-12-21,92.75,93.78,91.66,92.41,128700,91.58
2011-12-20,92.97,93.95,91.88,92.53,156000,91.70
2011-12-19,93.87,95.20,91.00,91.49,92000,90.67
2011-12-16,91.64,94.05,88.80,93.59,356700,92.75
2011-12-15,89.76,91.48,89.41,90.83,121100,90.01
2011-12-14,90.32,91.00,87.72,88.74,179000,87.94
2011-12-13,96.47,97.98,90.15,90.95,164800,90.13
2011-12-12,95.51,97.20,93.50,96.31,99400,95.45
2011-12-09,93.93,97.90,93.20,96.30,75300,95.44
2011-12-08,97.17,97.31,92.76,93.65,119600,92.81
2011-12-07,98.27,99.77,97.31,97.43,118700,96.56
2011-12-06,98.81,100.04,98.27,98.73,129200,97.84
2011-12-05,98.91,99.37,96.79,98.85,140000,97.96
2011-12-02,97.10,98.67,95.73,98.20,88600,97.32
2011-12-01,96.84,97.84,95.68,95.82,129200,94.96
2011-11-30,94.10,97.42,92.90,97.26,164200,96.39
2011-11-29,91.00,92.79,90.11,91.01,94500,90.19
2011-11-28,90.16,91.67,87.04,90.91,118000,90.09
2011-11-25,91.74,92.24,87.93,88.03,54300,87.24
2011-11-23,93.53,94.83,91.82,91.90,217000,91.07
2011-11-22,96.14,96.85,93.81,94.07,173700,92.23
2011-11-21,94.80,96.63,94.32,96.12,215600,94.24
2011-11-18,96.82,98.54,94.32,96.19,142800,94.31
2011-11-17,96.30,99.51,95.34,96.33,184400,94.45
2011-11-16,96.41,99.09,94.39,96.25,134700,94.37
2011-11-15,93.36,97.27,93.20,97.01,158500,95.12
2011-11-14,93.67,95.44,93.06,93.92,129700,92.09
2011-11-11,91.98,97.26,89.03,95.07,250700,93.21
2011-11-10,88.35,91.73,88.31,91.08,157800,89.30
2011-11-09,91.02,92.17,86.94,87.30,135700,85.60
2011-11-08,92.39,92.74,88.80,92.33,207400,90.53
2011-11-07,90.86,93.86,89.89,91.56,153600,89.77
2011-11-04,89.71,92.75,89.55,91.20,210700,89.42
2011-11-03,86.72,91.00,80.10,90.84,521200,89.07
2011-11-02,81.89,81.89,78.14,78.66,402100,77.12
2011-11-01,83.18,84.21,81.43,82.65,217400,81.04
2011-10-31,86.83,87.54,85.11,85.21,191200,83.55
2011-10-28,88.95,89.50,87.73,87.84,178400,86.13
2011-10-27,89.13,92.36,88.07,89.06,278900,87.32
2011-10-26,89.80,89.97,84.51,86.68,240700,84.99
2011-10-25,91.21,92.10,88.90,89.23,114300,87.49
2011-10-24,88.32,92.57,87.00,91.45,179800,89.67
2011-10-21,86.82,89.04,85.36,87.98,169300,86.26
2011-10-20,89.62,90.00,83.90,85.32,211400,83.65
2011-10-19,88.02,90.61,87.42,89.30,244000,87.56
2011-10-18,84.37,87.78,83.14,87.34,169700,85.64
2011-10-17,87.40,88.83,82.61,83.95,175200,82.31
2011-10-14,90.07,91.01,86.71,87.75,177100,86.04
2011-10-13,87.61,89.96,85.34,89.40,163300,87.66
2011-10-12,86.07,88.88,85.03,88.36,142500,86.64
2011-10-11,84.07,86.95,83.01,85.10,137200,83.44
2011-10-10,86.52,88.49,82.74,84.19,204200,82.55
2011-10-07,83.91,88.07,82.34,85.64,384200,83.97
2011-10-06,78.85,84.20,77.83,83.70,476700,82.07
2011-10-05,75.75,83.21,75.75,79.35,362600,77.80
2011-10-04,70.20,75.87,69.34,75.82,305200,74.34
2011-10-03,76.11,77.34,70.50,70.67,240600,69.29
2011-09-30,76.50,78.80,76.32,76.67,268100,75.17
2011-09-29,78.47,79.71,74.48,77.85,186300,76.33
2011-09-28,82.64,84.14,76.83,77.05,155300,75.55
2011-09-27,83.61,84.85,81.22,82.36,274900,80.75
2011-09-26,80.24,82.03,76.52,81.22,204800,79.64
2011-09-23,76.37,80.46,75.26,78.81,182100,77.27
2011-09-22,78.99,80.25,75.54,76.18,414400,74.69
2011-09-21,83.80,86.53,80.06,80.34,330300,78.77
2011-09-20,86.22,87.89,82.73,82.97,235500,81.35
2011-09-19,88.28,89.21,85.50,86.33,156400,84.65
2011-09-16,91.77,94.14,89.44,89.58,254300,87.83
2011-09-15,89.17,93.13,89.17,91.43,213700,89.65
2011-09-14,87.32,90.92,86.68,88.18,363800,86.46
2011-09-13,85.88,88.39,84.89,87.19,258000,85.49
2011-09-12,85.47,86.66,82.98,85.75,216600,84.08
2011-09-09,86.00,88.02,85.49,86.61,211600,84.92
2011-09-08,89.43,91.02,85.95,86.52,228000,84.83
2011-09-07,88.74,91.01,87.85,89.77,261300,88.02
2011-09-06,88.19,89.15,85.86,87.46,217700,85.75
2011-09-02,90.00,91.39,89.02,90.11,312000,88.35
2011-09-01,95.01,95.69,90.17,91.03,218000,89.25
2011-08-31,98.16,98.61,93.67,94.65,246800,92.80
2011-08-30,95.26,98.30,94.03,97.54,186800,95.64
2011-08-29,93.53,95.93,93.51,95.69,167800,93.82
2011-08-26,89.94,93.98,89.71,92.67,259300,90.86
2011-08-25,93.34,93.70,88.01,90.67,458600,88.90
2011-08-24,90.00,94.90,88.35,93.97,432400,91.16
2011-08-23,85.33,90.00,81.90,89.19,412800,86.52
2011-08-22,90.50,90.85,84.81,85.28,319800,82.73
2011-08-19,90.75,92.41,88.40,88.60,270000,85.95
2011-08-18,97.78,100.98,90.68,91.41,443200,88.67
2011-08-17,101.92,104.14,99.32,99.83,179100,96.84
2011-08-16,99.50,103.70,99.50,101.66,379500,98.62
2011-08-15,102.44,104.99,99.61,100.57,369000,97.56
2011-08-12,105.99,105.99,100.01,101.83,431300,98.78
2011-08-11,104.47,107.60,102.86,105.18,212400,102.03
2011-08-10,104.37,106.61,101.55,104.00,367800,100.89
2011-08-09,104.52,107.16,99.60,106.67,646200,103.48
2011-08-08,109.40,110.48,103.76,103.93,331000,100.82
2011-08-05,113.15,114.64,110.15,111.00,259100,107.68
2011-08-04,116.99,118.82,112.98,113.13,271300,109.74
2011-08-03,116.51,119.26,115.02,118.48,184800,114.93
2011-08-02,118.81,119.95,116.65,116.90,263400,113.40
2011-08-01,121.97,122.07,116.10,119.40,292000,115.82
2011-07-29,120.00,122.52,116.01,121.65,242900,118.01
2011-07-28,130.00,130.00,120.00,122.25,822300,118.59
2011-07-27,145.00,145.29,142.23,143.25,271700,138.96
2011-07-26,144.00,147.19,143.04,145.30,194300,140.95
2011-07-25,143.00,145.44,142.01,144.38,189800,140.06
2011-07-22,139.75,144.22,138.13,144.10,132700,139.78
2011-07-21,139.24,141.32,133.87,139.27,161800,135.10
2011-07-20,139.44,140.32,138.01,139.24,111400,135.07
2011-07-19,138.44,140.53,137.74,138.91,141100,134.75
2011-07-18,137.53,138.96,136.56,137.48,81900,133.36
2011-07-15,136.65,141.99,135.44,137.81,113200,133.68
2011-07-14,138.13,139.21,135.00,135.87,113500,131.80
2011-07-13,137.19,142.20,134.05,137.48,227700,133.36
2011-07-12,133.29,139.53,132.38,137.03,188200,132.93
2011-07-11,135.94,136.65,132.08,133.83,103200,129.82
2011-07-08,136.71,138.42,133.73,137.48,170700,133.36
2011-07-07,131.03,142.46,129.35,137.83,424500,133.70
2011-07-06,131.15,131.15,128.60,130.31,148300,126.41
2011-07-05,128.86,132.00,127.98,131.17,154100,127.24
2011-07-01,127.29,130.59,127.29,128.86,182900,125.00
2011-06-30,125.33,128.87,125.33,126.39,169000,122.60
2011-06-29,125.29,126.10,123.52,124.46,153800,120.73
2011-06-28,122.72,128.21,122.21,125.39,245700,121.63
2011-06-27,124.00,124.24,121.59,121.78,427600,118.13
2011-06-24,124.88,127.48,121.18,123.39,1901200,119.69
2011-06-23,122.86,128.00,120.10,125.37,197600,121.62
2011-06-22,123.60,127.50,122.95,123.67,213900,119.97
2011-06-21,122.00,124.75,121.77,124.50,136100,120.77
2011-06-20,121.07,122.61,120.07,121.49,166900,117.85
2011-06-17,122.32,125.19,121.24,121.27,332300,117.64
2011-06-16,123.59,124.92,120.74,121.43,345800,117.79
2011-06-15,124.84,129.40,122.54,122.79,413000,119.11
2011-06-14,130.06,130.40,124.87,125.41,425400,121.65
2011-06-13,128.50,132.31,128.46,128.50,353600,124.65
2011-06-10,130.82,133.28,128.27,130.30,224700,126.40
2011-06-09,130.58,134.40,130.30,131.24,199600,127.31
2011-06-08,134.39,134.39,127.85,129.69,405800,125.81
2011-06-07,136.34,137.75,131.45,134.68,410800,130.65
2011-06-06,144.09,144.81,135.14,136.34,345800,132.26
2011-06-03,143.21,145.64,140.51,144.84,501400,140.50
2011-06-02,149.42,152.99,136.24,144.95,1982600,140.61
2011-06-01,119.96,122.76,117.42,121.87,433600,118.22
2011-05-31,121.51,121.58,119.51,120.18,212500,116.58
2011-05-27,120.33,121.56,118.22,120.68,62800,117.07
2011-05-26,121.59,122.50,119.66,119.87,110200,116.28
2011-05-25,119.10,123.50,118.23,121.61,265200,117.97
2011-05-24,115.55,121.00,113.33,120.00,378900,115.44
2011-05-23,115.53,116.32,113.51,116.20,260300,111.78
2011-05-20,118.86,118.86,115.64,116.65,162700,112.21
2011-05-19,120.84,121.35,116.97,118.79,138400,114.27
2011-05-18,121.20,122.25,119.33,119.96,108600,115.40
2011-05-17,121.13,121.77,119.10,120.99,179300,116.39
2011-05-16,123.64,124.31,121.15,121.36,102100,116.74
2011-05-13,123.79,124.64,122.61,123.50,176000,118.80
2011-05-12,121.63,124.13,120.40,123.55,223300,118.85
2011-05-11,119.01,122.45,118.15,122.22,233700,117.57
2011-05-10,117.66,120.60,117.47,119.75,116000,115.20
2011-05-09,118.53,118.53,114.99,117.10,248000,112.65
2011-05-06,122.26,122.26,118.40,118.40,95000,113.90
2011-05-05,121.13,122.37,120.00,120.92,115700,116.32
2011-05-04,122.34,122.34,118.52,121.43,426700,116.81
2011-05-03,122.59,125.04,121.06,121.84,283000,117.21
2011-05-02,124.46,125.66,121.99,122.65,222000,117.99
2011-04-29,126.59,127.21,123.13,123.88,260000,119.17
2011-04-28,125.30,129.40,120.98,126.57,746800,121.76
2011-04-27,118.85,122.07,116.75,121.20,322200,116.59
2011-04-26,119.93,120.28,118.37,118.80,231200,114.28
2011-04-25,120.00,121.89,119.50,119.75,182100,115.20
2011-04-21,119.23,120.98,117.74,119.98,153000,115.42
2011-04-20,119.50,120.49,117.14,118.37,135800,113.87
2011-04-19,120.45,120.45,116.38,118.32,238400,113.82
2011-04-18,120.33,121.78,119.20,119.95,274100,115.39
2011-04-15,123.27,123.55,120.57,120.96,392300,116.36
2011-04-14,124.24,125.60,122.64,122.66,253600,117.99
2011-04-13,134.54,134.70,123.74,124.38,669000,119.65
2011-04-12,140.45,142.29,133.80,133.94,194900,128.85
2011-04-11,142.50,145.51,140.47,140.85,173800,135.49
2011-04-08,141.98,143.41,139.55,142.72,176000,137.29
2011-04-07,147.62,148.57,145.53,145.87,132700,140.32
2011-04-06,144.46,149.62,143.22,148.03,290400,142.40
2011-04-05,134.11,144.55,133.92,144.25,411600,138.76
2011-04-04,131.45,134.25,129.99,134.22,167000,129.12
2011-04-01,130.99,134.44,130.87,131.52,217400,126.52
2011-03-31,129.00,130.53,127.64,130.49,190300,125.53
2011-03-30,127.79,130.55,127.56,130.30,222900,125.34
2011-03-29,126.00,127.91,123.09,127.06,602400,122.23
2011-03-28,132.48,134.50,131.35,133.67,103400,128.59
2011-03-25,132.27,133.78,131.50,132.56,115100,127.52
2011-03-24,130.62,132.72,129.51,132.22,172700,127.19
2011-03-23,131.00,131.00,129.26,130.32,91800,125.36
2011-03-22,131.25,132.49,129.25,130.96,438300,125.98
2011-03-21,131.91,133.72,130.03,130.98,182400,126.00
2011-03-18,131.08,131.96,130.20,130.43,177700,125.47
2011-03-17,133.77,134.96,129.63,129.72,192200,124.79
2011-03-16,136.51,137.04,132.01,132.14,208600,127.11
2011-03-15,135.96,138.47,135.96,136.89,201800,131.68
2011-03-14,138.97,141.63,138.68,138.72,135500,133.44
2011-03-11,138.83,141.69,138.83,139.69,176700,134.38
2011-03-10,139.56,141.25,138.77,139.31,176400,134.01
2011-03-09,139.40,141.37,138.00,140.76,192700,135.41
2011-03-08,135.68,140.50,135.60,139.01,369700,133.72
2011-03-07,138.98,140.62,135.05,135.40,283400,130.25
2011-03-04,143.00,144.12,137.71,138.37,347500,133.11
2011-03-03,143.09,145.48,141.24,143.39,181200,137.94
2011-03-02,136.98,142.46,135.00,141.24,255500,135.87
