Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,20.35,20.66,20.35,20.43,702500,20.43
2012-05-03,20.84,20.94,20.60,20.63,889200,20.63
2012-05-02,20.73,20.88,20.61,20.84,791400,20.84
2012-05-01,20.87,21.09,20.80,20.85,1780100,20.85
2012-04-30,20.85,20.95,20.70,20.87,3704300,20.87
2012-04-27,20.78,20.87,20.65,20.86,1311900,20.86
2012-04-26,20.30,20.84,20.30,20.71,1439200,20.71
2012-04-25,20.49,21.04,20.20,20.28,2854200,20.28
2012-04-24,20.35,20.42,20.22,20.33,2181400,20.33
2012-04-23,20.28,20.40,20.21,20.30,579000,20.30
2012-04-20,20.37,20.47,20.28,20.45,1421900,20.45
2012-04-19,20.39,20.41,20.16,20.26,1081200,20.26
2012-04-18,20.28,20.36,20.13,20.32,1693000,20.32
2012-04-17,20.28,20.54,20.25,20.37,7295700,20.37
2012-04-16,20.75,21.01,20.72,20.93,602000,20.93
2012-04-13,20.75,20.82,20.58,20.63,338200,20.63
2012-04-12,20.64,20.87,20.53,20.74,653300,20.74
2012-04-11,20.59,20.64,20.36,20.59,510100,20.59
2012-04-10,20.66,20.72,20.33,20.44,956700,20.44
2012-04-09,20.51,20.72,20.41,20.60,600700,20.60
2012-04-05,20.67,20.80,20.58,20.67,403100,20.67
2012-04-04,20.54,20.92,20.49,20.76,655700,20.76
2012-04-03,21.01,21.06,20.70,20.79,912800,20.79
2012-04-02,21.02,21.06,20.94,20.99,1020100,20.99
2012-03-30,20.90,21.02,20.89,21.02,884500,21.02
2012-03-29,20.76,20.96,20.68,20.84,607600,20.84
2012-03-28,20.97,21.03,20.71,20.84,960200,20.84
2012-03-27,21.75,21.79,21.45,21.46,1351500,21.02
2012-03-26,21.65,21.76,21.52,21.69,1091400,21.25
2012-03-23,21.50,21.53,21.43,21.50,780800,21.06
2012-03-22,21.39,21.62,21.25,21.49,952700,21.05
2012-03-21,21.52,21.59,21.41,21.50,792700,21.06
2012-03-20,21.34,21.57,21.30,21.41,434700,20.97
2012-03-19,21.42,21.59,21.31,21.41,971700,20.97
2012-03-16,21.20,21.46,21.15,21.42,2072000,20.98
2012-03-15,20.91,21.24,20.87,21.15,639100,20.72
2012-03-14,21.21,21.22,20.83,20.86,563700,20.43
2012-03-13,21.13,21.22,20.94,21.20,686400,20.77
2012-03-12,21.00,21.03,20.88,20.97,608500,20.54
2012-03-09,20.80,21.09,20.65,20.95,745000,20.52
2012-03-08,20.76,20.95,20.61,20.80,682900,20.37
2012-03-07,20.69,20.70,20.48,20.70,438700,20.28
2012-03-06,20.70,20.97,20.50,20.55,888500,20.13
2012-03-05,20.56,21.00,20.26,20.96,1524400,20.53
2012-03-02,20.01,20.90,20.00,20.55,2675300,20.13
2012-03-01,19.90,20.02,19.61,19.97,1136100,19.56
2012-02-29,20.05,20.23,19.74,19.74,1320200,19.34
2012-02-28,20.32,20.38,19.98,20.10,735000,19.69
2012-02-27,19.97,20.37,19.88,20.37,828000,19.95
2012-02-24,19.90,20.15,19.86,20.04,379900,19.63
2012-02-23,19.79,19.99,19.75,19.96,383800,19.55
2012-02-22,20.00,20.00,19.69,19.75,555900,19.35
2012-02-21,20.02,20.17,19.95,20.02,848900,19.61
2012-02-17,20.24,20.31,20.14,20.25,372900,19.83
2012-02-16,19.89,20.24,19.89,20.16,447100,19.75
2012-02-15,19.92,20.12,19.79,19.95,462200,19.54
2012-02-14,20.04,20.08,19.77,19.82,333400,19.41
2012-02-13,20.00,20.21,19.93,20.06,575300,19.65
2012-02-10,19.87,20.05,19.78,19.85,422500,19.44
2012-02-09,19.94,20.09,19.82,19.99,650500,19.58
2012-02-08,19.92,20.00,19.85,19.90,680800,19.49
2012-02-07,19.63,19.89,19.60,19.88,585100,19.47
2012-02-06,19.71,19.75,19.62,19.63,440700,19.23
2012-02-03,19.88,19.93,19.69,19.72,931100,19.32
2012-02-02,19.77,19.82,19.63,19.66,605500,19.26
2012-02-01,19.78,19.89,19.68,19.71,1192700,19.31
2012-01-31,19.73,19.84,19.63,19.70,735000,19.30
2012-01-30,19.63,19.72,19.55,19.65,575600,19.25
2012-01-27,19.61,19.72,19.52,19.71,674300,19.31
2012-01-26,19.50,19.67,19.49,19.65,942700,19.25
2012-01-25,19.39,19.51,19.30,19.45,1002900,19.05
2012-01-24,19.20,19.44,19.11,19.38,352700,18.98
2012-01-23,19.27,19.42,19.20,19.30,337500,18.90
2012-01-20,19.18,19.28,19.04,19.28,501900,18.88
2012-01-19,19.14,19.21,19.00,19.16,472700,18.77
2012-01-18,18.96,19.16,18.91,19.11,387800,18.72
2012-01-17,19.12,19.27,18.77,18.92,650700,18.53
2012-01-13,19.00,19.12,18.81,19.05,495100,18.66
2012-01-12,19.11,19.19,19.01,19.15,589500,18.76
2012-01-11,18.90,19.18,18.78,19.16,959600,18.77
2012-01-10,18.87,18.94,18.84,18.92,603100,18.53
2012-01-09,18.64,18.79,18.46,18.68,671800,18.30
2012-01-06,18.80,18.91,18.56,18.57,525700,18.19
2012-01-05,18.81,18.89,18.56,18.73,577200,18.35
2012-01-04,18.95,19.00,18.75,18.81,697700,18.42
2012-01-03,18.84,19.02,18.72,18.93,810700,18.54
2011-12-30,18.53,18.75,18.49,18.51,613900,18.13
2011-12-29,18.53,18.56,18.31,18.49,551700,18.11
2011-12-28,18.63,18.67,18.49,18.52,720600,18.14
2011-12-27,19.05,19.07,18.90,19.00,638700,18.18
2011-12-23,19.04,19.11,18.90,19.00,604700,18.18
2011-12-22,19.10,19.32,18.90,18.93,747200,18.11
2011-12-21,19.05,19.21,18.96,19.04,586600,18.22
2011-12-20,18.93,19.20,18.86,19.13,802800,18.30
2011-12-19,19.11,19.16,18.66,18.71,764700,17.90
2011-12-16,18.90,19.12,18.76,19.05,1391400,18.23
2011-12-15,18.90,18.92,18.39,18.78,860500,17.97
2011-12-14,18.50,18.85,18.45,18.70,807200,17.89
2011-12-13,18.65,18.91,18.50,18.52,1185400,17.72
2011-12-12,18.52,18.64,18.46,18.56,684500,17.76
2011-12-09,18.28,18.67,18.14,18.61,589800,17.81
2011-12-08,18.51,18.52,18.15,18.18,562100,17.39
2011-12-07,18.41,18.64,18.33,18.61,778600,17.81
2011-12-06,18.17,18.49,18.10,18.36,696000,17.57
2011-12-05,18.00,18.37,17.91,18.21,826400,17.42
2011-12-02,17.78,17.87,17.51,17.79,1161200,17.02
2011-12-01,17.90,18.01,17.56,17.57,1293900,16.81
2011-11-30,17.94,17.95,17.66,17.84,1524200,17.07
2011-11-29,17.93,17.93,17.50,17.50,655800,16.74
2011-11-28,17.99,17.99,17.67,17.85,808700,17.08
2011-11-25,17.55,17.87,17.47,17.49,283900,16.73
2011-11-23,17.96,18.07,17.53,17.56,786100,16.80
2011-11-22,18.14,18.20,17.98,18.08,755200,17.30
2011-11-21,18.12,18.26,18.02,18.12,921100,17.34
2011-11-18,18.03,18.34,18.03,18.33,900900,17.54
2011-11-17,18.38,18.38,17.95,18.01,789600,17.23
2011-11-16,18.43,18.60,18.30,18.31,728300,17.52
2011-11-15,18.57,18.65,18.31,18.53,721500,17.73
2011-11-14,18.75,18.76,18.50,18.64,680500,17.84
2011-11-11,19.03,19.03,18.65,18.80,802500,17.99
2011-11-10,18.87,18.91,18.51,18.74,1031800,17.93
2011-11-09,18.64,18.88,18.50,18.70,1135500,17.89
2011-11-08,19.02,19.02,18.73,18.98,625500,18.16
2011-11-07,18.85,19.01,18.68,18.97,574800,18.15
2011-11-04,18.97,19.05,18.61,18.80,565700,17.99
2011-11-03,18.99,19.08,18.63,19.01,742500,18.19
2011-11-02,18.79,18.96,18.60,18.91,602100,18.09
2011-11-01,18.30,18.91,18.29,18.35,956900,17.56
2011-10-31,18.75,19.06,18.60,18.79,734500,17.98
2011-10-28,19.06,19.25,18.82,18.98,686000,18.16
2011-10-27,19.22,19.24,18.76,19.14,1342100,18.31
2011-10-26,18.56,18.56,18.32,18.51,652100,17.71
2011-10-25,18.47,18.61,18.25,18.29,548900,17.50
2011-10-24,18.47,18.80,18.35,18.67,971300,17.86
2011-10-21,18.30,18.46,17.97,18.32,754800,17.53
2011-10-20,18.00,18.22,17.60,18.07,584200,17.29
2011-10-19,17.96,18.39,17.85,18.01,724200,17.23
2011-10-18,17.48,18.16,17.38,17.94,860700,17.17
2011-10-17,17.73,17.73,17.36,17.40,553500,16.65
2011-10-14,17.74,17.91,17.67,17.79,527000,17.02
2011-10-13,17.67,17.89,17.32,17.56,485000,16.80
2011-10-12,17.74,17.90,17.62,17.72,709600,16.95
2011-10-11,17.53,17.68,17.33,17.57,457900,16.81
2011-10-10,17.10,17.62,17.05,17.60,707500,16.84
2011-10-07,17.37,17.40,16.70,16.74,824000,16.02
2011-10-06,16.76,17.27,16.65,17.26,1073900,16.51
2011-10-05,16.77,16.99,16.36,16.85,788700,16.12
2011-10-04,16.27,16.78,15.89,16.74,1668100,16.02
2011-10-03,17.12,17.43,16.40,16.40,1220600,15.69
2011-09-30,17.19,17.41,17.08,17.16,649700,16.42
2011-09-29,17.45,17.65,16.99,17.33,678700,16.58
2011-09-28,17.91,17.92,17.13,17.13,865100,16.39
2011-09-27,18.32,18.49,18.03,18.31,1040100,17.10
2011-09-26,17.63,17.95,17.43,17.94,786100,16.75
2011-09-23,17.21,17.69,17.14,17.43,792700,16.28
2011-09-22,17.22,17.48,16.85,17.27,1282300,16.13
2011-09-21,18.09,18.16,17.42,17.53,899400,16.37
2011-09-20,18.29,18.42,18.01,18.02,546100,16.83
2011-09-19,18.22,18.39,18.01,18.21,381100,17.00
2011-09-16,18.51,18.57,18.19,18.49,972600,17.27
2011-09-15,18.20,18.36,17.96,18.36,391500,17.14
2011-09-14,18.05,18.19,17.63,18.04,428800,16.85
2011-09-13,17.62,17.99,17.43,17.91,547300,16.72
2011-09-12,17.59,17.83,17.26,17.55,566000,16.39
2011-09-09,17.88,18.00,17.65,17.82,1010800,16.64
2011-09-08,18.21,18.38,17.88,18.00,658900,16.81
2011-09-07,17.99,18.38,17.76,18.36,920900,17.14
2011-09-06,17.08,17.58,17.08,17.55,586900,16.39
2011-09-02,17.54,17.91,17.45,17.53,721400,16.37
2011-09-01,18.55,18.55,17.65,17.78,875200,16.60
2011-08-31,18.58,18.70,18.29,18.50,548100,17.28
2011-08-30,18.17,18.48,17.91,18.35,609500,17.14
2011-08-29,17.66,18.38,17.63,18.34,769600,17.13
2011-08-26,17.27,17.63,17.11,17.40,1583700,16.25
2011-08-25,17.82,17.99,17.18,17.38,1634300,16.23
2011-08-24,17.74,17.91,17.25,17.70,708200,16.53
2011-08-23,17.35,17.72,17.20,17.69,777200,16.52
2011-08-22,17.79,17.84,17.07,17.26,812000,16.12
2011-08-19,17.60,18.07,17.35,17.37,824400,16.22
2011-08-18,18.38,18.43,17.65,17.84,1207000,16.66
2011-08-17,18.95,19.08,18.71,18.87,579600,17.62
2011-08-16,18.69,19.03,18.65,18.91,846700,17.66
2011-08-15,18.49,19.05,18.36,19.01,589300,17.75
2011-08-12,18.63,18.73,18.18,18.26,597000,17.05
2011-08-11,17.65,18.88,17.58,18.52,1121800,17.29
2011-08-10,18.39,18.47,17.50,17.56,1668500,16.40
2011-08-09,16.87,18.91,16.58,18.85,2726100,17.60
2011-08-08,17.65,18.29,16.64,16.64,2952700,15.54
2011-08-05,18.50,18.78,18.00,18.02,2292800,16.83
2011-08-04,19.21,19.26,18.30,18.31,1650700,17.10
2011-08-03,19.25,19.40,18.95,19.35,1153800,18.07
2011-08-02,19.55,19.64,19.05,19.20,2243000,17.93
2011-08-01,19.68,19.75,19.48,19.64,927900,18.34
2011-07-29,19.58,19.72,19.30,19.40,1650700,18.12
2011-07-28,19.85,19.91,19.65,19.77,1113400,18.46
2011-07-27,20.07,20.08,19.67,19.85,1197700,18.54
2011-07-26,20.30,20.30,20.07,20.08,866100,18.75
2011-07-25,20.31,20.36,20.13,20.29,1046800,18.95
2011-07-22,20.56,20.60,20.35,20.39,1428800,19.04
2011-07-21,20.74,20.93,20.53,20.54,780200,19.18
