Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,11.23,11.28,11.15,11.20,81300,11.20
2012-05-03,11.13,11.37,11.03,11.24,136900,11.24
2012-05-02,10.96,11.14,10.90,11.09,122500,11.09
2012-05-01,10.99,11.10,10.91,10.98,79000,10.98
2012-04-30,11.02,11.03,10.87,10.93,58000,10.93
2012-04-27,10.93,11.04,10.90,11.02,43900,11.02
2012-04-26,10.87,11.02,10.85,10.95,44300,10.95
2012-04-25,11.02,11.03,10.85,10.87,51300,10.87
2012-04-24,10.67,11.02,10.67,11.02,55100,11.02
2012-04-23,10.80,10.81,10.65,10.70,58400,10.70
2012-04-20,10.95,10.98,10.76,10.82,45700,10.82
2012-04-19,10.75,10.99,10.66,10.83,58300,10.83
2012-04-18,10.91,10.95,10.74,10.78,52300,10.78
2012-04-17,10.77,11.03,10.65,10.91,85600,10.91
2012-04-16,10.82,10.87,10.34,10.65,206800,10.65
2012-04-13,10.88,11.00,10.81,10.87,43700,10.87
2012-04-12,10.92,11.00,10.83,10.94,47200,10.94
2012-04-11,10.91,10.92,10.82,10.92,46600,10.92
2012-04-10,11.01,11.08,10.85,10.86,102700,10.86
2012-04-09,11.01,11.35,11.00,11.06,71700,11.06
2012-04-05,11.11,11.26,11.05,11.17,50600,11.17
2012-04-04,11.14,11.22,11.07,11.19,54100,11.19
2012-04-03,11.24,11.39,11.15,11.18,64100,11.18
2012-04-02,11.16,11.39,11.14,11.30,60400,11.30
2012-03-30,11.31,11.31,11.13,11.16,132700,11.16
2012-03-29,11.09,11.25,11.09,11.23,73700,11.23
2012-03-28,11.25,11.26,11.05,11.18,57000,11.18
2012-03-27,11.14,11.35,11.07,11.25,55200,11.25
2012-03-26,11.16,11.18,11.06,11.10,59900,11.10
2012-03-23,11.06,11.17,10.98,11.14,60200,11.14
2012-03-22,11.00,11.07,11.00,11.05,44700,11.05
2012-03-21,11.01,11.12,10.91,11.01,57400,11.01
2012-03-20,11.13,11.35,11.10,11.21,146800,11.01
2012-03-19,11.00,11.13,11.00,11.09,60200,10.89
2012-03-16,11.02,11.05,10.91,11.02,162200,10.82
2012-03-15,10.90,11.02,10.80,11.01,37700,10.81
2012-03-14,10.98,11.03,10.84,10.86,55400,10.67
2012-03-13,11.03,11.03,10.94,10.95,72900,10.75
2012-03-12,10.97,11.03,10.89,10.96,79600,10.76
2012-03-09,11.12,11.17,10.90,10.95,92200,10.75
2012-03-08,11.13,11.15,11.00,11.12,49200,10.92
2012-03-07,10.80,11.13,10.80,11.07,94700,10.87
2012-03-06,10.87,10.93,10.75,10.75,45600,10.56
2012-03-05,10.80,11.05,10.75,10.97,59900,10.77
2012-03-02,10.84,10.93,10.75,10.77,59700,10.58
2012-03-01,11.05,11.14,10.80,10.80,57300,10.61
2012-02-29,10.95,11.07,10.83,10.95,77700,10.75
2012-02-28,10.91,11.00,10.81,10.94,41500,10.74
2012-02-27,10.84,10.96,10.75,10.94,45200,10.74
2012-02-24,10.94,10.94,10.76,10.85,39000,10.66
2012-02-23,10.75,10.95,10.75,10.91,44200,10.72
2012-02-22,10.95,11.05,10.78,10.78,60200,10.59
2012-02-21,11.05,11.10,10.94,10.95,58000,10.75
2012-02-17,11.10,11.14,11.00,11.09,55300,10.89
2012-02-16,10.79,11.08,10.79,11.08,35100,10.88
2012-02-15,11.05,11.09,10.76,10.77,31300,10.58
2012-02-14,11.07,11.14,10.96,10.99,38600,10.79
2012-02-13,11.08,11.16,10.99,11.09,39100,10.89
2012-02-10,10.90,11.11,10.82,10.97,47000,10.77
2012-02-09,11.10,11.19,10.96,11.04,38000,10.84
2012-02-08,11.04,11.17,10.96,11.09,45300,10.89
2012-02-07,11.05,11.14,10.90,10.99,66300,10.79
2012-02-06,11.03,11.15,11.00,11.09,44900,10.89
2012-02-03,11.19,11.19,11.02,11.10,89200,10.90
2012-02-02,11.05,11.19,11.03,11.08,54600,10.88
2012-02-01,11.18,11.21,11.06,11.10,106000,10.90
2012-01-31,11.11,11.12,10.98,11.07,41700,10.87
2012-01-30,11.01,11.10,10.92,11.07,60300,10.87
2012-01-27,11.02,11.13,11.02,11.05,59900,10.85
2012-01-26,11.18,11.20,11.00,11.07,67100,10.87
2012-01-25,11.24,11.33,11.11,11.19,114200,10.99
2012-01-24,10.52,11.28,10.51,11.24,87400,11.04
2012-01-23,10.92,11.03,10.58,10.65,102700,10.46
2012-01-20,10.85,11.02,10.85,10.97,59200,10.77
2012-01-19,11.00,11.32,10.76,10.90,124800,10.71
2012-01-18,11.01,11.12,11.00,11.11,64700,10.91
2012-01-17,11.25,11.30,11.00,11.02,93200,10.82
2012-01-13,11.16,11.25,11.02,11.18,39900,10.98
2012-01-12,11.50,11.50,11.13,11.19,59500,10.99
2012-01-11,11.37,11.48,11.22,11.45,45200,11.25
2012-01-10,11.32,11.43,11.19,11.38,50300,11.18
2012-01-09,11.24,11.26,11.12,11.14,46500,10.94
2012-01-06,11.32,11.34,11.14,11.18,52500,10.98
2012-01-05,11.21,11.30,11.10,11.29,31500,11.09
2012-01-04,11.20,11.50,11.12,11.24,55800,11.04
2012-01-03,11.63,11.65,11.20,11.23,72300,11.03
2011-12-30,11.21,11.44,11.20,11.38,46300,11.18
2011-12-29,11.27,11.40,11.14,11.17,47400,10.97
2011-12-28,11.26,11.32,11.11,11.20,35000,11.00
2011-12-27,11.35,11.40,11.10,11.29,62700,11.09
2011-12-23,11.47,11.49,11.34,11.41,43600,11.21
2011-12-22,11.50,11.50,11.36,11.40,43600,11.20
2011-12-21,11.56,11.57,11.43,11.44,62600,11.24
2011-12-20,11.57,11.57,11.45,11.53,69000,11.32
2011-12-19,11.41,11.56,11.40,11.42,37500,11.22
2011-12-16,11.48,11.48,11.23,11.38,102800,11.18
2011-12-15,11.55,11.55,11.15,11.41,71000,11.21
2011-12-14,11.00,11.55,10.94,11.50,114400,11.29
2011-12-13,11.59,11.65,10.99,10.99,123500,10.79
2011-12-12,11.46,11.64,11.37,11.50,71000,11.29
2011-12-09,11.40,11.71,11.40,11.60,98600,11.39
2011-12-08,11.56,11.61,11.35,11.42,50400,11.22
2011-12-07,11.71,11.75,11.58,11.62,79900,11.41
2011-12-06,11.75,11.80,11.67,11.72,61700,11.51
2011-12-05,11.87,11.88,11.68,11.73,65100,11.52
