Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,36.89,37.05,36.55,36.75,368200,36.75
2012-05-03,37.57,37.91,37.00,37.17,217900,37.17
2012-05-02,37.50,37.78,37.16,37.53,313900,37.53
2012-05-01,37.91,38.36,37.50,37.53,353700,37.53
2012-04-30,38.50,39.31,37.60,37.71,691500,37.71
2012-04-27,37.66,38.55,37.49,38.25,839900,38.25
2012-04-26,35.71,37.76,34.98,37.21,1166500,37.21
2012-04-25,34.52,34.89,33.83,34.78,227300,34.78
2012-04-24,33.58,34.38,33.46,34.00,198400,34.00
2012-04-23,33.70,34.46,33.31,33.52,178600,33.52
2012-04-20,34.58,34.76,34.11,34.31,205200,34.31
2012-04-19,34.27,34.77,33.75,33.94,182300,33.94
2012-04-18,34.34,34.47,33.83,34.12,213400,34.12
2012-04-17,33.93,34.79,33.93,34.38,259600,34.38
2012-04-16,33.30,33.87,33.12,33.54,172800,33.54
2012-04-13,33.59,33.84,33.14,33.15,257100,33.15
2012-04-12,33.60,33.91,33.43,33.83,152000,33.83
2012-04-11,33.20,33.47,32.87,33.47,173200,33.47
2012-04-10,33.36,33.61,32.55,32.82,327000,32.82
2012-04-09,33.58,33.80,33.27,33.57,195800,33.57
2012-04-05,34.19,34.63,34.04,34.38,89500,34.38
2012-04-04,34.82,35.10,34.26,34.46,257600,34.46
2012-04-03,35.35,35.54,34.83,35.35,331900,35.35
2012-04-02,34.60,35.44,34.26,35.43,301700,35.43
2012-03-30,35.49,35.49,34.62,34.62,164900,34.62
2012-03-29,34.91,35.32,34.10,35.10,373400,35.10
2012-03-28,35.04,35.38,34.58,35.15,421800,35.15
2012-03-27,35.83,35.83,34.66,34.91,525100,34.91
2012-03-26,36.15,36.61,35.59,35.75,274100,35.75
2012-03-23,34.83,35.68,34.44,35.63,260300,35.63
2012-03-22,34.81,34.85,34.32,34.73,251400,34.73
2012-03-21,35.64,35.64,34.76,35.19,511600,35.19
2012-03-20,35.76,35.87,35.18,35.44,245100,35.44
2012-03-19,35.28,36.38,34.75,36.14,354300,36.14
2012-03-16,34.99,35.45,34.68,35.24,409200,35.24
2012-03-15,34.64,35.16,34.30,34.91,427100,34.91
2012-03-14,34.96,35.69,34.13,34.68,535900,34.68
2012-03-13,34.56,35.73,34.46,35.55,277800,35.55
2012-03-12,34.51,34.59,34.20,34.37,209300,34.37
2012-03-09,34.34,34.96,34.12,34.60,286300,34.60
2012-03-08,34.00,34.45,33.71,34.33,301700,34.33
2012-03-07,33.55,33.83,33.27,33.76,363200,33.76
2012-03-06,33.77,34.24,32.94,33.26,532200,33.26
2012-03-05,33.48,34.38,33.09,34.25,315100,34.25
2012-03-02,34.19,34.46,33.41,33.63,317800,33.63
2012-03-01,34.12,34.91,34.12,34.19,329700,34.19
2012-02-29,34.05,34.45,33.73,33.89,460500,33.89
2012-02-28,33.36,34.18,33.17,33.97,661300,33.97
2012-02-27,32.52,33.34,32.09,33.14,415500,33.14
2012-02-24,33.64,33.84,32.51,32.80,599800,32.80
2012-02-23,32.79,33.96,32.76,33.75,313900,33.75
2012-02-22,33.99,33.99,32.85,32.85,362100,32.85
2012-02-21,33.00,33.58,32.60,33.49,478400,33.49
2012-02-17,33.40,33.49,32.87,32.95,333900,32.95
2012-02-16,32.54,33.50,32.42,33.47,284300,33.47
2012-02-15,32.76,32.94,32.42,32.61,317000,32.61
2012-02-14,32.64,32.81,32.29,32.65,235300,32.65
2012-02-13,32.81,32.88,32.43,32.75,220800,32.75
2012-02-10,32.29,32.59,32.09,32.38,766500,32.38
2012-02-09,33.05,33.18,32.60,32.75,239200,32.75
2012-02-08,32.96,33.20,32.39,32.90,433000,32.90
2012-02-07,32.85,33.50,32.85,32.98,335600,32.98
2012-02-06,33.00,33.44,32.91,33.09,192900,33.09
2012-02-03,33.18,33.36,32.90,33.11,441900,33.11
2012-02-02,32.85,33.00,32.39,32.89,382700,32.89
2012-02-01,32.00,32.97,31.90,32.77,384900,32.77
2012-01-31,31.89,32.00,31.58,31.72,236600,31.72
2012-01-30,31.48,31.84,31.47,31.58,470000,31.58
2012-01-27,31.40,31.97,31.32,31.64,401700,31.64
2012-01-26,32.67,33.09,30.94,31.50,1260400,31.50
2012-01-25,31.93,32.52,31.76,32.28,276800,32.28
2012-01-24,31.95,32.23,31.35,32.08,381000,32.08
2012-01-23,32.49,32.98,32.10,32.18,251100,32.18
2012-01-20,31.97,32.88,31.85,32.67,289100,32.67
2012-01-19,32.36,32.36,31.71,32.05,183200,32.05
2012-01-18,31.71,32.21,31.26,32.13,283800,32.13
2012-01-17,31.91,32.22,31.70,31.75,408000,31.75
2012-01-13,31.72,32.03,31.50,31.73,365600,31.73
2012-01-12,32.28,32.41,31.70,31.94,365100,31.94
2012-01-11,32.31,32.41,31.79,32.06,324500,32.06
2012-01-10,33.22,33.23,32.33,32.41,506500,32.41
2012-01-09,32.00,32.72,31.83,32.67,710800,32.67
2012-01-06,31.76,31.90,31.29,31.77,335400,31.77
2012-01-05,31.09,31.80,30.57,31.80,884200,31.80
2012-01-04,31.18,31.74,30.90,31.60,954700,31.60
2012-01-03,30.94,32.32,30.87,31.63,672000,31.63
2011-12-30,30.80,30.86,30.44,30.61,277700,30.61
2011-12-29,29.95,30.88,29.34,30.69,232900,30.69
2011-12-28,30.37,30.37,29.67,29.74,212500,29.74
2011-12-27,30.15,30.56,29.98,30.37,146000,30.37
2011-12-23,30.28,30.39,29.87,30.20,118500,30.20
2011-12-22,29.71,30.98,29.71,30.13,369000,30.13
2011-12-21,29.41,29.75,28.94,29.56,212800,29.56
2011-12-20,28.79,29.45,28.52,29.37,292200,29.37
2011-12-19,29.09,29.57,28.02,28.12,283400,28.12
2011-12-16,28.52,29.26,28.33,28.78,626100,28.78
2011-12-15,28.02,28.36,27.64,28.34,256100,28.34
2011-12-14,27.66,28.32,27.50,27.53,311500,27.53
2011-12-13,29.10,29.61,27.65,27.95,390600,27.95
2011-12-12,28.52,28.81,28.05,28.79,264900,28.79
2011-12-09,28.41,29.26,28.09,28.95,351600,28.95
2011-12-08,29.12,29.24,28.22,28.27,348500,28.27
2011-12-07,29.86,29.92,29.31,29.50,515700,29.50
2011-12-06,29.84,30.40,29.54,30.12,297200,30.12
2011-12-05,29.44,30.20,29.28,29.86,530600,29.86
2011-12-02,28.34,29.25,28.19,29.08,483000,29.08
2011-12-01,28.56,28.80,27.78,27.87,398800,27.87
2011-11-30,27.76,28.87,27.20,28.86,509600,28.86
2011-11-29,27.00,27.21,26.50,26.59,271000,26.59
2011-11-28,26.70,26.96,26.20,26.93,238500,26.93
2011-11-25,25.87,26.43,25.76,25.76,73200,25.76
2011-11-23,26.80,27.06,25.98,26.04,152900,26.04
2011-11-22,27.21,27.50,26.90,27.04,121900,27.04
2011-11-21,27.46,27.81,26.91,27.29,220900,27.29
2011-11-18,27.59,28.16,27.51,27.97,223400,27.97
2011-11-17,28.10,28.22,27.37,27.56,401100,27.56
2011-11-16,27.68,28.89,27.44,28.17,440400,28.17
2011-11-15,26.87,28.30,26.87,28.05,320200,28.05
2011-11-14,27.76,27.94,26.86,27.10,316200,27.10
2011-11-11,27.32,27.89,27.27,27.76,279700,27.76
2011-11-10,26.64,27.25,26.45,26.98,266100,26.98
2011-11-09,27.33,27.71,26.09,26.23,241500,26.23
2011-11-08,27.43,28.11,26.88,28.03,310200,28.03
2011-11-07,27.15,27.54,26.77,27.14,256700,27.14
2011-11-04,27.43,27.64,26.88,27.09,299100,27.09
2011-11-03,27.94,28.07,26.99,27.68,380700,27.68
2011-11-02,26.96,27.66,26.77,27.49,343400,27.49
2011-11-01,26.81,27.75,26.39,26.55,477200,26.55
2011-10-31,28.55,28.98,28.00,28.00,427800,28.00
2011-10-28,28.41,28.81,28.27,28.72,581500,28.72
2011-10-27,28.02,28.91,27.46,28.66,491300,28.66
2011-10-26,27.00,27.50,26.45,27.38,299800,27.38
2011-10-25,27.01,27.28,26.48,26.75,272400,26.75
2011-10-24,26.59,27.26,26.30,27.20,410300,27.20
2011-10-21,26.85,26.97,26.00,26.60,1239900,26.60
2011-10-20,26.25,27.33,25.84,26.33,1268900,26.33
2011-10-19,26.77,27.68,25.79,27.01,1003400,27.01
2011-10-18,25.51,27.50,25.43,26.89,318600,26.89
2011-10-17,26.15,26.15,25.20,25.32,218000,25.32
2011-10-14,26.32,26.65,25.75,26.47,171800,26.47
2011-10-13,26.13,26.24,25.55,26.04,370200,26.04
2011-10-12,25.79,26.91,25.52,26.39,223800,26.39
2011-10-11,25.27,25.71,25.10,25.49,316100,25.49
2011-10-10,24.56,25.49,24.56,25.48,264400,25.48
2011-10-07,25.26,25.33,23.95,24.02,244300,24.02
2011-10-06,24.77,25.46,24.34,25.30,423300,25.30
2011-10-05,24.27,24.73,23.68,24.64,301200,24.64
2011-10-04,21.80,24.35,21.70,24.34,409700,24.34
2011-10-03,22.62,23.32,21.76,21.91,297500,21.91
2011-09-30,23.10,23.57,22.78,22.85,319800,22.85
2011-09-29,23.50,23.80,22.81,23.47,226400,23.47
2011-09-28,23.77,23.86,22.77,22.95,321700,22.95
2011-09-27,23.67,24.38,23.33,23.89,262900,23.89
2011-09-26,22.58,23.23,22.13,23.19,148500,23.19
2011-09-23,21.91,22.84,21.91,22.40,274700,22.40
2011-09-22,21.60,22.12,21.39,21.90,427400,21.90
2011-09-21,23.72,23.87,22.05,22.14,321600,22.14
2011-09-20,24.40,24.63,23.80,23.80,192400,23.80
2011-09-19,24.75,24.77,24.23,24.34,188800,24.34
2011-09-16,25.66,26.08,24.95,25.36,266900,25.36
2011-09-15,25.24,25.49,24.75,25.49,124000,25.49
