Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,11.04,11.10,10.91,10.98,205000,10.98
2012-05-03,11.12,11.23,10.92,11.01,773300,11.01
2012-05-02,10.93,11.02,10.88,10.97,333100,10.97
2012-05-01,11.44,11.46,11.32,11.45,216800,11.45
2012-04-30,11.36,11.42,11.32,11.32,212000,11.32
2012-04-27,11.36,11.54,11.31,11.48,261900,11.48
2012-04-26,11.33,11.42,11.25,11.36,250500,11.36
2012-04-25,11.55,11.59,11.47,11.53,481100,11.53
2012-04-24,10.85,11.19,10.85,11.09,452400,11.09
2012-04-23,10.77,10.79,10.60,10.71,236900,10.71
2012-04-20,10.68,10.87,10.67,10.81,225700,10.81
2012-04-19,10.53,10.63,10.47,10.52,370900,10.52
2012-04-18,10.81,10.96,10.80,10.86,390700,10.86
2012-04-17,10.95,11.03,10.88,10.92,323300,10.92
2012-04-16,10.82,10.83,10.61,10.68,270600,10.68
2012-04-13,10.64,10.64,10.40,10.43,351600,10.43
2012-04-12,10.64,10.93,10.61,10.92,266100,10.92
2012-04-11,10.92,10.97,10.81,10.85,300200,10.85
2012-04-10,10.94,10.97,10.69,10.71,475300,10.71
2012-04-09,10.98,11.14,10.98,11.08,180700,11.08
2012-04-05,10.95,11.15,10.93,11.09,351000,11.09
2012-04-04,11.43,11.47,11.31,11.34,334000,11.34
2012-04-03,11.76,11.76,11.48,11.54,458900,11.54
2012-04-02,11.82,12.03,11.77,11.98,289400,11.98
2012-03-30,11.80,11.90,11.71,11.87,358100,11.87
2012-03-29,12.03,12.11,11.88,12.01,308300,12.01
2012-03-28,12.28,12.33,12.11,12.20,390400,12.20
2012-03-27,12.15,12.16,12.05,12.05,325000,12.05
2012-03-26,12.23,12.38,12.22,12.30,769700,12.30
2012-03-23,11.96,12.07,11.86,12.03,186100,12.03
2012-03-22,11.90,12.08,11.89,12.05,230000,12.05
2012-03-21,12.11,12.11,11.94,12.00,429500,12.00
2012-03-20,11.94,12.27,11.88,12.11,365700,12.11
2012-03-19,11.60,11.79,11.58,11.74,252200,11.74
2012-03-16,11.46,11.59,11.41,11.52,247800,11.52
2012-03-15,11.47,11.58,11.39,11.58,217900,11.58
2012-03-14,11.40,11.44,11.30,11.35,220900,11.35
2012-03-13,11.10,11.30,11.07,11.29,231600,11.29
2012-03-12,11.14,11.22,11.07,11.21,144800,11.21
2012-03-09,11.19,11.23,11.13,11.17,181500,11.17
2012-03-08,11.39,11.46,11.35,11.43,185500,11.43
2012-03-07,11.19,11.28,11.15,11.27,233500,11.27
2012-03-06,11.19,11.21,11.04,11.07,490200,11.07
2012-03-05,11.40,11.95,11.32,11.47,561700,11.47
2012-03-02,11.40,11.46,11.36,11.40,412300,11.40
2012-03-01,11.55,11.59,11.49,11.57,202000,11.57
2012-02-29,11.72,11.74,11.51,11.53,323800,11.53
2012-02-28,11.76,11.83,11.64,11.75,269000,11.75
2012-02-27,11.83,12.00,11.83,11.87,701700,11.87
2012-02-24,11.38,11.69,11.36,11.61,610800,11.61
2012-02-23,10.79,10.85,10.75,10.82,184600,10.82
2012-02-22,10.81,10.82,10.72,10.74,422300,10.74
2012-02-21,10.96,11.01,10.89,10.91,287800,10.91
2012-02-17,10.97,10.99,10.87,10.94,352200,10.94
2012-02-16,10.37,10.79,10.37,10.77,552100,10.77
2012-02-15,10.59,10.61,10.44,10.47,631200,10.47
2012-02-14,10.59,10.62,10.45,10.53,525200,10.53
2012-02-13,10.73,10.77,10.68,10.75,369500,10.75
2012-02-10,10.65,10.70,10.61,10.68,345500,10.68
2012-02-09,10.92,10.97,10.81,10.88,233900,10.88
2012-02-08,10.91,10.98,10.83,10.94,591700,10.94
2012-02-07,10.55,10.90,10.52,10.88,706600,10.88
2012-02-06,10.19,10.38,10.18,10.36,339900,10.36
2012-02-03,10.10,10.22,10.04,10.21,403600,10.21
2012-02-02,10.28,10.30,10.22,10.27,316100,10.27
2012-02-01,10.42,10.48,10.36,10.39,325400,10.39
2012-01-31,10.38,10.39,10.17,10.22,366800,10.22
2012-01-30,10.16,10.33,10.15,10.31,282300,10.31
2012-01-27,10.25,10.38,10.22,10.34,268600,10.34
2012-01-26,10.28,10.41,10.21,10.33,529600,10.33
2012-01-25,10.03,10.20,9.95,10.17,510800,10.17
2012-01-24,10.13,10.26,10.06,10.26,409300,10.26
2012-01-23,10.60,10.65,10.58,10.63,399900,10.63
2012-01-20,10.66,10.72,10.62,10.70,183200,10.70
2012-01-19,10.55,10.69,10.43,10.67,316100,10.67
2012-01-18,10.53,10.59,10.45,10.57,455100,10.57
2012-01-17,10.56,10.73,10.56,10.66,650800,10.66
2012-01-13,10.65,10.69,10.48,10.65,349800,10.65
2012-01-12,11.15,11.16,10.98,11.06,350800,11.06
2012-01-11,10.72,10.85,10.67,10.85,390500,10.85
2012-01-10,10.78,10.79,10.63,10.74,365200,10.74
2012-01-09,10.47,10.47,10.31,10.38,303400,10.38
2012-01-06,10.52,10.52,10.24,10.30,345200,10.30
2012-01-05,10.36,10.53,10.30,10.50,323300,10.50
2012-01-04,10.85,10.93,10.77,10.86,373800,10.86
2012-01-03,11.03,11.18,10.98,11.11,304000,11.11
2011-12-30,10.67,10.76,10.65,10.65,382000,10.65
2011-12-29,10.37,10.57,10.34,10.54,432500,10.54
2011-12-28,10.47,10.48,10.30,10.38,505600,10.38
2011-12-27,10.48,10.53,10.43,10.45,233900,10.45
2011-12-23,10.51,10.58,10.47,10.57,322700,10.57
2011-12-22,10.39,10.54,10.36,10.49,1017900,10.49
2011-12-21,10.33,10.37,10.25,10.34,324400,10.34
2011-12-20,10.42,10.55,10.42,10.52,747700,10.52
2011-12-19,10.48,10.51,10.23,10.23,352700,10.23
2011-12-16,10.56,10.61,10.34,10.38,427300,10.38
2011-12-15,10.57,10.59,10.46,10.49,353000,10.49
2011-12-14,10.41,10.51,10.27,10.29,451000,10.29
2011-12-13,10.93,11.02,10.51,10.61,410600,10.61
2011-12-12,10.98,10.98,10.71,10.78,324000,10.78
2011-12-09,11.14,11.34,11.12,11.25,431900,11.25
2011-12-08,11.15,11.22,10.93,11.01,631600,11.01
2011-12-07,11.32,11.55,11.22,11.50,433700,11.50
2011-12-06,11.58,11.66,11.48,11.56,389400,11.56
2011-12-05,11.61,11.64,11.41,11.50,397700,11.50
