Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,33.09,33.09,32.52,32.70,2645500,32.70
2012-05-03,33.62,34.15,33.14,33.32,2147300,33.32
2012-05-02,32.79,33.79,32.54,33.62,1977200,33.62
2012-05-01,32.90,33.69,32.69,33.03,1590400,33.03
2012-04-30,33.01,33.30,32.69,32.90,1737100,32.90
2012-04-27,33.43,33.53,32.70,33.18,2024400,33.18
2012-04-26,32.41,33.52,32.41,33.26,2358700,33.26
2012-04-25,31.90,32.62,31.87,32.57,2686700,32.57
2012-04-24,32.87,32.88,31.34,31.54,4603500,31.54
2012-04-23,33.07,33.08,31.87,32.90,3939700,32.90
2012-04-20,33.84,34.05,33.45,33.50,2404100,33.50
2012-04-19,34.06,34.60,33.28,33.71,4755500,33.71
2012-04-18,33.05,34.67,33.05,34.20,13545500,34.20
2012-04-17,32.60,33.28,32.50,33.16,3903300,33.16
2012-04-16,33.45,33.69,32.54,32.68,2411500,32.68
2012-04-13,32.75,33.69,32.51,33.31,2940900,33.31
2012-04-12,32.42,33.42,32.27,32.86,2297700,32.86
2012-04-11,32.08,32.74,31.75,32.36,2221700,32.36
2012-04-10,32.85,33.09,31.79,31.93,3232400,31.93
2012-04-09,32.64,32.84,32.02,32.82,2923400,32.82
2012-04-05,31.38,33.11,31.38,32.83,4509900,32.83
2012-04-04,31.37,31.57,31.00,31.45,2938400,31.45
2012-04-03,31.29,31.97,31.00,31.56,3358100,31.56
2012-04-02,30.61,31.73,30.03,31.30,4825600,31.30
2012-03-30,32.91,33.00,30.11,30.50,11971700,30.50
2012-03-29,31.13,32.86,31.02,32.45,5368000,32.45
2012-03-28,31.43,31.89,30.58,31.01,2448100,31.01
2012-03-27,31.99,32.20,31.49,31.51,1974700,31.51
2012-03-26,31.30,31.95,31.26,31.85,2009700,31.85
2012-03-23,30.30,31.06,29.99,31.06,1795200,31.06
2012-03-22,30.54,30.68,30.12,30.30,1712700,30.30
2012-03-21,30.48,31.43,30.47,30.88,1899200,30.88
2012-03-20,30.32,30.50,30.02,30.39,1540800,30.39
2012-03-19,30.59,31.05,30.26,30.61,1715500,30.61
2012-03-16,30.64,30.92,30.22,30.52,2668400,30.52
2012-03-15,30.37,30.75,30.11,30.53,1533300,30.53
2012-03-14,29.96,30.25,29.74,30.18,2320100,30.18
2012-03-13,30.15,30.15,29.19,29.97,4449900,29.97
2012-03-12,30.16,30.62,29.77,30.24,1988000,30.24
2012-03-09,29.36,30.33,29.36,30.15,2232400,30.15
2012-03-08,28.46,29.53,28.46,29.28,1612400,29.28
2012-03-07,28.00,28.81,27.97,28.58,1166900,28.58
2012-03-06,28.13,28.14,27.59,27.85,2770800,27.85
2012-03-05,29.28,29.54,28.43,28.51,2429800,28.51
2012-03-02,29.47,29.82,29.07,29.28,1084300,29.28
2012-03-01,29.00,29.61,28.87,29.46,1520000,29.46
2012-02-29,28.90,29.38,28.81,28.97,1594100,28.97
2012-02-28,29.63,29.69,28.76,28.81,1778800,28.81
2012-02-27,28.70,29.95,28.56,29.55,2633700,29.55
2012-02-24,28.47,29.41,28.47,28.88,1930700,28.88
2012-02-23,28.06,28.40,27.73,28.32,1384900,28.32
2012-02-22,27.73,28.08,27.65,27.97,1360500,27.97
2012-02-21,28.26,28.43,27.55,27.80,1733100,27.80
2012-02-17,29.00,29.06,28.12,28.22,1705000,28.22
2012-02-16,28.17,29.09,28.15,28.98,1740800,28.98
2012-02-15,28.34,28.67,28.01,28.19,1462600,28.19
2012-02-14,28.09,28.40,27.98,28.24,1395800,28.24
2012-02-13,28.21,28.45,28.05,28.37,1796800,28.37
2012-02-10,28.15,28.22,27.67,27.89,2090700,27.89
2012-02-09,28.64,28.64,28.13,28.61,2097800,28.61
2012-02-08,27.70,28.29,27.62,28.25,2163700,28.25
2012-02-07,27.78,28.00,27.56,27.70,1259500,27.70
2012-02-06,27.72,28.38,27.59,27.77,2094600,27.77
2012-02-03,27.50,28.09,27.30,27.99,3647500,27.99
2012-02-02,26.82,27.23,26.50,27.08,3703800,27.08
2012-02-01,26.18,26.78,26.01,26.72,3545800,26.72
2012-01-31,25.91,26.18,25.62,26.07,2300200,26.07
2012-01-30,25.95,26.11,25.53,25.75,2337100,25.75
2012-01-27,25.33,26.53,25.31,26.25,2954200,26.25
2012-01-26,26.11,26.42,25.36,25.48,2346600,25.48
2012-01-25,25.76,26.07,25.28,25.90,2639500,25.90
2012-01-24,25.37,25.75,25.15,25.72,1893000,25.72
2012-01-23,25.93,26.23,25.03,25.37,2936700,25.37
2012-01-20,25.04,26.15,24.99,25.97,4195000,25.97
2012-01-19,24.31,25.10,24.31,25.04,3717100,25.04
2012-01-18,23.52,24.16,23.36,24.11,1538000,24.11
2012-01-17,23.95,24.14,23.37,23.49,2052200,23.49
2012-01-13,24.20,24.27,23.59,23.86,2187200,23.86
2012-01-12,24.16,24.47,23.90,24.31,2512600,24.31
2012-01-11,23.46,24.03,23.44,23.97,2443900,23.97
2012-01-10,23.37,23.50,22.93,23.35,3495400,23.35
2012-01-09,23.84,23.84,22.90,23.22,3660100,23.22
2012-01-06,23.73,23.98,23.61,23.83,1805000,23.83
2012-01-05,23.55,23.98,23.50,23.83,2350000,23.83
2012-01-04,23.64,24.02,23.12,23.63,3266700,23.63
2012-01-03,24.49,24.53,23.49,23.71,3568800,23.71
2011-12-30,24.17,24.20,23.81,23.91,1327600,23.91
2011-12-29,23.81,24.33,23.75,24.20,1852400,24.20
2011-12-28,24.31,24.48,23.67,23.84,2758900,23.84
2011-12-27,23.83,24.80,23.83,24.38,3793000,24.38
2011-12-23,23.76,23.90,23.22,23.79,3013900,23.79
2011-12-22,23.19,24.32,22.96,23.76,8724600,23.76
2011-12-21,22.11,22.24,20.04,22.00,12244300,22.00
2011-12-20,23.33,23.66,22.87,23.56,3160300,23.56
2011-12-19,23.73,23.98,22.90,22.98,2378600,22.98
2011-12-16,23.88,24.64,23.60,23.60,4003600,23.60
2011-12-15,23.20,23.80,23.11,23.60,4190600,23.60
2011-12-14,24.36,24.38,22.57,22.82,8445000,22.82
2011-12-13,26.84,26.84,24.46,24.65,5485900,24.65
2011-12-12,26.91,27.34,26.40,26.60,1944600,26.60
2011-12-09,27.00,27.35,26.79,27.11,2713300,27.11
2011-12-08,27.55,27.96,26.94,26.98,1917100,26.98
2011-12-07,28.24,28.24,27.47,27.89,1890900,27.89
2011-12-06,28.71,28.82,28.27,28.41,1719200,28.41
2011-12-05,28.22,29.40,28.22,28.72,3494400,28.72
2011-12-02,27.49,28.07,27.27,27.60,3034000,27.60
2011-12-01,27.24,27.35,26.64,27.23,2626700,27.23
2011-11-30,28.03,28.40,27.12,27.40,3187100,27.40
2011-11-29,26.45,27.43,26.45,26.92,1647400,26.92
2011-11-28,26.65,27.42,26.62,27.13,1669000,27.13
2011-11-25,25.96,26.27,25.73,25.75,672900,25.75
2011-11-23,26.66,26.66,25.93,26.07,2053600,26.07
2011-11-22,27.34,27.53,26.79,26.91,1800900,26.91
2011-11-21,27.21,27.64,26.68,27.47,2273300,27.47
2011-11-18,28.99,29.06,27.69,27.74,2542500,27.74
2011-11-17,29.68,29.80,28.42,28.87,1862900,28.87
2011-11-16,30.33,31.15,29.73,29.78,2621900,29.78
2011-11-15,30.03,30.81,29.68,30.62,2159400,30.62
2011-11-14,28.58,30.73,28.53,29.73,4287900,29.73
2011-11-11,28.68,29.19,28.50,28.70,1666200,28.70
2011-11-10,28.50,28.62,27.70,28.43,2084000,28.43
2011-11-09,27.79,28.52,27.76,28.21,2694700,28.21
2011-11-08,28.71,29.04,28.25,28.69,1821300,28.69
2011-11-07,28.55,28.73,27.75,28.54,2166000,28.54
2011-11-04,28.58,28.94,28.24,28.62,2856300,28.62
2011-11-03,28.48,29.27,27.78,28.85,3003200,28.85
2011-11-02,27.76,28.15,27.26,27.89,1935900,27.89
2011-11-01,28.02,28.44,27.14,27.25,3171000,27.25
2011-10-31,28.99,29.30,28.66,28.89,2128800,28.89
2011-10-28,28.75,29.56,28.62,29.51,2454700,29.51
2011-10-27,28.63,29.00,28.11,28.58,2769200,28.58
2011-10-26,27.60,27.78,26.78,27.56,2320700,27.56
2011-10-25,27.95,28.14,27.11,27.20,2147800,27.20
2011-10-24,27.06,28.50,27.06,28.01,2581800,28.01
2011-10-21,27.13,27.49,26.30,26.76,3030300,26.76
2011-10-20,26.24,26.67,25.72,26.64,2645100,26.64
2011-10-19,27.02,27.09,26.14,26.28,2038400,26.28
2011-10-18,26.12,27.21,25.41,27.08,3024800,27.08
2011-10-17,26.47,26.55,25.67,26.13,2300000,26.13
2011-10-14,26.56,26.86,26.17,26.52,2238500,26.52
2011-10-13,25.27,26.19,25.00,26.16,2224800,26.16
2011-10-12,25.08,26.29,25.01,25.53,3090500,25.53
2011-10-11,24.60,25.29,24.36,24.85,1943100,24.85
2011-10-10,24.37,25.55,24.33,24.75,2697700,24.75
2011-10-07,24.21,24.21,23.34,23.92,2925600,23.92
2011-10-06,23.65,24.21,23.47,24.16,2197100,24.16
2011-10-05,22.37,24.00,21.89,23.76,4288400,23.76
2011-10-04,21.13,22.45,20.98,22.39,3176100,22.39
2011-10-03,22.20,22.42,21.06,21.43,3656700,21.43
2011-09-30,22.18,23.33,22.03,22.39,3422600,22.39
2011-09-29,23.19,23.33,21.98,22.75,2444100,22.75
2011-09-28,23.28,23.52,22.64,22.68,2642800,22.68
2011-09-27,22.79,23.95,22.40,23.10,4119400,23.10
2011-09-26,22.48,22.67,21.41,22.29,3955200,22.29
2011-09-23,22.00,22.45,20.84,22.37,7541000,22.37
2011-09-22,20.83,22.04,20.49,20.97,6257200,20.97
2011-09-21,21.26,22.10,21.24,21.39,4787400,21.39
2011-09-20,22.35,22.50,20.98,21.03,2991100,21.03
2011-09-19,21.95,22.34,21.50,22.17,1652900,22.17
2011-09-16,22.40,22.66,22.06,22.38,2720000,22.38
2011-09-15,20.57,22.37,20.57,22.30,2249100,22.30
2011-09-14,21.12,22.20,20.91,21.78,2963600,21.78
2011-09-13,20.48,21.04,20.42,21.00,2201100,21.00
2011-09-12,19.52,20.48,19.52,20.45,2760400,20.45
2011-09-09,20.48,20.88,19.79,19.93,4071100,19.93
2011-09-08,21.20,21.56,20.66,20.69,3452100,20.69
2011-09-07,21.13,21.52,21.01,21.48,3028100,21.48
2011-09-06,20.16,20.74,19.95,20.68,3170400,20.68
2011-09-02,21.12,21.52,20.78,21.01,2257700,21.01
2011-09-01,22.47,23.02,21.66,21.78,2954300,21.78
2011-08-31,21.76,23.17,21.73,22.38,4247900,22.38
2011-08-30,21.33,21.72,21.13,21.49,3148900,21.49
2011-08-29,20.75,21.47,20.67,21.43,1923600,21.43
2011-08-26,19.95,21.05,19.74,20.47,3598400,20.47
2011-08-25,20.23,20.43,19.67,19.73,2707100,19.73
2011-08-24,20.31,20.47,19.89,20.26,3436400,20.26
2011-08-23,18.89,20.39,18.75,20.39,4547000,20.39
2011-08-22,19.06,19.63,18.59,18.85,5620000,18.85
2011-08-19,19.06,19.87,18.43,18.49,4533800,18.49
2011-08-18,20.96,21.06,18.76,19.07,8001300,19.07
2011-08-17,23.06,23.06,21.83,21.96,5237400,21.96
2011-08-16,23.72,23.76,22.56,22.90,4684100,22.90
2011-08-15,24.07,24.60,23.68,24.03,2245400,24.03
2011-08-12,24.08,24.32,23.61,24.04,2791700,24.04
2011-08-11,22.60,24.00,22.47,23.66,3759900,23.66
2011-08-10,23.38,23.53,22.44,22.47,4577400,22.47
2011-08-09,22.85,23.83,22.05,23.79,5231900,23.79
2011-08-08,23.50,24.07,22.04,22.49,5869200,22.49
2011-08-05,25.38,25.82,23.75,24.58,5400500,24.58
2011-08-04,26.87,26.92,25.16,25.20,6155300,25.20
2011-08-03,26.35,27.27,25.74,27.18,5308000,27.18
2011-08-02,26.46,27.41,26.12,26.16,5321600,26.16
2011-08-01,27.00,27.19,25.98,26.71,5835400,26.71
2011-07-29,26.65,26.69,25.89,26.04,5760500,26.04
2011-07-28,26.98,27.65,26.76,27.11,4584700,27.11
2011-07-27,27.70,27.70,26.73,27.19,6292000,27.19
2011-07-26,27.48,28.09,26.96,27.95,6537300,27.95
2011-07-25,27.06,27.68,26.90,27.49,5551800,27.49
2011-07-22,26.51,27.62,26.50,27.44,4216700,27.44
2011-07-21,27.70,27.73,26.20,26.29,5807500,26.29
2011-07-20,28.21,28.23,27.30,27.41,2719000,27.41
2011-07-19,27.43,28.58,27.43,28.04,3486100,28.04
2011-07-18,27.67,27.70,26.61,27.27,5253900,27.27
2011-07-15,28.70,28.75,27.27,27.69,8312400,27.69
2011-07-14,29.74,30.11,28.30,28.41,4635700,28.41
2011-07-13,29.96,30.25,29.56,29.57,2562500,29.57
2011-07-12,29.86,30.05,29.15,29.86,3074800,29.86
2011-07-11,30.40,30.63,29.64,30.00,3417500,30.00
2011-07-08,30.74,31.06,30.38,30.78,2461300,30.78
2011-07-07,31.10,31.45,30.82,31.20,2186100,31.20
2011-07-06,30.33,31.13,30.25,30.93,3417400,30.93
2011-07-05,29.57,30.55,29.57,30.47,3717600,30.47
2011-07-01,28.38,29.53,28.33,29.42,1895400,29.42
2011-06-30,28.77,29.16,28.53,29.02,3407700,29.02
2011-06-29,28.78,29.00,28.17,28.71,3056900,28.71
2011-06-28,27.59,28.83,27.40,28.55,4861700,28.55
2011-06-27,26.36,27.77,26.11,27.59,6919500,27.59
2011-06-24,26.55,27.14,25.75,26.32,28568300,26.32
2011-06-23,25.25,26.26,24.86,26.00,6055900,26.00
2011-06-22,25.57,25.96,25.38,25.46,2759700,25.46
2011-06-21,25.10,26.40,25.10,25.72,4228600,25.72
2011-06-20,23.76,25.18,23.50,24.95,4267000,24.95
2011-06-17,23.94,24.16,23.62,23.80,3741300,23.80
2011-06-16,24.47,24.57,23.38,23.74,3329400,23.74
2011-06-15,24.90,25.05,24.30,24.50,2143700,24.50
2011-06-14,25.07,25.37,24.99,25.11,2163400,25.11
2011-06-13,24.90,25.78,24.81,24.90,2749300,24.90
2011-06-10,25.63,25.84,25.14,25.51,2377300,25.51
2011-06-09,25.85,26.17,25.65,25.93,1904000,25.93
2011-06-08,25.98,26.36,25.54,25.83,2729700,25.83
2011-06-07,26.26,26.56,25.80,26.14,2724300,26.14
2011-06-06,26.55,26.93,26.07,26.14,2054300,26.14
2011-06-03,26.87,27.14,26.07,26.64,2738300,26.64
2011-06-02,27.17,27.71,26.91,27.44,2031600,27.44
2011-06-01,28.06,28.39,27.29,27.30,2648200,27.30
2011-05-31,28.61,28.75,27.93,28.09,7149900,28.09
2011-05-27,28.71,28.88,28.24,28.31,1839300,28.31
2011-05-26,27.38,28.76,27.38,28.70,1657200,28.70
2011-05-25,28.18,28.36,27.45,28.18,2491400,28.18
2011-05-24,28.11,28.48,27.39,27.75,2531100,27.75
2011-05-23,28.96,28.96,28.08,28.20,2200000,28.20
2011-05-20,28.62,29.66,28.37,29.39,3117200,29.39
2011-05-19,29.02,29.24,28.53,28.86,1702300,28.86
2011-05-18,28.73,29.41,28.62,28.95,1741900,28.95
2011-05-17,28.06,28.77,27.75,28.67,2771500,28.67
2011-05-16,29.23,29.64,28.36,28.37,1954500,28.37
2011-05-13,30.14,30.34,29.48,29.49,1538200,29.49
2011-05-12,29.50,30.30,29.06,30.19,1900000,30.19
2011-05-11,30.31,30.75,29.44,29.71,2600000,29.71
2011-05-10,29.80,30.70,29.70,30.50,2662100,30.50
2011-05-09,28.74,30.26,28.26,29.65,3375700,29.65
2011-05-06,27.92,28.94,27.87,28.74,2677900,28.74
2011-05-05,27.38,28.19,27.25,27.56,2900000,27.56
2011-05-04,28.92,28.97,27.17,27.67,3977600,27.67
2011-05-03,29.63,29.72,28.40,29.01,2800000,29.01
2011-05-02,30.26,30.40,29.52,29.66,2551200,29.66
2011-04-29,29.77,30.45,29.51,29.99,2600000,29.99
2011-04-28,29.62,30.20,29.43,29.65,2002900,29.65
2011-04-27,29.50,29.85,29.06,29.83,2029100,29.83
2011-04-26,29.99,29.99,29.28,29.50,2403800,29.50
2011-04-25,29.75,29.98,29.10,29.93,2066300,29.93
2011-04-21,29.53,29.83,29.06,29.77,2135400,29.77
2011-04-20,28.78,29.49,28.77,29.40,2131900,29.40
2011-04-19,29.09,29.09,28.31,28.56,1989500,28.56
2011-04-18,29.03,29.09,28.13,28.91,3299500,28.91
2011-04-15,28.88,29.54,28.61,29.52,2727000,29.52
2011-04-14,28.58,29.16,28.43,29.09,2637200,29.09
2011-04-13,28.56,28.98,28.25,28.86,3705400,28.86
2011-04-12,27.60,29.85,27.39,28.05,7027600,28.05
2011-04-11,26.80,27.23,26.76,26.99,1781500,26.99
2011-04-08,27.26,27.31,26.50,26.84,1320800,26.84
2011-04-07,27.57,27.79,26.86,26.96,2601100,26.96
2011-04-06,27.80,27.93,27.11,27.55,2200300,27.55
2011-04-05,27.42,27.82,27.24,27.57,1831900,27.57
2011-04-04,27.93,27.93,27.36,27.59,2010800,27.59
2011-04-01,27.50,28.31,27.29,27.60,3440100,27.60
2011-03-31,26.74,27.36,26.65,27.25,3224300,27.25
2011-03-30,26.59,27.00,25.69,26.74,7208900,26.74
2011-03-29,26.17,26.99,26.01,26.27,5339900,26.27
2011-03-28,26.63,26.63,25.42,26.13,3215100,26.13
2011-03-25,26.70,26.77,26.06,26.34,2327800,26.34
2011-03-24,25.09,26.37,25.02,26.12,2843700,26.12
2011-03-23,24.46,24.92,24.18,24.80,1150900,24.80
2011-03-22,24.64,24.70,24.23,24.61,1138600,24.61
2011-03-21,24.21,24.61,24.21,24.58,1309100,24.58
2011-03-18,24.06,24.30,23.76,23.88,3656600,23.88
2011-03-17,24.14,24.39,23.76,23.76,1385300,23.76
2011-03-16,23.88,24.52,23.53,23.78,3089300,23.78
2011-03-15,23.03,24.22,22.87,23.94,2261100,23.94
2011-03-14,23.74,24.47,23.65,23.93,2456700,23.93
2011-03-11,23.85,24.31,23.80,23.97,2157100,23.97
2011-03-10,24.02,24.29,23.69,23.92,2357800,23.92
2011-03-09,24.58,24.68,24.15,24.37,1811900,24.37
2011-03-08,24.10,25.00,23.87,24.59,1427200,24.59
2011-03-07,25.22,25.31,23.93,24.10,2026800,24.10
2011-03-04,25.38,25.39,24.85,25.13,1307700,25.13
2011-03-03,24.99,25.75,24.67,25.33,1822400,25.33
2011-03-02,23.98,24.68,23.96,24.41,1360200,24.41
2011-03-01,24.74,24.79,23.66,24.09,2407600,24.09
2011-02-28,24.80,24.89,24.15,24.62,1276100,24.62
2011-02-25,24.18,24.81,24.18,24.58,1322500,24.58
2011-02-24,23.25,24.58,23.10,24.01,4214800,24.01
2011-02-23,24.14,24.18,22.87,23.29,3174700,23.29
2011-02-22,25.12,25.16,23.97,24.18,3248600,24.18
2011-02-18,25.61,25.67,25.25,25.56,1145700,25.56
2011-02-17,25.29,25.58,25.16,25.47,1209700,25.47
2011-02-16,25.33,25.94,25.27,25.47,1478100,25.47
2011-02-15,25.49,25.61,25.18,25.33,1069300,25.33
2011-02-14,25.36,25.70,25.21,25.57,1072100,25.57
2011-02-11,25.03,25.44,25.03,25.31,1609300,25.31
2011-02-10,24.47,25.49,24.41,25.21,2029600,25.21
2011-02-09,24.67,24.78,24.43,24.52,1861400,24.52
2011-02-08,24.66,24.83,24.32,24.82,1846200,24.82
2011-02-07,24.64,24.77,24.37,24.57,1817000,24.57
2011-02-04,24.03,24.50,23.85,24.26,1891900,24.26
2011-02-03,23.66,24.16,23.34,24.07,2117500,24.07
2011-02-02,23.96,24.00,23.42,23.80,3027500,23.80
2011-02-01,22.14,24.41,22.10,23.98,8503200,23.98
2011-01-31,21.59,22.05,21.52,21.98,2575400,21.98
2011-01-28,21.68,22.07,21.19,21.56,3659800,21.56
2011-01-27,21.55,21.90,21.53,21.72,2122300,21.72
2011-01-26,21.17,21.45,21.06,21.33,2981600,21.33
2011-01-25,21.43,21.43,20.85,21.05,2721000,21.05
2011-01-24,21.22,21.54,20.85,21.46,2601200,21.46
2011-01-21,20.96,21.54,20.75,21.15,2966600,21.15
2011-01-20,21.21,21.24,20.42,20.94,4606800,20.94
2011-01-19,20.77,21.53,20.65,21.40,4459700,21.40
2011-01-18,20.94,21.06,20.58,20.73,3615800,20.73
2011-01-14,21.10,21.14,20.86,21.02,3206000,21.02
2011-01-13,20.75,21.29,20.67,21.07,2933800,21.07
2011-01-12,21.26,21.27,20.79,20.84,1892800,20.84
2011-01-11,20.76,21.37,20.76,21.05,3770400,21.05
2011-01-10,19.29,20.98,19.23,20.74,5106300,20.74
2011-01-07,19.61,19.71,19.21,19.48,1745800,19.48
2011-01-06,19.83,19.95,19.49,19.50,1892000,19.50
2011-01-05,19.40,20.07,19.30,19.76,2771200,19.76
2011-01-04,20.03,20.08,19.25,19.49,2247100,19.49
2011-01-03,19.88,20.25,19.78,19.84,2123400,19.84
2010-12-31,19.79,19.92,19.57,19.71,1667200,19.71
2010-12-30,19.88,20.16,19.72,19.79,1560300,19.79
2010-12-29,19.70,20.00,19.66,19.86,1442700,19.86
2010-12-28,19.82,20.00,19.55,19.72,1861600,19.72
2010-12-27,19.65,19.94,19.15,19.87,2880400,19.87
2010-12-23,20.24,20.29,19.64,19.81,3301200,19.81
2010-12-22,22.03,22.08,19.81,20.24,9370100,20.24
2010-12-21,21.19,21.36,21.01,21.18,3248900,21.18
2010-12-20,21.50,21.54,20.91,21.11,2856600,21.11
2010-12-17,20.74,21.38,20.66,21.31,4184900,21.31
2010-12-16,20.62,20.75,20.00,20.73,1796800,20.73
2010-12-15,20.25,20.63,20.09,20.24,2779800,20.24
2010-12-14,20.66,20.83,20.35,20.36,2154700,20.36
2010-12-13,20.84,20.95,20.57,20.58,1843900,20.58
2010-12-10,20.91,21.01,20.65,20.87,2027700,20.87
2010-12-09,21.09,21.09,20.60,20.86,1539200,20.86
2010-12-08,20.87,21.10,20.76,20.83,1234200,20.83
2010-12-07,21.23,21.29,20.75,20.86,1786000,20.86
2010-12-06,20.80,21.27,20.67,20.89,2434300,20.89
2010-12-03,20.04,20.93,20.02,20.79,2497200,20.79
2010-12-02,20.06,20.30,20.04,20.19,1865700,20.19
2010-12-01,20.00,20.37,19.89,20.11,2078900,20.11
2010-11-30,19.49,19.77,19.36,19.64,2054700,19.64
2010-11-29,19.78,19.83,19.23,19.73,1554100,19.73
2010-11-26,19.76,19.97,19.60,19.87,385000,19.87
2010-11-24,19.32,19.99,19.32,19.91,1727100,19.91
2010-11-23,19.57,19.58,18.94,19.11,1841000,19.11
2010-11-22,19.25,19.75,19.01,19.70,1618800,19.70
2010-11-19,19.12,19.28,18.93,19.21,1071100,19.21
2010-11-18,18.68,19.25,18.62,19.13,1561500,19.13
2010-11-17,18.35,18.66,18.27,18.48,1974000,18.48
2010-11-16,18.74,18.84,18.20,18.38,2680800,18.38
2010-11-15,19.17,19.24,18.86,18.97,1200800,18.97
2010-11-12,19.14,19.38,18.86,19.09,1712900,19.09
2010-11-11,19.13,19.51,18.73,19.42,2396000,19.42
2010-11-10,19.46,19.49,19.06,19.40,2865200,19.40
2010-11-09,19.93,20.04,19.40,19.50,1919900,19.50
2010-11-08,19.86,20.11,19.74,19.99,1325600,19.99
2010-11-05,20.12,20.20,19.79,20.02,2369300,20.02
2010-11-04,19.95,20.18,19.90,20.13,2472600,20.13
2010-11-03,19.64,19.71,19.23,19.71,2537700,19.71
2010-11-02,19.77,19.85,19.40,19.57,3340000,19.57
2010-11-01,19.32,19.96,19.23,19.45,3207000,19.45
2010-10-29,18.92,19.41,18.89,19.22,1632000,19.22
2010-10-28,19.21,19.25,18.68,18.93,1757700,18.93
