Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,27.71,28.46,27.40,27.75,282900,27.75
2012-05-03,28.65,29.35,28.36,28.75,362000,28.23
2012-05-02,28.70,29.05,28.10,28.85,400100,28.33
2012-05-01,29.00,29.10,28.78,29.04,362800,28.51
2012-04-30,27.70,28.75,27.51,28.75,521000,28.23
2012-04-27,27.25,27.80,27.07,27.78,335000,27.27
2012-04-26,27.20,27.44,27.00,27.17,289700,26.68
2012-04-25,27.36,27.56,27.00,27.42,186500,26.92
2012-04-24,27.40,27.40,26.92,27.17,155100,26.68
2012-04-23,27.57,27.65,27.17,27.38,227500,26.88
2012-04-20,27.90,28.24,27.68,27.90,194300,27.39
2012-04-19,27.37,27.93,27.00,27.84,291900,27.33
2012-04-18,27.36,27.59,26.91,27.29,198200,26.79
2012-04-17,27.75,28.20,27.49,27.49,258300,26.99
2012-04-16,28.00,28.20,27.50,27.57,205100,27.07
2012-04-13,27.80,27.99,27.50,27.70,273400,27.20
2012-04-12,27.13,28.00,27.13,28.00,289200,27.49
2012-04-11,26.40,27.14,26.15,26.90,250100,26.41
2012-04-10,26.68,26.82,26.10,26.22,297300,25.74
2012-04-09,27.32,27.34,26.60,26.80,247600,26.31
2012-04-05,26.65,27.72,26.65,27.44,252500,26.94
2012-04-04,26.37,26.97,26.32,26.79,224900,26.30
2012-04-03,26.59,27.19,26.43,26.67,342700,26.18
2012-04-02,26.50,26.65,26.21,26.32,217900,25.84
2012-03-30,26.15,26.43,25.91,26.30,159800,25.82
2012-03-29,25.98,26.79,25.95,26.06,199200,25.59
2012-03-28,26.63,26.77,25.70,26.07,209200,25.60
2012-03-27,27.27,27.41,26.57,26.63,267600,26.15
2012-03-26,28.00,28.27,27.11,27.32,379900,26.82
2012-03-23,26.65,27.95,26.64,27.75,375500,27.25
2012-03-22,25.97,26.79,25.82,26.65,216400,26.17
2012-03-21,25.40,26.17,25.26,25.97,265800,25.50
2012-03-20,25.15,25.35,25.10,25.23,221900,24.77
2012-03-19,25.24,25.49,25.00,25.13,253400,24.67
2012-03-16,25.37,25.61,24.91,25.19,300100,24.73
2012-03-15,25.17,25.50,25.00,25.22,326600,24.76
2012-03-14,25.85,25.99,25.20,25.25,187200,24.79
2012-03-13,25.80,25.99,25.50,25.82,407100,25.35
2012-03-12,25.15,25.86,25.00,25.51,355900,25.05
2012-03-09,25.00,25.21,24.62,24.87,554900,24.42
2012-03-08,24.72,25.04,24.53,24.64,288800,24.19
2012-03-07,24.89,25.20,24.34,24.53,459300,24.08
2012-03-06,25.09,25.25,24.67,24.96,361100,24.51
2012-03-05,25.74,25.85,25.09,25.35,282300,24.89
2012-03-02,25.89,26.40,25.80,25.91,234400,25.44
2012-03-01,26.99,27.19,25.96,26.00,306700,25.53
2012-02-29,26.55,27.05,26.55,26.86,279100,26.37
2012-02-28,26.37,26.84,26.11,26.45,379600,25.97
2012-02-27,25.49,26.50,24.25,26.38,1014900,25.90
2012-02-24,27.44,27.45,25.57,25.68,1348200,25.21
2012-02-23,28.35,28.65,27.20,27.48,466500,26.98
2012-02-22,28.32,28.54,27.88,28.22,262100,27.71
2012-02-21,28.88,29.17,28.11,28.37,280900,27.85
2012-02-17,29.25,29.25,28.69,28.90,184400,28.37
2012-02-16,28.25,29.24,28.25,28.92,315500,28.39
