Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,76.48,77.55,75.39,76.43,248200,76.43
2012-05-03,77.51,77.56,76.24,76.43,133800,76.43
2012-05-02,76.01,77.90,75.70,77.77,135400,77.77
2012-05-01,77.15,78.14,76.05,76.73,155000,76.73
2012-04-30,76.70,77.79,75.92,77.16,216000,77.16
2012-04-27,75.65,77.46,75.16,76.70,176400,76.70
2012-04-26,75.35,76.07,74.59,75.31,263100,75.31
2012-04-25,72.81,76.84,72.81,75.78,493000,75.78
2012-04-24,70.11,72.09,69.68,70.17,276900,70.17
2012-04-23,69.94,69.94,67.54,69.38,272500,69.38
2012-04-20,73.04,73.04,70.84,71.10,140900,71.10
2012-04-19,72.83,73.75,71.07,71.40,277600,71.40
2012-04-18,73.49,74.37,72.81,72.86,114700,72.86
2012-04-17,72.66,74.50,72.26,73.89,118500,73.89
2012-04-16,71.88,72.83,71.25,71.97,58500,71.97
2012-04-13,71.77,72.50,71.61,71.75,48100,71.75
2012-04-12,70.90,72.36,70.88,72.14,101300,72.14
2012-04-11,71.20,72.98,70.00,70.82,153300,70.82
2012-04-10,71.09,71.96,70.54,70.68,156600,70.68
2012-04-09,71.50,72.83,70.92,71.33,108800,71.33
2012-04-05,72.00,73.01,71.65,72.44,92400,72.44
2012-04-04,72.88,73.03,71.61,72.15,121700,72.15
2012-04-03,73.43,73.84,72.94,73.47,109900,73.47
2012-04-02,73.18,73.52,71.94,73.48,162200,73.48
2012-03-30,74.03,74.76,72.76,73.28,228200,73.28
2012-03-29,72.14,74.27,71.90,73.32,170800,73.32
2012-03-28,74.40,74.40,72.16,72.79,154200,72.79
2012-03-27,74.40,75.00,74.04,74.27,115900,74.27
2012-03-26,73.48,74.99,73.46,74.54,99000,74.54
2012-03-23,72.30,73.21,71.86,72.86,111500,72.86
2012-03-22,72.74,74.53,71.34,72.12,145900,72.12
2012-03-21,72.96,74.46,72.80,73.42,112000,73.42
2012-03-20,73.04,73.50,71.84,72.83,90100,72.83
2012-03-19,72.45,74.60,72.41,73.67,123600,73.67
2012-03-16,72.87,73.17,71.69,73.17,288600,73.17
2012-03-15,72.26,72.85,71.96,72.63,59400,72.63
2012-03-14,73.62,73.62,72.03,72.25,90600,72.25
2012-03-13,72.81,73.59,72.12,73.48,90600,73.48
2012-03-12,72.84,73.64,72.00,72.20,64100,72.20
2012-03-09,71.89,73.74,71.23,73.12,229700,73.12
2012-03-08,70.70,71.99,70.18,71.96,89400,71.96
2012-03-07,69.47,70.76,69.41,70.18,94400,70.18
2012-03-06,68.95,69.61,68.87,69.35,156100,69.35
2012-03-05,69.64,70.30,69.32,69.93,111300,69.93
2012-03-02,70.88,70.88,69.24,69.96,191700,69.96
2012-03-01,69.79,71.81,69.79,70.67,152600,70.67
2012-02-29,70.71,72.42,69.61,69.82,136100,69.82
2012-02-28,71.57,71.86,70.24,70.71,97000,70.71
2012-02-27,69.77,72.25,69.40,71.33,174500,71.33
2012-02-24,70.27,70.97,70.19,70.54,92900,70.54
2012-02-23,69.17,70.43,68.75,70.23,117600,70.23
2012-02-22,68.47,69.80,68.03,69.27,113000,69.27
2012-02-21,69.11,69.46,68.64,68.94,293400,68.94
2012-02-17,69.32,69.40,68.71,69.00,174800,69.00
2012-02-16,68.20,69.29,68.07,69.10,207100,69.10
2012-02-15,68.37,68.91,67.72,68.17,290000,68.17
2012-02-14,67.22,68.30,67.22,68.22,165000,68.22
2012-02-13,67.06,68.00,65.82,67.45,207800,67.45
2012-02-10,66.14,67.78,65.34,66.24,183800,66.24
2012-02-09,68.00,68.00,65.86,66.54,335600,66.54
2012-02-08,65.00,67.24,64.26,66.01,482400,66.01
2012-02-07,67.85,68.21,67.51,67.98,307600,67.98
2012-02-06,69.23,69.23,67.55,67.79,117600,67.79
2012-02-03,67.52,70.12,67.26,69.35,241200,69.35
2012-02-02,66.08,66.76,65.69,66.20,351100,66.20
2012-02-01,66.77,67.20,65.97,66.14,296200,66.14
2012-01-31,66.00,67.20,64.50,66.69,169800,66.69
2012-01-30,68.97,68.97,67.60,67.74,174700,67.74
2012-01-27,69.51,70.00,66.28,69.69,73500,69.69
2012-01-26,69.70,70.94,68.37,69.91,117800,69.91
2012-01-25,68.89,70.20,68.51,69.56,112900,69.56
2012-01-24,67.24,69.50,65.37,68.67,146200,68.67
2012-01-23,68.88,69.25,67.36,67.37,121500,67.37
2012-01-20,68.27,69.44,67.78,68.88,169500,68.88
2012-01-19,67.19,68.72,66.93,68.61,139400,68.61
2012-01-18,65.83,67.18,65.50,67.14,115100,67.14
2012-01-17,67.00,68.23,65.46,65.92,102100,65.92
2012-01-13,65.70,66.69,65.70,66.35,88100,66.35
2012-01-12,66.25,66.76,66.02,66.52,107200,66.52
2012-01-11,65.53,66.10,65.36,65.98,83400,65.98
2012-01-10,65.45,66.85,65.31,65.90,152500,65.90
2012-01-09,64.88,65.77,64.53,64.90,118200,64.90
2012-01-06,64.33,65.15,63.62,64.49,208300,64.49
2012-01-05,63.92,65.01,63.86,64.20,239100,64.20
2012-01-04,64.72,65.22,63.91,64.43,187500,64.43
2012-01-03,66.19,66.76,64.51,65.20,179300,65.20
2011-12-30,65.10,66.50,65.03,65.12,78600,65.12
2011-12-29,64.76,65.63,64.76,65.25,80900,65.25
2011-12-28,66.01,67.40,64.41,64.86,84600,64.86
2011-12-27,65.37,66.90,64.87,66.29,104700,66.29
2011-12-23,65.59,65.80,64.49,65.38,71500,65.38
2011-12-22,65.06,66.76,64.85,65.19,175500,65.19
2011-12-21,69.85,69.85,63.75,65.10,489800,65.10
2011-12-20,67.41,70.23,67.41,69.99,302000,69.99
2011-12-19,67.61,67.68,65.77,65.93,213300,65.93
2011-12-16,67.26,68.10,66.61,67.28,309000,67.28
2011-12-15,67.73,68.24,65.82,66.59,232900,66.59
2011-12-14,67.72,68.41,66.37,66.84,253700,66.84
2011-12-13,69.96,70.51,68.01,68.46,204900,68.46
2011-12-12,69.21,69.98,68.24,69.56,207200,69.56
2011-12-09,67.98,70.75,67.85,70.16,224300,70.16
2011-12-08,68.20,69.00,67.86,67.94,264300,67.94
2011-12-07,67.82,69.30,67.11,68.53,199000,68.53
2011-12-06,68.43,68.65,66.58,67.94,242300,67.94
2011-12-05,67.12,71.97,66.72,68.69,874700,68.69
2011-12-02,65.47,65.80,63.92,64.65,205600,64.65
2011-12-01,66.05,67.05,65.81,66.03,145100,66.03
2011-11-30,65.80,66.51,64.91,66.32,328600,66.32
2011-11-29,63.69,64.24,63.07,63.28,216300,63.28
