Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,76.60,76.60,73.25,74.24,43700,74.24
2012-05-03,81.30,81.41,76.98,77.64,36000,77.64
2012-05-02,79.60,82.02,79.14,81.56,37000,81.56
2012-05-01,80.49,83.90,79.85,81.22,65100,81.22
2012-04-30,82.08,82.26,79.72,80.06,29000,80.06
2012-04-27,82.07,82.74,79.88,82.15,31000,82.15
2012-04-26,78.57,81.61,78.54,81.06,38100,81.06
2012-04-25,77.32,79.00,77.11,78.74,56800,78.74
2012-04-24,74.57,75.78,73.90,74.82,33400,74.82
2012-04-23,73.82,74.33,71.80,74.32,38000,74.32
2012-04-20,77.34,78.29,76.59,76.59,37400,76.59
2012-04-19,77.12,79.01,74.92,76.22,62300,76.22
2012-04-18,76.72,77.88,76.46,77.16,31200,77.16
2012-04-17,75.94,79.00,75.84,78.04,30600,78.04
2012-04-16,75.46,75.89,73.00,74.35,21600,74.35
2012-04-13,76.37,76.51,74.00,74.19,67900,74.19
2012-04-12,73.17,77.49,73.17,77.10,42500,77.10
2012-04-11,72.67,73.58,72.32,73.10,51800,73.10
2012-04-10,75.38,76.06,70.36,70.69,86900,70.69
2012-04-09,75.54,76.50,74.75,75.96,50000,75.96
2012-04-05,79.40,80.23,78.68,79.02,45400,79.02
2012-04-04,80.92,81.20,78.75,79.93,51500,79.93
2012-04-03,82.35,83.80,81.38,83.39,52000,83.39
2012-04-02,81.13,84.15,80.87,82.84,65800,82.84
2012-03-30,83.16,83.16,80.91,81.52,19400,81.52
2012-03-29,80.53,82.18,78.89,81.71,38300,81.71
2012-03-28,83.18,83.47,79.77,81.86,78800,81.86
2012-03-27,84.14,84.60,83.19,83.32,59800,83.32
2012-03-26,83.03,84.27,82.84,84.02,65100,84.02
2012-03-23,79.42,80.95,77.49,80.79,66400,80.79
2012-03-22,79.75,80.25,77.50,79.26,121900,79.26
2012-03-21,82.35,83.07,81.10,81.77,126300,81.77
2012-03-20,82.02,82.60,81.04,82.08,59800,82.08
2012-03-19,82.79,85.21,82.46,83.73,97200,83.73
2012-03-16,83.44,83.80,82.65,83.07,65400,83.07
2012-03-15,80.90,83.60,80.70,83.38,52700,83.38
2012-03-14,82.75,83.19,80.57,81.10,74200,81.10
2012-03-13,79.83,82.77,79.30,82.75,97200,82.75
2012-03-12,79.37,79.42,77.77,78.46,51000,78.46
2012-03-09,77.20,80.40,77.20,79.38,79600,79.38
2012-03-08,75.97,77.56,74.70,77.13,138800,77.13
2012-03-07,73.01,74.77,72.47,74.43,85400,74.43
2012-03-06,74.47,74.50,71.74,72.41,130300,72.41
2012-03-05,77.27,77.30,75.71,76.78,86500,76.78
2012-03-02,79.32,79.93,76.70,77.67,81100,77.67
2012-03-01,78.41,80.52,78.39,79.53,128000,79.53
2012-02-29,79.60,80.58,77.24,77.44,66900,77.44
2012-02-28,79.71,80.57,77.98,79.19,69600,79.19
2012-02-27,77.44,80.63,76.26,79.55,109000,79.55
2012-02-24,79.83,80.71,79.17,79.62,43700,79.62
2012-02-23,77.76,79.62,76.31,79.35,80000,79.35
2012-02-22,78.19,79.09,76.90,77.38,56600,77.38
2012-02-21,79.90,80.36,77.62,78.41,59000,78.41
2012-02-17,80.90,80.90,79.00,79.54,54200,79.54
2012-02-16,76.39,79.87,76.39,79.67,82400,79.67
2012-02-15,78.22,78.38,75.31,76.15,105000,76.15
2012-02-14,75.89,76.94,75.35,76.83,59800,76.83
2012-02-13,77.09,77.57,75.09,76.85,39900,76.85
2012-02-10,74.76,75.45,73.72,74.61,92600,74.61
2012-02-09,77.61,77.65,75.05,77.12,29200,77.12
2012-02-08,76.79,77.80,75.14,76.58,86200,76.58
2012-02-07,75.67,76.85,74.51,76.49,39400,76.49
2012-02-06,75.23,76.31,75.00,76.03,73400,76.03
2012-02-03,75.54,76.59,75.00,76.30,82900,76.30
2012-02-02,72.88,73.85,72.22,72.71,44200,72.71
2012-02-01,70.10,72.62,69.88,72.41,70000,72.41
2012-01-31,70.19,70.35,67.47,68.29,66000,68.29
2012-01-30,67.78,69.34,66.58,68.66,89500,68.66
2012-01-27,67.68,70.10,67.68,69.78,71000,69.78
2012-01-26,71.37,71.45,67.73,68.65,38800,68.65
2012-01-25,67.76,70.35,66.76,70.01,31900,70.01
2012-01-24,66.04,68.03,65.39,67.91,39900,67.91
2012-01-23,67.31,68.75,65.78,67.07,69100,67.07
2012-01-20,67.29,67.40,66.59,67.11,54300,67.11
2012-01-19,66.53,67.79,66.07,67.35,61600,67.35
2012-01-18,62.77,65.76,62.26,65.70,81700,65.70
2012-01-17,63.91,64.57,62.37,62.64,39300,62.64
2012-01-13,61.80,62.33,60.60,62.30,65600,62.30
2012-01-12,63.45,63.51,61.32,63.35,39600,63.35
2012-01-11,61.72,63.09,61.72,62.92,45400,62.92
2012-01-10,62.24,62.82,61.88,62.44,52000,62.44
2012-01-09,59.90,60.35,58.60,60.18,46800,60.18
2012-01-06,59.04,60.21,57.84,59.13,164600,59.13
2012-01-05,57.13,59.64,55.50,59.19,153600,59.19
2012-01-04,57.82,58.59,56.79,57.95,49100,57.95
2012-01-03,60.37,61.05,57.83,58.46,233600,58.46
2011-12-30,57.27,58.03,56.51,56.51,121700,56.51
2011-12-29,56.33,57.74,56.18,57.56,95000,57.56
2011-12-28,58.44,58.44,55.16,55.16,52800,55.16
2011-12-27,57.35,59.15,57.21,58.35,67400,58.35
2011-12-23,57.57,57.96,56.75,57.94,68900,57.94
2011-12-22,55.91,57.52,55.87,56.90,61200,56.90
