Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.60,14.94,13.55,14.57,11900200,14.57
2012-05-03,12.62,13.67,12.42,13.33,7924700,13.33
2012-05-02,13.15,13.40,12.55,12.78,6792900,12.78
2012-05-01,13.33,13.42,12.25,12.57,8195000,12.57
2012-04-30,13.18,13.57,13.00,13.44,5378200,13.44
2012-04-27,12.80,13.38,12.62,12.84,7108700,12.84
2012-04-26,13.96,14.08,12.68,12.93,7846500,12.93
2012-04-25,14.56,14.69,13.86,13.92,7976800,13.92
2012-04-24,16.47,16.67,15.81,15.81,6073800,15.81
2012-04-23,17.12,17.80,16.43,16.60,10278500,16.60
2012-04-20,15.98,16.04,15.28,15.63,9395000,15.63
2012-04-19,16.32,17.65,15.60,16.68,10111600,16.68
2012-04-18,16.32,16.81,15.58,16.37,5248300,16.37
2012-04-17,16.68,16.82,15.52,15.98,6681100,15.98
2012-04-16,17.24,19.21,16.86,17.90,8826800,17.90
2012-04-13,16.67,18.64,16.64,18.59,6539100,18.59
2012-04-12,19.86,20.10,16.77,16.90,6636000,16.90
2012-04-11,19.29,20.66,18.83,20.40,4586000,20.40
2012-04-10,18.61,21.50,18.11,21.42,7307000,21.42
2012-04-09,18.37,18.50,17.09,18.44,5551700,18.44
2012-04-05,16.46,16.64,15.55,16.36,5006800,16.36
2012-04-04,16.51,17.24,15.40,15.70,7160600,15.70
2012-04-03,14.38,15.87,14.14,15.02,5443700,15.02
2012-04-02,14.69,14.84,13.50,14.52,4219300,14.52
2012-03-30,14.08,15.28,14.00,14.56,3842200,14.56
2012-03-29,17.39,17.39,15.02,15.38,5299700,15.38
2012-03-28,15.22,18.20,14.75,15.46,6969800,15.46
2012-03-27,13.14,15.34,13.04,15.28,4120700,15.28
2012-03-26,14.43,14.50,12.60,12.75,3756500,12.75
2012-03-23,17.96,18.56,15.54,15.66,5773300,15.66
2012-03-22,19.25,19.94,17.78,18.17,5511700,18.17
2012-03-21,18.91,19.50,17.34,17.80,5698700,17.80
2012-03-20,22.73,23.09,19.72,19.74,5686300,19.74
2012-03-19,24.50,24.65,21.45,21.85,5573800,21.85
2012-03-16,24.60,25.43,24.39,24.77,2925100,24.77
2012-03-15,26.30,26.67,24.86,24.86,3779600,24.86
2012-03-14,23.78,26.96,23.69,25.69,4127000,25.69
2012-03-13,25.05,25.43,23.74,24.17,4938000,24.17
2012-03-12,28.48,28.60,26.39,26.59,3790300,26.59
2012-03-09,29.62,29.74,28.05,29.29,3495000,29.29
2012-03-08,31.39,31.69,30.10,30.51,2399500,30.51
2012-03-07,5.97,6.05,5.51,5.54,281900,33.24
2012-03-06,5.99,6.23,5.77,6.13,2158200,36.78
2012-03-05,5.42,5.54,5.27,5.32,1373600,31.92
2012-03-02,5.27,5.45,5.18,5.37,906800,32.22
2012-03-01,5.43,5.48,5.21,5.29,1118900,31.74
2012-02-29,5.50,5.76,5.29,5.49,1567900,32.94
2012-02-28,5.95,5.99,5.65,5.69,695600,34.14
2012-02-27,6.12,6.17,5.47,5.82,1141500,34.92
2012-02-24,5.21,5.78,5.13,5.73,923000,34.38
2012-02-23,6.14,6.25,5.27,5.36,855000,32.16
2012-02-22,6.57,6.62,6.10,6.13,389100,36.78
2012-02-21,6.35,6.68,6.30,6.48,284200,38.88
2012-02-17,6.46,6.82,6.34,6.60,299000,39.60
2012-02-16,7.58,7.85,6.63,6.68,410800,40.08
2012-02-15,6.64,7.37,6.63,7.27,447400,43.62
2012-02-14,6.35,7.29,6.33,6.53,293900,39.18
2012-02-13,6.48,6.67,6.15,6.16,166100,36.96
2012-02-10,6.86,8.02,6.73,7.26,280800,43.56
2012-02-09,5.70,6.21,5.61,6.20,157600,37.20
2012-02-08,5.39,5.71,5.34,5.64,112700,33.84
2012-02-07,5.34,5.54,5.29,5.39,95900,32.34
2012-02-06,5.52,5.55,5.30,5.31,74100,31.86
2012-02-03,5.57,5.68,5.44,5.44,152300,32.64
2012-02-02,6.23,6.30,6.07,6.08,120100,36.48
2012-02-01,6.55,6.65,6.28,6.47,108200,38.82
2012-01-31,6.53,6.97,6.48,6.83,83100,40.98
2012-01-30,6.93,7.02,6.66,6.84,126300,41.04
2012-01-27,6.93,6.97,6.39,6.46,126900,38.76
2012-01-26,6.45,6.94,6.41,6.74,139200,40.44
2012-01-25,7.35,7.54,6.69,6.74,210500,40.44
2012-01-24,7.66,7.72,7.28,7.35,129300,44.10
2012-01-23,7.67,7.76,7.20,7.30,136400,43.80
2012-01-20,8.27,8.34,7.66,7.71,131400,46.26
2012-01-19,8.43,8.61,8.16,8.19,123800,49.14
2012-01-18,9.22,9.43,8.64,8.68,118600,52.08
2012-01-17,8.87,9.44,8.58,9.34,81800,56.04
2012-01-13,9.44,10.02,9.40,9.48,126100,56.88
2012-01-12,9.17,9.84,8.98,9.00,70700,54.00
2012-01-11,9.13,9.32,9.08,9.24,43900,55.44
2012-01-10,8.80,9.08,8.63,8.98,51700,53.88
2012-01-09,9.48,9.64,9.27,9.37,37200,56.22
2012-01-06,9.81,10.20,9.46,9.66,56800,57.96
2012-01-05,10.74,10.95,9.95,9.98,70300,59.88
2012-01-04,11.19,11.37,10.43,10.46,49500,62.76
2012-01-03,11.04,11.17,10.75,10.88,38800,65.28
2011-12-30,11.79,12.17,11.70,12.16,18600,72.96
2011-12-29,12.22,12.24,11.75,11.79,21700,70.74
2011-12-28,11.33,12.45,11.33,12.38,36500,74.28
2011-12-27,11.50,11.58,11.16,11.47,17000,68.82
2011-12-23,10.76,11.82,10.73,11.60,29500,69.60
2011-12-22,10.59,11.30,10.17,11.07,32400,66.42
2011-12-21,12.51,12.88,11.04,11.08,57900,66.48
2011-12-20,13.27,13.27,12.75,12.76,44500,76.56
2011-12-19,14.55,14.80,13.95,14.54,45600,87.24
2011-12-16,14.05,15.24,14.05,14.87,50800,89.22
2011-12-15,15.12,15.45,14.65,15.04,45400,90.24
2011-12-14,16.14,16.94,15.73,16.25,50700,97.50
2011-12-13,15.67,16.83,14.98,16.19,50400,97.14
2011-12-12,16.87,17.50,16.32,16.32,22600,97.92
2011-12-09,18.38,18.42,16.21,16.28,30700,97.68
2011-12-08,18.26,19.16,18.00,18.90,40400,113.40
2011-12-07,16.75,18.05,16.74,17.30,41100,103.80
2011-12-06,16.42,16.63,15.85,16.27,37500,97.62
2011-12-05,15.12,16.77,15.08,16.42,37900,98.52
2011-12-02,15.61,16.55,15.07,16.47,48400,98.82
2011-12-01,17.50,17.58,16.34,16.57,13300,99.42
2011-11-30,18.26,18.57,17.27,17.36,35000,104.16
2011-11-29,21.61,22.04,20.67,21.10,30800,126.60
2011-11-28,21.11,22.50,20.74,22.03,33300,132.18
2011-11-25,23.90,24.52,22.98,24.35,18900,146.10
2011-11-23,22.82,23.84,22.51,23.74,43200,142.44
2011-11-22,22.97,23.42,21.66,21.78,30100,130.68
2011-11-21,24.54,24.61,22.46,22.73,52200,136.38
2011-11-18,22.45,23.78,22.18,22.18,44000,133.08
2011-11-17,22.07,24.65,21.68,23.81,56000,142.86
2011-11-16,21.06,22.01,19.60,21.74,93500,130.44
2011-11-15,20.94,21.32,19.49,19.82,32200,118.92
2011-11-14,19.86,20.98,19.78,20.21,12300,121.26
2011-11-11,19.48,19.51,18.80,19.29,19900,115.74
2011-11-10,21.25,23.75,20.90,21.04,42300,126.24
2011-11-09,20.21,24.35,19.95,24.09,69900,144.54
2011-11-08,18.88,19.94,17.50,17.58,22300,105.48
2011-11-07,19.99,21.00,19.40,19.41,23000,116.46
2011-11-04,20.02,21.19,19.21,19.77,17900,118.62
2011-11-03,19.81,22.36,18.87,19.05,37900,114.30
2011-11-02,20.80,22.53,20.54,21.03,28100,126.18
2011-11-01,22.60,23.48,21.03,22.41,51900,134.46
2011-10-31,15.64,17.33,15.39,17.33,27000,103.98
2011-10-28,15.08,15.31,14.11,14.29,12500,85.74
2011-10-27,15.73,16.53,14.27,14.55,24900,87.30
2011-10-26,19.83,22.91,19.62,19.84,6400,119.04
2011-10-25,19.57,21.85,19.57,21.55,8600,129.30
2011-10-24,21.17,21.17,18.97,19.06,8300,114.36
2011-10-21,22.54,23.35,21.70,21.70,5800,130.20
2011-10-20,24.42,26.13,23.80,24.15,6700,144.90
2011-10-19,21.00,24.72,20.60,24.11,5600,144.66
2011-10-18,23.08,24.62,19.85,21.70,9100,130.20
2011-10-17,19.29,23.25,19.29,23.25,7300,139.50
2011-10-14,19.56,20.69,19.14,19.48,2400,116.88
2011-10-13,22.20,23.37,21.61,21.61,1400,129.66
2011-10-12,23.24,23.24,20.81,21.46,3800,128.76
2011-10-11,26.17,26.21,24.85,25.10,2100,150.60
2011-10-10,27.58,27.60,25.99,25.99,4800,155.94
2011-10-07,28.43,30.96,28.08,29.42,2300,176.52
2011-10-06,30.19,31.30,29.00,29.00,5800,174.00
2011-10-05,32.91,33.15,30.23,30.23,600,181.38
2011-10-04,40.45,40.80,34.30,34.30,1900,205.80
