Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,54.83,56.38,54.83,56.03,61500,56.03
2012-05-03,54.61,55.00,53.68,54.52,65000,54.52
2012-05-02,55.29,55.46,54.73,54.73,13000,54.73
2012-05-01,55.41,55.57,54.25,54.81,9200,54.81
2012-04-30,55.62,55.88,55.21,55.70,4900,55.70
2012-04-27,55.39,56.14,55.08,55.37,13600,55.37
2012-04-26,56.72,56.72,55.17,55.40,27800,55.40
2012-04-25,57.43,57.52,56.35,56.51,33900,56.51
2012-04-24,58.53,58.77,58.13,58.47,35100,58.47
2012-04-23,59.01,59.90,58.72,59.11,11400,59.11
2012-04-20,58.24,58.25,57.40,58.19,16700,58.19
2012-04-19,59.08,59.74,58.05,59.10,10600,59.10
2012-04-18,59.13,59.28,58.12,58.66,18700,58.66
2012-04-17,58.80,58.93,58.24,58.61,11400,58.61
2012-04-16,59.63,60.26,59.15,59.48,14200,59.48
2012-04-13,58.77,60.54,58.41,60.54,8800,60.54
2012-04-12,61.25,61.25,58.92,58.92,9500,58.92
2012-04-11,60.13,61.19,60.03,61.03,13700,61.03
2012-04-10,59.25,61.48,59.05,61.36,41500,61.36
2012-04-09,58.40,58.72,57.84,58.72,13900,58.72
2012-04-05,56.79,57.44,56.44,57.16,12600,57.16
2012-04-04,57.44,57.72,56.35,56.54,84000,56.54
2012-04-03,56.05,56.65,55.75,56.01,16600,56.01
2012-04-02,55.92,56.14,55.33,55.91,12000,55.91
2012-03-30,56.29,56.94,55.84,56.74,49100,56.74
2012-03-29,58.80,58.80,57.14,57.24,12700,57.24
2012-03-28,57.38,59.33,57.13,57.97,57100,57.97
2012-03-27,56.54,57.79,56.54,57.65,43300,57.65
2012-03-26,58.67,58.70,56.56,56.75,19400,56.75
2012-03-23,61.28,61.41,59.26,59.62,14600,59.62
2012-03-22,61.45,61.64,60.63,60.76,18900,60.76
2012-03-21,61.46,61.46,60.25,60.29,26000,60.29
2012-03-20,62.69,63.21,61.69,61.80,10000,61.80
2012-03-19,63.71,63.82,62.14,62.41,19100,62.41
2012-03-16,63.62,63.72,63.02,63.72,12600,63.72
2012-03-15,64.21,64.44,63.01,63.11,24200,63.11
2012-03-14,62.92,64.40,62.81,63.40,17600,63.40
2012-03-13,64.17,64.17,62.80,62.94,11400,62.94
2012-03-12,65.87,65.87,64.41,64.54,14800,64.54
2012-03-09,66.46,66.46,65.35,65.82,13900,65.82
2012-03-08,67.22,67.22,66.26,66.58,7800,66.58
2012-03-07,67.99,68.44,67.69,67.90,6700,67.90
2012-03-06,70.42,70.43,69.28,69.44,10500,69.44
2012-03-05,67.72,68.07,67.47,68.07,14200,68.07
2012-03-02,66.62,68.20,66.62,68.05,53700,68.05
2012-03-01,67.31,67.81,66.60,66.64,15000,66.64
2012-02-29,67.80,67.96,66.34,67.07,11100,67.07
2012-02-28,69.44,69.44,68.21,68.22,12400,68.22
2012-02-27,69.54,69.65,68.08,68.79,5900,68.79
2012-02-24,66.65,68.45,66.48,68.45,14700,68.45
2012-02-23,67.81,67.81,66.02,67.16,8200,67.16
2012-02-22,69.38,69.38,67.69,67.89,329700,67.89
2012-02-21,68.01,69.07,67.87,69.05,8500,69.05
2012-02-17,67.43,67.97,67.00,67.47,9500,67.47
2012-02-16,68.73,69.15,66.77,67.18,10500,67.18
2012-02-15,67.35,68.66,67.15,68.16,16700,68.16
2012-02-14,65.98,68.10,65.92,66.52,11000,66.52
2012-02-13,65.27,65.84,64.87,65.20,11900,65.20
2012-02-10,66.20,69.00,65.77,67.25,248400,67.25
2012-02-09,62.94,64.45,62.94,64.45,13900,64.45
2012-02-08,62.41,63.32,62.28,62.73,15200,62.73
2012-02-07,62.51,63.14,62.07,62.33,25800,62.33
2012-02-06,64.16,64.16,62.79,62.79,23800,62.79
2012-02-03,64.00,64.22,63.20,63.40,19300,63.40
2012-02-02,65.21,65.54,65.00,65.07,26900,65.07
2012-02-01,66.03,66.11,65.43,65.93,11300,65.93
2012-01-31,65.55,66.93,65.35,66.93,16200,66.93
2012-01-30,66.38,66.65,66.01,66.56,25700,66.56
2012-01-27,66.34,66.75,65.57,65.64,28100,65.64
2012-01-26,64.98,67.01,64.98,66.82,84700,66.82
2012-01-25,67.27,67.51,65.97,66.00,45700,66.00
2012-01-24,67.74,68.12,66.83,66.95,32100,66.95
2012-01-23,68.16,68.18,66.85,66.86,15500,66.86
2012-01-20,69.52,69.52,67.67,67.84,11800,67.84
2012-01-19,69.27,69.76,68.60,69.29,8000,69.29
2012-01-18,70.64,71.30,69.64,69.67,9300,69.67
2012-01-17,69.14,70.89,69.08,70.79,3900,70.79
2012-01-13,70.89,71.15,70.25,70.52,2500,70.52
2012-01-12,69.30,70.66,69.06,69.19,10500,69.19
2012-01-11,69.09,69.51,68.92,69.44,51600,69.44
2012-01-10,68.41,68.95,68.18,68.88,7800,68.88
2012-01-09,69.57,69.92,69.24,69.40,5700,69.40
2012-01-06,70.85,71.14,69.58,69.82,21400,69.82
2012-01-05,71.74,72.06,70.57,70.63,16200,70.63
2012-01-04,72.92,73.04,71.03,71.03,8200,71.03
2012-01-03,72.54,72.94,72.21,72.43,16500,72.43
2011-12-30,73.20,74.13,73.20,74.13,6100,74.13
2011-12-29,73.68,73.95,73.41,73.59,10000,73.59
2011-12-28,72.43,74.46,72.41,74.46,5400,74.46
2011-12-27,73.24,73.46,72.56,73.46,15200,73.46
2011-12-23,73.06,74.43,73.06,74.19,10700,74.19
2011-12-22,72.70,73.77,71.88,73.54,38400,73.54
2011-12-21,76.68,76.97,73.74,73.80,20500,73.80
2011-12-20,77.51,77.82,76.82,76.98,27400,76.98
2011-12-19,79.64,80.08,79.02,79.89,8600,79.89
2011-12-16,78.93,80.85,78.93,80.40,7900,80.40
2011-12-15,79.97,81.19,79.89,80.56,9700,80.56
2011-12-14,82.93,83.49,81.89,82.39,16600,82.39
2011-12-13,79.50,82.24,79.31,82.14,52100,82.14
2011-12-12,80.98,82.91,80.97,81.84,1569500,81.84
2011-12-09,80.52,80.52,79.69,79.99,53900,79.99
2011-12-08,80.88,82.27,80.58,81.93,8100,81.93
2011-12-07,78.58,80.27,78.58,79.38,3100,79.38
2011-12-06,78.83,78.98,78.46,78.61,6900,78.61
2011-12-05,77.77,79.38,77.77,79.38,3300,79.38
2011-12-02,79.55,79.85,79.26,79.85,9900,79.85
2011-12-01,81.03,81.03,79.31,79.80,4300,79.80
2011-11-30,81.56,82.09,80.35,80.35,7200,80.35
2011-11-29,85.49,86.28,84.74,85.39,8100,85.39
2011-11-28,85.20,86.58,84.58,85.87,8000,85.87
2011-11-25,88.09,88.51,87.11,88.23,3900,88.23
2011-11-23,86.75,87.64,86.75,87.44,11900,87.44
2011-11-22,86.86,87.79,85.96,86.00,26100,86.00
2011-11-21,87.43,87.98,85.95,86.17,29100,86.17
2011-11-18,85.36,85.88,84.73,85.31,4100,85.31
2011-11-17,83.31,86.53,82.89,86.05,64000,86.05
2011-11-16,82.20,83.66,81.14,83.62,9000,83.62
2011-11-15,82.36,82.36,81.39,81.53,5700,81.53
2011-11-14,81.09,81.57,81.04,81.55,3700,81.55
2011-11-11,80.26,80.68,79.74,80.38,7600,80.38
2011-11-10,81.98,83.85,81.55,82.45,5000,82.45
2011-11-09,81.00,84.29,80.22,83.85,26100,83.85
2011-11-08,77.58,79.06,76.79,76.94,5500,76.94
2011-11-07,78.84,78.99,78.30,78.99,2000,78.99
2011-11-04,78.93,78.94,78.38,78.47,2300,78.47
2011-11-03,78.64,79.72,78.06,78.06,4300,78.06
2011-11-02,79.55,80.23,78.82,79.34,1900,79.34
2011-11-01,81.10,81.46,78.92,80.13,7500,80.13
2011-10-31,72.25,74.28,71.99,74.28,11500,74.28
2011-10-28,71.82,71.83,70.33,70.71,4700,70.71
2011-10-27,73.22,73.58,70.97,71.30,8700,71.30
2011-10-26,77.37,78.30,77.37,78.30,400,78.30
2011-10-25,79.90,79.90,78.60,79.14,1800,79.14
2011-10-24,80.24,80.24,77.50,77.50,8100,77.50
2011-10-21,80.81,81.26,80.31,80.40,3700,80.40
2011-10-20,83.10,83.90,82.27,82.64,7200,82.64
2011-10-19,79.87,83.80,79.87,82.80,34100,82.80
2011-10-18,81.20,82.96,78.58,80.00,45000,80.00
2011-10-17,78.63,81.97,78.36,81.50,26200,81.50
2011-10-14,79.97,80.60,78.43,78.43,8000,78.43
2011-10-13,81.62,82.81,80.77,81.11,13100,81.11
2011-10-12,83.21,83.30,80.36,81.06,11300,81.06
2011-10-11,85.58,85.58,84.26,84.44,1500,84.44
2011-10-10,86.49,86.65,84.89,84.89,9600,84.89
2011-10-07,86.51,89.62,86.50,88.89,18100,88.89
2011-10-06,88.06,88.80,87.40,87.60,21000,87.60
2011-10-05,89.73,90.23,87.40,88.10,25000,88.10
2011-10-04,93.17,95.00,89.69,89.79,27900,89.79
2011-10-03,90.47,92.29,89.32,91.07,17200,91.07
2011-09-30,87.48,89.48,87.10,89.46,7000,89.46
2011-09-29,84.93,88.07,84.88,86.37,75800,86.37
2011-09-28,84.47,87.03,84.12,87.02,33200,87.02
2011-09-27,83.32,84.79,83.07,84.33,12600,84.33
2011-09-26,85.41,87.09,85.11,85.11,14300,85.11
2011-09-23,87.25,87.61,85.88,86.34,27200,86.34
2011-09-22,86.20,88.21,84.90,86.83,31500,86.83
2011-09-21,80.75,82.95,80.57,82.95,22700,82.95
2011-09-20,79.63,80.79,79.47,80.79,3500,80.79
2011-09-19,82.20,82.40,80.78,81.05,6700,81.05
2011-09-16,79.94,81.35,79.66,80.30,24700,80.30
2011-09-15,80.72,81.54,80.20,80.20,6500,80.20
2011-09-14,82.08,83.55,81.13,82.09,17300,82.09
2011-09-13,83.07,84.05,82.67,83.00,22500,83.00
2011-09-12,82.88,85.51,82.63,82.68,15000,82.68
2011-09-09,80.47,82.87,80.08,82.27,19300,82.27
2011-09-08,78.00,79.29,77.67,78.95,10800,78.95
2011-09-07,78.50,79.10,78.36,78.60,12600,78.60
2011-09-06,81.56,81.57,79.60,79.60,20700,79.60
2011-09-02,79.16,79.28,77.93,78.76,23800,78.76
2011-09-01,76.79,77.36,75.55,77.17,14400,77.17
2011-08-31,76.75,77.54,76.25,77.05,36200,77.05
2011-08-30,77.23,77.64,76.12,77.64,27600,77.64
2011-08-29,76.51,77.62,76.19,76.26,48000,76.26
2011-08-26,79.60,79.60,77.75,78.14,4000,78.14
2011-08-25,76.99,79.40,76.76,79.21,5900,79.21
2011-08-24,77.50,77.50,75.27,77.41,5400,77.41
2011-08-23,77.14,77.90,76.43,76.43,11100,76.43
2011-08-22,74.68,78.06,74.66,77.42,8500,77.42
2011-08-19,76.23,76.23,74.16,75.89,4700,75.89
2011-08-18,69.52,75.00,69.52,74.05,10200,74.05
2011-08-17,66.55,67.90,65.96,67.19,11200,67.19
2011-08-16,67.34,68.51,66.53,66.92,12000,66.92
2011-08-15,67.25,67.51,66.66,66.84,11400,66.84
2011-08-12,67.91,69.07,67.91,69.07,11800,69.07
2011-08-11,71.74,71.74,69.06,69.19,15700,69.19
2011-08-10,68.94,71.73,68.35,71.11,34700,71.11
2011-08-09,68.38,70.85,67.00,67.00,28700,67.00
2011-08-08,68.37,72.35,67.14,70.62,42500,70.62
2011-08-05,63.76,70.77,63.52,65.76,38200,65.76
2011-08-04,61.13,65.28,61.10,65.28,26500,65.28
2011-08-03,60.45,62.30,59.66,59.77,93200,59.77
2011-08-02,59.12,60.24,58.16,60.19,107700,60.19
2011-08-01,58.18,60.25,57.92,58.50,138700,58.50
2011-07-29,62.17,62.40,59.67,59.75,125700,59.75
2011-07-28,61.24,61.45,59.88,61.29,106300,61.29
2011-07-27,60.37,61.62,60.20,61.37,199100,61.37
2011-07-26,59.65,60.57,59.31,59.92,32200,59.92
2011-07-25,59.25,59.89,58.97,59.80,81600,59.80
2011-07-22,58.56,59.43,58.38,58.42,58800,58.42
2011-07-21,59.37,59.51,58.62,58.77,81300,58.77
2011-07-20,60.47,60.81,60.03,60.26,29400,60.26
2011-07-19,61.57,61.61,60.67,60.88,35300,60.88
2011-07-18,62.60,63.43,62.25,62.49,30700,62.49
2011-07-15,62.48,63.15,61.64,61.64,74100,61.64
2011-07-14,61.42,63.48,60.96,62.80,57800,62.80
2011-07-13,60.61,61.87,59.94,61.45,44200,61.45
2011-07-12,61.12,61.58,59.49,61.58,32500,61.58
2011-07-11,59.88,60.71,59.27,60.54,46400,60.54
2011-07-08,58.13,58.68,57.75,57.88,63700,57.88
2011-07-07,57.66,57.90,57.24,57.59,55800,57.59
2011-07-06,59.84,59.91,58.84,58.84,33700,58.84
2011-07-05,58.95,59.31,58.57,59.28,25300,59.28
2011-07-01,61.30,61.30,58.50,58.96,101900,58.96
2011-06-30,62.37,62.50,61.30,61.78,68700,61.78
2011-06-29,63.41,63.73,62.85,63.11,22700,63.11
2011-06-28,64.22,64.34,63.76,64.04,16200,64.04
2011-06-27,65.48,65.86,64.23,64.67,84400,64.67
2011-06-24,64.38,66.01,64.09,65.82,30700,65.82
2011-06-23,66.25,66.89,63.92,64.25,86700,64.25
2011-06-22,63.25,64.28,62.61,64.27,101900,64.27
2011-06-21,63.93,63.93,63.15,63.73,24200,63.73
2011-06-20,66.76,66.76,64.45,64.72,51300,64.72
2011-06-17,65.80,66.81,65.12,66.10,52500,66.10
2011-06-16,64.88,68.32,64.10,66.74,80700,66.74
2011-06-15,62.92,64.44,62.61,64.30,83900,64.30
2011-06-14,62.04,62.12,61.61,61.83,24400,61.83
2011-06-13,63.03,64.22,62.33,63.49,31300,63.49
2011-06-10,62.22,63.50,62.16,63.17,54700,63.17
2011-06-09,62.58,62.58,61.68,62.06,12000,62.06
2011-06-08,62.70,63.12,62.13,63.00,47500,63.00
2011-06-07,62.72,62.97,61.99,62.86,55000,62.86
2011-06-06,62.16,63.46,62.07,63.14,39300,63.14
2011-06-03,63.52,63.52,61.84,62.55,77100,62.55
2011-06-02,62.35,63.06,61.91,62.30,78300,62.30
2011-06-01,60.91,62.75,60.87,62.64,90200,62.64
2011-05-31,60.93,61.57,60.93,61.04,9100,61.04
2011-05-27,62.78,62.78,61.78,62.34,48900,62.34
2011-05-26,64.39,64.56,63.30,63.36,55200,63.36
2011-05-25,65.26,65.29,63.96,64.32,63200,64.32
2011-05-24,65.07,65.25,64.45,64.95,36500,64.95
2011-05-23,65.86,65.86,64.95,65.33,85700,65.33
2011-05-20,63.28,64.34,63.13,64.28,60600,64.28
2011-05-19,62.71,63.48,62.65,63.12,63900,63.12
2011-05-18,63.33,63.53,62.49,62.91,49700,62.91
2011-05-17,64.30,65.05,63.46,63.47,117500,63.47
2011-05-16,64.07,64.33,62.97,63.94,73300,63.94
2011-05-13,63.17,64.40,62.99,64.02,109200,64.02
2011-05-12,63.82,64.48,62.66,63.02,63000,63.02
2011-05-11,62.97,64.39,62.86,63.37,41500,63.37
2011-05-10,63.46,63.73,62.79,62.91,29200,62.91
2011-05-09,64.93,65.02,63.68,63.89,27000,63.89
2011-05-06,64.05,65.55,63.56,64.85,78900,64.85
2011-05-05,65.72,66.06,64.64,65.64,53200,65.64
2011-05-04,64.16,65.78,64.12,64.77,67000,64.77
2011-05-03,64.04,65.22,63.95,64.64,29000,64.64
2011-05-02,62.23,63.96,62.23,63.79,23000,63.79
2011-04-29,63.32,63.32,62.71,63.01,49000,63.01
2011-04-28,64.06,64.08,63.34,63.43,54800,63.43
2011-04-27,64.31,65.03,63.52,63.63,58800,63.63
2011-04-26,65.02,65.09,64.29,64.48,37000,64.48
2011-04-25,65.49,65.92,65.32,65.68,23000,65.68
2011-04-21,66.79,67.45,66.35,66.44,51200,66.44
2011-04-20,67.12,67.58,66.69,67.19,33000,67.19
2011-04-19,68.90,69.05,68.05,68.15,51200,68.15
2011-04-18,70.53,71.00,68.98,69.14,113700,69.14
2011-04-15,68.38,68.64,67.66,68.21,48600,68.21
2011-04-14,69.30,69.50,68.21,68.51,33300,68.51
2011-04-13,68.53,69.23,68.18,68.56,60700,68.56
2011-04-12,69.26,69.78,68.62,69.21,55800,69.21
2011-04-11,68.15,69.11,67.67,68.66,54200,68.66
