Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,111.43,111.47,107.72,108.02,1529500,108.02
2012-05-03,114.77,114.96,111.36,112.46,1324900,112.46
2012-05-02,111.40,115.00,111.22,114.62,1379400,114.62
2012-05-01,111.97,113.88,110.86,112.63,1287400,112.63
2012-04-30,111.21,112.92,110.83,111.72,1624200,111.72
2012-04-27,111.06,112.86,110.35,112.41,1591900,112.41
2012-04-26,106.88,111.40,106.73,110.92,2254300,110.92
2012-04-25,105.24,107.00,104.47,106.69,2228400,106.69
2012-04-24,107.84,107.90,102.66,103.48,3162500,103.48
2012-04-23,109.53,109.63,106.98,107.52,2120200,107.52
2012-04-20,113.76,115.00,110.98,111.24,1798300,111.24
2012-04-19,113.78,118.79,112.53,113.75,4712600,113.75
2012-04-18,111.46,112.48,109.75,111.29,2886500,111.29
2012-04-17,109.80,110.87,109.34,110.49,1137600,110.49
2012-04-16,113.00,113.37,108.20,109.00,1520900,109.00
2012-04-13,109.83,113.44,109.20,112.48,2215400,112.48
2012-04-12,107.48,109.48,107.48,109.07,1429900,109.07
2012-04-11,105.49,109.50,103.00,107.61,5474000,107.61
2012-04-10,112.83,114.46,109.95,110.37,1256200,110.37
2012-04-09,111.48,113.14,111.04,112.51,760600,112.51
2012-04-05,112.23,113.95,111.77,113.75,942700,113.75
2012-04-04,113.40,114.41,111.84,112.97,1268600,112.97
2012-04-03,114.00,115.00,113.17,114.53,1373300,114.53
2012-04-02,111.30,115.19,111.00,114.40,1883800,114.40
2012-03-30,112.96,113.76,110.80,112.37,1484300,112.37
2012-03-29,109.07,112.79,108.91,112.46,2131100,112.46
2012-03-28,110.00,111.00,107.50,108.59,1654500,108.59
2012-03-27,110.42,110.71,108.46,108.55,1132400,108.55
2012-03-26,109.11,110.75,109.11,110.35,1181100,110.35
2012-03-23,108.30,108.97,107.20,108.84,748800,108.84
2012-03-22,108.12,109.53,107.80,108.66,1283000,108.66
2012-03-21,106.97,109.95,106.88,109.45,1655800,109.45
2012-03-20,106.00,106.67,104.16,106.47,1100800,106.47
2012-03-19,106.43,107.50,105.69,106.80,880400,106.80
2012-03-16,108.84,109.36,106.75,107.11,1325300,107.11
2012-03-15,105.34,109.01,105.08,108.90,2360300,108.90
2012-03-14,104.72,105.86,103.80,105.49,1501300,105.49
2012-03-13,100.52,105.30,100.35,105.08,2420900,105.08
2012-03-12,100.25,100.67,99.60,99.96,470200,99.96
2012-03-09,100.59,101.32,100.11,100.52,778700,100.52
2012-03-08,100.51,101.49,100.14,100.61,736700,100.61
2012-03-07,98.51,100.60,98.35,100.01,993700,100.01
