Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,56.43,56.48,55.84,55.98,66800,55.98
2012-05-03,57.40,57.43,56.65,56.72,77900,56.72
2012-05-02,57.07,57.36,56.89,57.31,86200,57.31
2012-05-01,57.11,57.84,56.95,57.40,60000,57.40
2012-04-30,57.33,57.33,56.92,57.02,71100,57.02
2012-04-27,57.47,57.47,56.86,57.33,69900,57.33
2012-04-26,56.61,57.32,56.61,57.21,36500,57.21
2012-04-25,56.73,56.81,56.34,56.78,78200,56.78
2012-04-24,55.76,56.05,55.67,55.92,57700,55.92
2012-04-23,55.44,55.65,55.26,55.64,38800,55.64
2012-04-20,56.37,56.50,56.14,56.20,34800,56.20
2012-04-19,56.27,56.57,55.78,56.08,58300,56.08
2012-04-18,56.18,56.48,56.14,56.22,35700,56.22
2012-04-17,56.24,56.72,56.15,56.55,61300,56.55
2012-04-16,56.02,56.14,55.52,55.79,49200,55.79
2012-04-13,56.13,56.20,55.70,55.70,57200,55.70
2012-04-12,55.50,56.38,55.50,56.37,31700,56.37
2012-04-11,55.35,55.62,55.29,55.40,53900,55.40
2012-04-10,55.84,55.94,54.72,54.78,77100,54.78
2012-04-09,55.80,56.11,55.72,55.97,56100,55.97
2012-04-05,56.83,56.99,56.57,56.70,59800,56.70
2012-04-04,57.07,57.24,56.80,57.01,47400,57.01
2012-04-03,57.67,57.90,57.27,57.72,93000,57.72
2012-04-02,57.37,58.00,57.27,57.79,105600,57.79
2012-03-30,57.73,57.73,57.19,57.46,68800,57.46
2012-03-29,57.08,57.44,56.71,57.36,68400,57.36
2012-03-28,57.72,57.77,57.03,57.46,55700,57.46
2012-03-27,57.87,58.03,57.73,57.75,189400,57.75
2012-03-26,57.79,57.89,57.60,57.89,41800,57.89
2012-03-23,57.01,57.28,56.51,57.20,88700,57.20
2012-03-22,56.97,57.14,56.66,56.98,79200,56.98
2012-03-21,57.72,57.72,57.35,57.45,86500,57.44
2012-03-20,57.45,57.71,57.20,57.60,47600,57.59
2012-03-19,57.62,58.12,57.62,57.85,54900,57.84
2012-03-16,57.82,57.95,57.68,57.76,78100,57.75
2012-03-15,57.35,57.82,57.19,57.82,43100,57.81
2012-03-14,57.52,57.76,57.19,57.34,129700,57.33
2012-03-13,57.04,57.61,56.83,57.61,402800,57.60
2012-03-12,56.63,56.78,56.46,56.54,39200,56.53
2012-03-09,56.18,56.75,56.18,56.62,30800,56.61
2012-03-08,55.90,56.24,55.68,56.17,43600,56.16
2012-03-07,55.18,55.63,55.12,55.58,61100,55.57
2012-03-06,55.56,55.56,54.89,55.01,135800,55.00
2012-03-05,56.24,56.25,55.92,56.13,62200,56.12
2012-03-02,56.64,56.80,56.23,56.39,72400,56.38
2012-03-01,56.58,56.83,56.47,56.67,131400,56.66
2012-02-29,56.69,56.92,56.30,56.34,63400,56.33
2012-02-28,56.65,56.79,56.38,56.59,108000,56.58
2012-02-27,56.23,56.81,56.03,56.64,134100,56.63
2012-02-24,56.73,56.89,56.56,56.61,112700,56.60
2012-02-23,56.24,56.64,56.00,56.60,102200,56.59
2012-02-22,56.50,56.67,56.13,56.20,123600,56.19
2012-02-21,57.16,57.16,56.46,56.64,74600,56.63
2012-02-17,57.09,57.12,56.82,56.93,94400,56.92
2012-02-16,56.11,56.88,56.06,56.83,83900,56.82
2012-02-15,56.57,56.57,56.00,56.08,125100,56.07
2012-02-14,56.20,56.27,55.86,56.22,88000,56.21
2012-02-13,56.62,56.69,56.07,56.37,72400,56.36
2012-02-10,56.01,56.19,55.83,56.06,54000,56.05
2012-02-09,56.62,56.65,56.13,56.61,63200,56.60
2012-02-08,56.41,56.66,56.18,56.46,112600,56.45
2012-02-07,56.12,56.40,55.90,56.28,54800,56.27
2012-02-06,56.20,56.25,56.02,56.20,73400,56.19
2012-02-03,56.15,56.47,56.03,56.46,173200,56.45
2012-02-02,55.42,55.61,55.27,55.44,190300,55.43
2012-02-01,54.84,55.52,54.84,55.34,192500,55.33
2012-01-31,54.78,54.87,54.12,54.37,54100,54.36
2012-01-30,54.36,54.51,53.95,54.36,65600,54.35
2012-01-27,54.40,54.88,54.40,54.76,42300,54.75
2012-01-26,55.29,55.34,54.40,54.59,89500,54.58
2012-01-25,54.31,55.02,54.02,54.97,109300,54.96
2012-01-24,53.94,54.38,53.76,54.33,100100,54.32
