Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,10.99,11.00,10.82,10.83,378500,10.83
2012-05-03,10.87,11.12,10.87,11.00,296500,11.00
2012-05-02,11.04,11.20,10.90,10.93,430200,10.93
2012-05-01,11.11,11.22,11.00,11.11,298000,11.11
2012-04-30,11.05,11.14,10.91,11.11,295000,11.11
2012-04-27,11.06,11.10,10.83,11.09,133000,11.09
2012-04-26,10.90,11.08,10.88,11.05,199000,11.05
2012-04-25,10.88,11.07,10.78,10.90,342000,10.90
2012-04-24,11.01,11.09,10.77,10.99,265000,10.99
2012-04-23,10.79,11.12,10.52,11.02,413300,11.02
2012-04-20,10.69,10.95,10.69,10.94,358200,10.94
2012-04-19,10.25,10.61,10.17,10.55,244200,10.55
2012-04-18,10.06,10.27,10.03,10.24,269300,10.24
2012-04-17,10.06,10.28,10.03,10.15,420200,10.15
2012-04-16,9.92,10.10,9.76,10.00,507700,10.00
2012-04-13,10.27,10.27,9.85,9.90,940000,9.90
2012-04-12,10.52,10.80,10.08,10.26,734800,10.26
2012-04-11,10.82,10.91,10.41,10.49,485300,10.49
2012-04-10,10.96,10.96,10.70,10.71,398200,10.71
2012-04-09,10.80,11.05,10.80,10.97,346000,10.97
2012-04-05,11.01,11.07,10.95,10.98,331800,10.98
2012-04-04,11.00,11.07,10.93,11.04,227300,11.04
2012-04-03,11.10,11.15,11.03,11.08,121000,11.08
2012-04-02,10.84,11.20,10.79,11.16,403700,11.16
2012-03-30,10.91,10.91,10.75,10.84,269200,10.84
2012-03-29,10.80,10.89,10.70,10.83,310300,10.83
2012-03-28,10.98,11.05,10.71,10.85,484600,10.85
2012-03-27,11.26,11.28,11.00,11.00,220100,11.00
2012-03-26,11.28,11.32,11.26,11.29,257200,11.29
2012-03-23,11.14,11.26,11.02,11.24,147800,11.24
2012-03-22,11.25,11.29,11.08,11.12,210200,11.12
2012-03-21,11.28,11.36,11.21,11.29,259600,11.29
