Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,9.44,9.61,9.14,9.56,118400,9.56
2012-05-03,9.05,9.59,9.03,9.44,126900,9.44
2012-05-02,9.05,9.29,8.93,9.11,61000,9.11
2012-05-01,9.10,9.73,9.06,9.08,127000,9.08
2012-04-30,8.99,9.36,8.77,9.11,207400,9.11
2012-04-27,8.95,9.58,8.69,8.91,75000,8.91
2012-04-26,9.25,9.28,8.90,8.97,82000,8.97
2012-04-25,9.07,9.44,8.95,9.27,158200,9.27
2012-04-24,9.15,9.82,8.88,9.04,188100,9.04
2012-04-23,9.23,9.27,8.88,9.11,85000,9.11
2012-04-20,9.02,9.57,9.00,9.20,174300,9.20
2012-04-19,9.59,10.22,9.04,9.07,67200,9.07
2012-04-18,9.26,9.62,8.76,9.54,141500,9.54
2012-04-17,10.06,10.06,9.02,9.21,214500,9.21
2012-04-16,10.13,10.18,9.88,10.01,131900,10.01
2012-04-13,10.14,10.33,9.84,10.02,139700,10.02
2012-04-12,10.39,10.40,10.02,10.11,98000,10.11
2012-04-11,10.41,10.72,10.07,10.31,154900,10.31
2012-04-10,10.58,10.84,10.10,10.25,185800,10.25
2012-04-09,10.04,10.87,9.85,10.51,318700,10.51
2012-04-05,10.96,11.15,9.92,9.99,206600,9.99
2012-04-04,10.80,10.80,10.06,10.18,231900,10.18
2012-04-03,10.44,10.55,9.85,10.04,63400,10.04
2012-04-02,10.00,10.65,9.93,10.39,158900,10.39
2012-03-30,9.99,10.13,9.87,9.97,49600,9.97
2012-03-29,9.60,9.98,9.51,9.98,81200,9.98
2012-03-28,10.15,10.28,9.51,9.74,179100,9.74
2012-03-27,10.80,11.00,10.30,10.33,164800,10.33
2012-03-26,10.49,11.32,10.49,10.77,138400,10.77
2012-03-23,11.07,11.24,10.35,10.53,76300,10.53
2012-03-22,10.99,11.22,10.93,11.07,47700,11.07
2012-03-21,11.54,11.62,11.05,11.09,74300,11.09
2012-03-20,11.76,11.83,11.39,11.55,90600,11.55
2012-03-19,11.51,12.00,11.40,11.74,121900,11.74
2012-03-16,11.43,11.85,11.28,11.52,91200,11.52
2012-03-15,11.65,11.88,11.22,11.48,150100,11.48
2012-03-14,11.83,11.90,11.66,11.77,84000,11.77
2012-03-13,11.53,11.90,11.42,11.83,86500,11.83
2012-03-12,11.80,12.00,11.46,11.48,133300,11.48
2012-03-09,10.94,11.86,10.30,11.43,153100,11.43
2012-03-08,10.55,10.81,10.08,10.79,263800,10.79
2012-03-07,10.12,10.82,10.01,10.52,65300,10.52
2012-03-06,10.77,10.88,10.03,10.20,101100,10.20
2012-03-05,10.89,11.33,10.77,10.78,78700,10.78
2012-03-02,10.58,10.96,10.52,10.84,90000,10.84
2012-03-01,10.80,10.80,10.39,10.62,86400,10.62
2012-02-29,10.45,10.73,10.34,10.68,123400,10.68
2012-02-28,10.25,10.71,10.08,10.31,89600,10.31
2012-02-27,9.54,10.41,9.54,10.07,119800,10.07
2012-02-24,9.53,9.68,9.50,9.55,26500,9.55
2012-02-23,9.48,9.56,9.31,9.47,46300,9.47
2012-02-22,9.37,9.69,9.21,9.47,48100,9.47
2012-02-21,9.49,9.57,9.25,9.43,49800,9.43
2012-02-17,9.40,9.75,9.35,9.44,55700,9.44
2012-02-16,9.33,9.55,9.31,9.36,28700,9.36
2012-02-15,9.18,9.54,8.90,9.40,47300,9.40
2012-02-14,9.39,9.49,9.10,9.23,26200,9.23
2012-02-13,9.42,9.55,9.32,9.35,71200,9.35
2012-02-10,9.26,9.42,9.15,9.40,51700,9.40
2012-02-09,9.28,9.37,9.20,9.23,42300,9.23
2012-02-08,9.14,9.35,9.14,9.25,68900,9.25
2012-02-07,9.00,9.22,8.89,9.09,51200,9.09
2012-02-06,8.79,9.05,8.79,9.00,112100,9.00
2012-02-03,8.90,9.00,8.64,8.87,89200,8.87
2012-02-02,8.50,9.03,8.50,8.89,48200,8.89
2012-02-01,8.90,8.90,7.75,8.46,91800,8.46
2012-01-31,8.81,8.92,8.71,8.90,23500,8.90
2012-01-30,8.65,8.90,8.65,8.75,80600,8.75
2012-01-27,8.50,8.89,8.46,8.72,116100,8.72
2012-01-26,8.46,8.49,8.20,8.47,19600,8.47
2012-01-25,8.88,8.88,8.39,8.53,19200,8.53
2012-01-24,8.14,9.00,8.14,8.89,43100,8.89
2012-01-23,8.99,9.01,8.50,8.60,14900,8.60
2012-01-20,9.25,9.25,8.92,8.93,29000,8.93
2012-01-19,8.90,9.25,8.85,8.95,42500,8.95
2012-01-18,8.84,9.25,8.78,8.78,77800,8.78
2012-01-17,8.20,9.00,8.20,8.63,88900,8.63
2012-01-13,8.12,8.20,8.00,8.10,23700,8.10
2012-01-12,8.12,8.14,7.91,8.05,61500,8.05
2012-01-11,8.19,8.19,7.90,7.99,10400,7.99
2012-01-10,8.15,8.20,7.98,8.00,3900,8.00
2012-01-09,8.07,8.20,7.92,8.00,27800,8.00
2012-01-06,8.00,8.08,7.88,8.05,8600,8.05
2012-01-05,8.01,8.15,7.90,8.12,6600,8.12
2012-01-04,8.21,8.22,7.89,8.10,22000,8.10
2012-01-03,8.09,8.09,7.68,7.99,10800,7.99
2011-12-30,7.51,8.05,7.51,8.01,28600,8.01
2011-12-29,7.55,7.88,7.50,7.52,39000,7.52
2011-12-28,7.40,7.81,7.08,7.51,60900,7.51
2011-12-27,7.50,7.55,7.40,7.53,7500,7.53
2011-12-23,7.61,7.66,7.32,7.46,14900,7.46
2011-12-22,7.77,7.77,6.64,7.56,46700,7.56
2011-12-21,7.89,7.90,7.22,7.60,11200,7.60
2011-12-20,7.73,8.23,7.00,7.60,56700,7.60
2011-12-19,7.37,7.77,7.37,7.60,28600,7.60
2011-12-16,7.74,8.06,7.21,7.46,29300,7.46
2011-12-15,8.16,8.16,7.28,7.52,12600,7.52
2011-12-14,8.00,8.23,7.74,7.89,20400,7.89
2011-12-13,8.00,8.05,7.78,8.00,7400,8.00
2011-12-12,7.75,7.93,7.14,7.74,14700,7.74
2011-12-09,8.00,8.29,7.71,8.01,12400,8.01
2011-12-08,8.00,8.40,8.00,8.04,5000,8.04
2011-12-07,7.81,8.00,7.81,7.99,7600,7.99
2011-12-06,7.85,7.99,7.53,7.85,5700,7.85
2011-12-05,8.44,8.48,8.00,8.03,12900,8.03
2011-12-02,7.91,8.10,7.91,8.00,6600,8.00
2011-12-01,7.67,7.76,7.28,7.50,17700,7.50
2011-11-30,7.80,8.11,7.54,7.74,6800,7.74
2011-11-29,7.26,7.80,7.25,7.71,26000,7.71
2011-11-28,7.31,7.50,7.25,7.48,28500,7.48
2011-11-25,7.53,7.53,7.10,7.20,3900,7.20
2011-11-23,7.64,7.64,7.25,7.37,12800,7.37
2011-11-22,8.07,8.07,6.96,7.50,43100,7.50
2011-11-21,8.00,8.24,7.75,7.94,42200,7.94
2011-11-18,8.28,8.38,8.06,8.08,10600,8.08
2011-11-17,8.41,8.50,8.20,8.40,11900,8.40
2011-11-16,8.15,9.86,7.95,8.38,45000,8.38
2011-11-15,8.49,8.49,7.96,8.12,29900,8.12
2011-11-14,8.16,8.25,7.96,8.19,12500,8.19
2011-11-11,8.26,8.55,7.84,8.22,36200,8.22
2011-11-10,8.38,8.44,7.70,8.12,21300,8.12
2011-11-09,7.51,8.32,7.51,8.11,17800,8.11
2011-11-08,7.64,7.89,7.64,7.82,7400,7.82
2011-11-07,7.83,7.99,7.05,7.81,15500,7.81
2011-11-04,7.80,7.95,7.43,7.75,25500,7.75
2011-11-03,8.28,8.28,7.50,7.93,24000,7.93
2011-11-02,8.10,8.10,7.86,8.04,11200,8.04
2011-11-01,8.04,8.49,7.73,7.95,29400,7.95
2011-10-31,8.00,8.25,8.00,8.03,5400,8.03
2011-10-28,8.17,8.21,8.01,8.01,4500,8.01
2011-10-27,8.67,8.67,8.00,8.24,29700,8.24
2011-10-26,8.19,8.59,8.10,8.25,12600,8.25
2011-10-25,8.14,8.40,8.05,8.05,10000,8.05
2011-10-24,8.23,8.94,8.06,8.31,22400,8.31
2011-10-21,8.11,8.41,8.01,8.08,7300,8.08
2011-10-20,8.82,8.82,7.94,8.32,17100,8.32
2011-10-19,8.90,9.94,8.60,8.72,23700,8.72
2011-10-18,8.95,9.30,8.53,8.55,25900,8.55
2011-10-17,8.51,8.97,8.44,8.82,18000,8.82
2011-10-14,8.60,8.75,8.50,8.53,25600,8.53
2011-10-13,8.52,8.70,8.45,8.65,7700,8.65
2011-10-12,8.69,8.75,8.50,8.61,19500,8.61
2011-10-11,8.55,8.65,8.43,8.51,10000,8.51
2011-10-10,8.76,8.99,8.54,8.56,23600,8.56
2011-10-07,8.89,8.94,8.31,8.49,12000,8.49
2011-10-06,8.45,8.95,8.40,8.88,9900,8.88
2011-10-05,8.98,8.99,8.53,8.90,43400,8.90
2011-10-04,8.62,9.00,8.26,8.74,79400,8.74
2011-10-03,8.98,8.98,8.01,8.80,81700,8.80
2011-09-30,8.74,9.24,8.74,9.03,7000,9.03
2011-09-29,9.26,9.28,9.06,9.27,7100,9.27
2011-09-28,9.12,9.30,8.91,9.13,8300,9.13
2011-09-27,9.27,9.27,8.50,9.01,50200,9.01
2011-09-26,9.17,9.17,8.51,9.05,30800,9.05
2011-09-23,9.24,9.25,8.77,9.03,15100,9.03
2011-09-22,9.13,9.38,7.84,9.14,55700,9.14
2011-09-21,9.36,9.44,9.31,9.38,19000,9.38
2011-09-20,9.44,9.50,9.12,9.44,9600,9.44
2011-09-19,9.47,9.64,9.26,9.38,27400,9.38
2011-09-16,9.67,10.03,9.29,9.57,58200,9.57
2011-09-15,9.41,9.67,9.30,9.56,16800,9.56
2011-09-14,9.47,9.50,9.13,9.28,38900,9.28
2011-09-13,9.51,9.55,9.18,9.46,13900,9.46
2011-09-12,9.62,10.00,9.35,9.57,35900,9.57
2011-09-09,9.70,9.90,9.69,9.75,14900,9.75
2011-09-08,9.65,10.04,9.65,9.85,34000,9.85
2011-09-07,9.47,9.72,9.41,9.65,22100,9.65
2011-09-06,9.20,9.78,9.20,9.40,17400,9.40
2011-09-02,9.34,9.69,9.34,9.43,17100,9.43
2011-09-01,9.91,9.98,9.44,9.48,33500,9.48
2011-08-31,9.80,10.06,9.80,9.95,29500,9.95
2011-08-30,9.82,10.16,9.67,9.80,17700,9.80
2011-08-29,9.71,9.95,9.58,9.95,13400,9.95
2011-08-26,9.47,9.75,9.32,9.56,54400,9.56
2011-08-25,10.23,10.23,9.50,9.50,29800,9.50
2011-08-24,10.07,10.17,9.83,9.85,11400,9.85
2011-08-23,9.73,10.23,9.54,10.07,173200,10.07
2011-08-22,9.87,10.15,9.57,9.64,93300,9.64
2011-08-19,9.31,9.95,9.31,9.54,91400,9.54
2011-08-18,9.72,9.76,9.07,9.40,102100,9.40
2011-08-17,10.88,10.99,10.01,10.07,62800,10.07
2011-08-16,11.21,11.25,10.75,10.87,126400,10.87
2011-08-15,10.96,11.37,10.62,11.24,65000,11.24
2011-08-12,10.71,10.81,10.05,10.62,46500,10.62
2011-08-11,9.57,10.56,9.50,10.19,88700,10.19
2011-08-10,8.89,10.71,8.89,9.41,101000,9.41
2011-08-09,8.86,9.50,7.90,9.02,198700,9.02
2011-08-08,9.63,9.98,8.62,8.85,189800,8.85
2011-08-05,10.11,10.11,9.34,9.95,209900,9.95
2011-08-04,10.75,11.04,9.73,9.96,144400,9.96
2011-08-03,11.49,11.73,10.81,10.90,94400,10.90
2011-08-02,11.69,12.25,11.39,11.46,46900,11.46
2011-08-01,12.26,12.26,11.66,11.74,56300,11.74
2011-07-29,11.75,12.26,11.56,12.09,92200,12.09
2011-07-28,11.92,12.35,11.66,11.99,125300,11.99
2011-07-27,12.14,12.35,11.91,11.99,69900,11.99
2011-07-26,11.84,12.23,11.84,12.05,179700,12.05
2011-07-25,12.17,12.22,11.66,11.95,125100,11.95
2011-07-22,11.82,12.05,11.68,11.89,125400,11.89
2011-07-21,12.50,12.50,11.03,11.93,165500,11.93
2011-07-20,12.65,12.70,12.36,12.50,107900,12.50
2011-07-19,12.66,12.85,12.55,12.65,86000,12.65
2011-07-18,13.00,13.01,12.52,12.73,102300,12.73
2011-07-15,12.95,13.15,12.40,12.96,90700,12.96
2011-07-14,11.50,13.27,11.50,12.71,762500,12.71
2011-07-13,13.48,13.84,11.76,11.91,264000,11.91
2011-07-12,14.09,14.50,13.23,13.49,138700,13.49
2011-07-11,13.07,14.48,13.07,14.00,58900,14.00
2011-07-08,13.60,14.00,13.00,13.47,84000,13.47
2011-07-07,14.49,14.90,13.70,14.09,34300,14.09
