Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,23.59,23.91,23.11,23.13,2447100,23.13
2012-05-03,24.44,24.49,23.55,23.68,2454800,23.68
2012-05-02,23.67,24.50,23.66,24.40,2701100,24.40
2012-05-01,24.34,24.64,23.80,24.18,2585200,24.18
2012-04-30,25.47,25.49,24.14,24.22,4996400,24.22
2012-04-27,24.47,26.75,24.47,25.15,10828000,25.15
2012-04-26,24.68,24.80,24.07,24.43,3508800,24.43
2012-04-25,22.75,24.49,22.70,24.23,6980100,24.23
2012-04-24,22.76,22.90,22.38,22.43,2185300,22.43
2012-04-23,22.66,22.80,22.37,22.70,2140500,22.70
2012-04-20,22.50,23.02,22.25,22.95,3928100,22.95
2012-04-19,22.41,22.79,22.12,22.19,3534000,22.19
2012-04-18,21.67,22.35,21.41,22.14,3701800,22.14
2012-04-17,22.02,22.02,21.55,21.67,3362900,21.67
2012-04-16,22.30,22.55,21.68,21.85,3321500,21.85
2012-04-13,22.17,22.25,21.97,22.14,3825400,22.14
2012-04-12,22.31,22.36,22.00,22.16,3868300,22.16
2012-04-11,21.88,22.29,21.55,22.22,5474800,22.22
2012-04-10,23.46,23.54,21.48,21.56,16446700,21.56
2012-04-09,22.48,23.11,22.13,22.92,9589700,22.92
2012-04-05,22.76,23.66,22.10,22.53,9562800,22.53
2012-04-04,22.11,22.45,21.52,22.37,6673300,22.37
2012-04-03,21.89,22.34,21.12,22.23,7366100,22.23
2012-04-02,23.00,23.10,21.55,21.72,6223000,21.72
2012-03-30,21.85,23.15,21.81,22.36,14617000,22.36
2012-03-29,19.61,23.75,19.55,21.28,30757400,21.28
2012-03-28,20.95,21.16,20.08,20.37,3879600,20.37
2012-03-27,21.03,21.15,20.24,20.85,5472200,20.85
2012-03-26,22.05,22.45,20.89,21.02,11287500,21.02
2012-03-23,20.79,21.59,20.68,21.31,4130500,21.31
2012-03-22,20.92,21.05,20.50,20.81,2349500,20.81
2012-03-21,20.81,21.68,20.79,21.09,3756300,21.09
2012-03-20,21.05,21.12,20.43,20.82,3873900,20.82
2012-03-19,20.24,21.68,20.13,21.13,7233000,21.13
2012-03-16,20.22,20.53,20.01,20.25,3292200,20.25
2012-03-15,20.07,20.75,19.87,20.14,4223300,20.14
2012-03-14,20.10,20.90,19.80,20.05,3366100,20.05
2012-03-13,20.69,20.69,19.39,20.19,6090400,20.19
2012-03-12,20.43,20.88,20.11,20.25,3421400,20.25
2012-03-09,21.43,21.45,20.37,20.66,4444400,20.66
2012-03-08,21.50,21.65,20.90,21.25,3824600,21.25
2012-03-07,21.74,22.00,21.21,21.58,3435500,21.58
2012-03-06,20.33,21.63,20.07,21.52,10199100,21.52
2012-03-05,21.33,22.25,21.30,21.77,6206600,21.77
2012-03-02,22.16,22.64,21.55,21.64,8133700,21.64
2012-03-01,23.00,23.25,22.00,22.25,18849000,22.25
2012-02-29,22.54,23.48,21.76,22.50,17475300,22.50
2012-02-28,24.30,24.50,21.08,21.26,20274600,21.26
2012-02-27,22.93,25.14,22.91,23.78,34900500,23.78
2012-02-24,19.14,22.19,18.76,22.13,29117300,22.13
2012-02-23,20.70,21.44,18.54,18.73,58725000,18.73
2012-02-22,10.55,10.55,10.55,10.55,000,10.55
2012-02-21,12.01,12.09,10.31,10.55,11750700,10.55
2012-02-17,11.68,12.22,11.24,11.99,12573500,11.99
2012-02-16,12.22,12.95,10.12,11.18,14804600,11.18
2012-02-15,12.11,12.25,11.88,11.99,2604400,11.99
2012-02-14,12.43,12.45,12.05,12.07,2005000,12.07
2012-02-13,12.50,12.68,12.08,12.39,3079900,12.39
2012-02-10,12.74,12.75,12.33,12.35,2254500,12.35
2012-02-09,12.87,12.93,12.71,12.77,1560100,12.77
2012-02-08,12.87,12.92,12.51,12.82,1909900,12.82
2012-02-07,12.70,13.18,12.70,12.82,2294500,12.82
2012-02-06,12.45,12.78,12.35,12.77,2206300,12.77
2012-02-03,12.54,12.63,12.36,12.47,1314200,12.47
2012-02-02,12.04,12.49,11.96,12.33,1998100,12.33
2012-02-01,11.96,12.10,11.82,11.96,1896400,11.96
2012-01-31,11.99,12.07,11.73,11.93,1099900,11.93
2012-01-30,11.92,11.96,11.66,11.89,1373400,11.89
2012-01-27,11.88,12.18,11.81,12.04,1329300,12.04
2012-01-26,12.32,12.34,11.81,11.90,1758500,11.90
2012-01-25,12.02,12.28,11.77,12.22,1390000,12.22
2012-01-24,11.95,12.00,11.70,11.86,1191600,11.86
2012-01-23,12.10,12.16,11.81,11.91,1444800,11.91
2012-01-20,12.27,12.35,11.99,12.04,1940900,12.04
2012-01-19,12.37,12.49,12.30,12.36,1816000,12.36
2012-01-18,12.19,12.42,12.05,12.33,2066900,12.33
2012-01-17,12.50,12.60,12.08,12.19,1933000,12.19
2012-01-13,12.28,12.40,12.01,12.20,1389300,12.20
2012-01-12,12.08,12.84,12.06,12.23,4367900,12.23
2012-01-11,11.92,12.12,11.80,12.05,2144600,12.05
2012-01-10,11.72,12.00,11.72,11.96,2844800,11.96
2012-01-09,11.65,11.90,11.35,11.65,5195500,11.65
2012-01-06,10.05,10.32,10.03,10.16,1515400,10.16
2012-01-05,9.90,10.10,9.77,10.06,1093300,10.06
2012-01-04,9.83,10.01,9.76,9.99,933800,9.99
2012-01-03,9.96,10.16,9.86,9.90,1389900,9.90
2011-12-30,9.67,9.87,9.50,9.75,1785100,9.75
2011-12-29,9.27,9.75,9.23,9.72,1585800,9.72
2011-12-28,9.19,9.34,9.05,9.25,1407400,9.25
2011-12-27,9.20,9.40,9.04,9.22,1220400,9.22
2011-12-23,8.81,9.24,8.66,9.17,2652700,9.17
2011-12-22,8.95,9.37,8.60,8.68,8800900,8.68
2011-12-21,10.31,10.45,10.05,10.40,1252700,10.40
2011-12-20,9.99,10.30,9.93,10.30,1453500,10.30
2011-12-19,10.17,10.29,9.74,9.79,1601200,9.79
2011-12-16,10.20,10.30,10.00,10.09,2185900,10.09
2011-12-15,10.28,10.28,9.96,10.15,1202900,10.15
2011-12-14,10.19,10.21,9.81,9.84,1358000,9.84
2011-12-13,10.47,10.61,10.22,10.25,1097400,10.25
2011-12-12,10.50,10.55,10.31,10.41,709500,10.41
2011-12-09,10.27,10.73,10.27,10.68,912900,10.68
2011-12-08,10.67,10.78,10.16,10.20,1537300,10.20
2011-12-07,10.44,10.79,10.30,10.72,1655600,10.72
2011-12-06,10.65,10.72,10.28,10.31,1058000,10.31
2011-12-05,10.70,10.79,10.57,10.69,1420900,10.69
2011-12-02,10.63,10.70,10.46,10.52,1138200,10.52
2011-12-01,10.12,10.65,10.07,10.50,2427300,10.50
2011-11-30,10.00,10.14,9.85,10.13,2094400,10.13
2011-11-29,9.84,9.99,9.60,9.75,1943700,9.75
2011-11-28,9.65,10.04,9.58,9.84,1613600,9.84
2011-11-25,9.69,9.74,9.34,9.34,591600,9.34
2011-11-23,9.89,10.00,9.69,9.69,980100,9.69
2011-11-22,9.70,10.23,9.70,9.95,2112800,9.95
2011-11-21,9.70,9.93,9.53,9.68,1449700,9.68
2011-11-18,9.77,9.94,9.71,9.84,896000,9.84
2011-11-17,9.95,10.28,9.67,9.77,1218400,9.77
2011-11-16,10.15,10.33,9.98,9.99,1181900,9.99
2011-11-15,10.01,10.28,10.00,10.20,1240600,10.20
2011-11-14,10.03,10.25,9.95,10.16,1420000,10.16
2011-11-11,9.71,10.14,9.63,9.92,1320400,9.92
2011-11-10,9.62,9.77,9.46,9.63,858700,9.63
2011-11-09,9.27,9.75,9.26,9.41,1381600,9.41
2011-11-08,10.01,10.11,9.29,9.54,2161000,9.54
2011-11-07,10.00,10.26,9.63,9.92,1785700,9.92
2011-11-04,9.75,10.00,9.68,9.92,2198100,9.92
2011-11-03,9.57,9.95,9.25,9.49,3376500,9.49
2011-11-02,9.52,9.70,9.37,9.49,1180300,9.49
2011-11-01,9.08,9.70,9.00,9.45,2237400,9.45
2011-10-31,9.10,9.47,9.04,9.42,1188400,9.42
2011-10-28,9.14,9.30,9.00,9.20,833300,9.20
2011-10-27,9.09,9.32,8.95,9.23,1576300,9.23
2011-10-26,8.68,8.93,8.49,8.90,936600,8.90
2011-10-25,8.92,8.94,8.53,8.55,779600,8.55
2011-10-24,8.70,8.99,8.59,8.96,1028700,8.96
2011-10-21,8.50,8.67,8.30,8.66,1028500,8.66
2011-10-20,8.43,8.51,8.15,8.34,814300,8.34
2011-10-19,8.67,8.80,8.41,8.44,788100,8.44
2011-10-18,8.60,8.73,8.27,8.65,949500,8.65
2011-10-17,8.62,8.82,8.55,8.58,1082900,8.58
2011-10-14,8.54,8.58,8.35,8.58,587100,8.58
2011-10-13,8.30,8.51,8.24,8.48,568100,8.48
2011-10-12,8.40,8.53,8.29,8.37,968300,8.37
2011-10-11,8.24,8.39,8.08,8.31,788600,8.31
2011-10-10,8.11,8.41,8.05,8.26,759700,8.26
2011-10-07,8.33,8.33,7.86,7.95,1129700,7.95
2011-10-06,8.14,8.39,8.02,8.32,891100,8.32
2011-10-05,8.10,8.26,7.94,8.19,1010100,8.19
2011-10-04,7.60,8.12,7.47,8.11,2003800,8.11
2011-10-03,8.02,8.35,7.68,7.68,1995700,7.68
2011-09-30,8.05,8.25,7.90,8.07,1672400,8.07
2011-09-29,8.28,8.34,7.87,8.18,1339800,8.18
2011-09-28,8.67,8.82,8.10,8.10,1550800,8.10
2011-09-27,8.58,8.89,8.52,8.69,1450000,8.69
2011-09-26,8.50,8.57,8.16,8.46,1634900,8.46
2011-09-23,8.31,8.61,8.19,8.41,1224200,8.41
2011-09-22,8.40,8.46,8.14,8.32,1961000,8.32
2011-09-21,8.77,8.98,8.59,8.60,1990400,8.60
