Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,21.75,21.89,21.27,21.40,514700,21.40
2012-05-03,22.24,22.41,21.76,21.93,525400,21.93
2012-05-02,22.42,22.49,22.09,22.38,515100,22.28
2012-05-01,22.71,23.11,22.58,22.59,558700,22.49
2012-04-30,22.85,22.85,22.33,22.73,796700,22.63
2012-04-27,22.75,22.96,22.38,22.92,640600,22.82
2012-04-26,22.26,22.76,22.26,22.76,1183900,22.66
2012-04-25,21.88,22.38,21.84,22.33,762300,22.23
2012-04-24,21.32,21.84,21.32,21.62,483600,21.52
2012-04-23,21.09,21.38,20.96,21.25,454500,21.16
2012-04-20,21.67,21.87,21.42,21.44,397600,21.34
2012-04-19,21.52,21.80,21.20,21.42,677500,21.32
2012-04-18,21.48,21.83,21.32,21.45,518000,21.35
2012-04-17,21.72,21.95,21.46,21.57,795700,21.47
2012-04-16,21.22,21.59,20.91,21.42,518500,21.32
2012-04-13,21.74,21.75,21.01,21.03,554800,20.94
2012-04-12,21.34,21.95,21.29,21.87,446500,21.77
2012-04-11,21.22,21.35,21.07,21.34,305900,21.24
2012-04-10,21.56,21.64,20.79,20.91,688600,20.82
2012-04-09,21.47,21.71,21.29,21.55,462300,21.45
2012-04-05,21.69,22.05,21.66,21.90,401700,21.80
2012-04-04,22.31,22.53,21.76,21.88,1368900,21.78
2012-04-03,22.78,22.78,22.17,22.70,709900,22.60
2012-04-02,22.64,22.94,22.42,22.77,606600,22.67
2012-03-30,23.00,23.00,22.44,22.67,402400,22.57
2012-03-29,22.62,22.84,22.16,22.73,615800,22.63
2012-03-28,22.27,22.84,22.27,22.84,502300,22.74
2012-03-27,22.60,22.76,22.30,22.31,423800,22.21
2012-03-26,22.79,23.01,22.53,22.68,776000,22.58
2012-03-23,22.42,22.80,22.16,22.61,993900,22.51
2012-03-22,22.38,22.55,22.14,22.36,557200,22.26
2012-03-21,23.16,23.18,22.70,22.74,429800,22.64
2012-03-20,23.11,23.26,22.73,23.08,634600,22.98
2012-03-19,23.20,23.94,22.87,23.51,542900,23.40
2012-03-16,23.23,23.50,23.00,23.26,553700,23.16
2012-03-15,22.71,23.37,22.46,23.31,509900,23.21
2012-03-14,22.74,23.10,22.35,22.65,345600,22.55
2012-03-13,22.24,22.88,22.04,22.87,614900,22.77
2012-03-12,22.19,22.24,21.72,21.99,256500,21.89
2012-03-09,21.96,22.67,21.93,22.23,443800,22.13
2012-03-08,21.69,22.05,21.49,22.00,625000,21.90
2012-03-07,21.29,21.60,21.06,21.49,384200,21.39
2012-03-06,21.37,21.50,21.09,21.13,568900,21.04
2012-03-05,21.55,21.81,21.36,21.72,311300,21.62
2012-03-02,22.03,22.09,21.60,21.63,638700,21.53
2012-03-01,22.02,22.37,21.94,22.02,445900,21.92
2012-02-29,22.90,23.05,21.81,21.88,1261800,21.78
2012-02-28,22.65,22.92,22.41,22.90,564400,22.80
2012-02-27,22.35,22.96,22.14,22.63,324500,22.53
2012-02-24,22.92,23.00,22.41,22.50,411600,22.40
2012-02-23,22.40,23.07,22.30,22.95,565600,22.85
2012-02-22,23.63,23.69,22.25,22.40,1410200,22.30
2012-02-21,23.65,23.90,23.42,23.81,561200,23.70
2012-02-17,23.54,23.89,23.34,23.60,459000,23.49
2012-02-16,22.84,23.60,22.83,23.42,558900,23.32
2012-02-15,22.86,23.08,22.72,22.85,424600,22.75
2012-02-14,23.11,23.11,22.62,22.84,312300,22.74
