Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,67.14,67.42,66.34,66.79,41800,66.79
2012-05-03,68.86,69.02,68.13,68.37,42300,68.37
2012-05-02,68.08,68.66,67.77,68.66,51000,68.66
2012-05-01,67.99,69.11,67.99,68.78,52500,68.78
2012-04-30,68.16,68.22,67.28,67.82,51300,67.82
2012-04-27,68.42,69.00,67.98,68.74,100000,68.74
2012-04-26,66.93,68.62,66.93,68.60,48000,68.60
2012-04-25,67.79,68.59,67.73,68.45,65200,68.45
2012-04-24,67.22,67.44,66.93,67.22,34900,67.22
2012-04-23,66.41,67.04,65.94,66.97,60800,66.97
2012-04-20,68.02,68.42,67.59,67.87,56600,67.87
2012-04-19,68.33,69.17,68.08,68.48,70100,68.48
2012-04-18,68.60,68.98,68.56,68.70,57600,68.70
2012-04-17,68.48,68.88,68.14,68.67,77000,68.67
2012-04-16,67.07,67.49,66.43,67.25,62200,67.25
2012-04-13,67.24,67.27,66.43,66.89,86800,66.89
2012-04-12,66.95,68.79,66.93,68.66,71100,68.66
2012-04-11,66.09,66.35,65.84,66.27,57400,66.27
2012-04-10,65.84,65.97,64.50,64.55,71400,64.55
2012-04-09,66.00,66.87,65.94,66.68,22700,66.68
2012-04-05,66.24,67.16,66.24,67.02,62100,67.02
2012-04-04,66.24,66.62,65.57,66.01,124100,66.01
2012-04-03,69.37,69.44,68.09,68.60,110700,68.60
2012-04-02,68.66,70.30,68.34,69.98,122600,69.98
2012-03-30,68.01,68.48,67.45,68.37,91200,68.37
2012-03-29,67.60,68.07,67.37,68.04,55400,68.04
2012-03-28,68.92,69.02,67.88,68.16,42000,68.16
2012-03-27,69.62,69.70,68.92,68.92,43500,68.92
2012-03-26,69.91,70.16,69.76,70.03,83500,70.03
2012-03-23,68.42,68.56,67.72,68.37,58100,68.37
2012-03-22,68.07,68.26,67.75,68.06,57300,68.06
2012-03-21,67.44,67.95,67.09,67.51,47500,67.51
2012-03-20,67.49,67.77,67.11,67.25,90300,67.25
2012-03-19,68.26,68.99,68.25,68.60,80500,68.60
2012-03-16,66.77,68.10,66.76,67.81,114000,67.81
2012-03-15,65.48,66.02,65.08,65.97,54800,65.97
2012-03-14,65.99,66.22,65.30,65.59,59000,65.59
2012-03-13,65.21,66.09,65.08,66.09,59800,66.09
2012-03-12,64.54,64.58,64.09,64.38,102800,64.38
2012-03-09,65.06,65.16,64.42,64.58,114000,64.58
2012-03-08,64.79,65.63,64.79,65.40,54400,65.40
2012-03-07,63.56,64.07,63.33,63.96,446300,63.96
2012-03-06,63.11,63.34,62.52,62.60,488800,62.60
2012-03-05,65.34,65.34,64.24,64.75,47200,64.75
2012-03-02,66.13,66.16,65.29,65.59,71500,65.59
2012-03-01,66.45,66.65,65.87,65.99,134400,65.99
2012-02-29,64.64,64.72,63.90,64.17,38200,64.17
2012-02-28,63.49,64.74,63.42,64.64,54700,64.64
2012-02-27,62.85,63.27,62.59,63.15,57100,63.15
2012-02-24,64.03,64.12,63.59,63.95,67200,63.95
2012-02-23,62.97,63.85,62.55,63.82,64100,63.82
2012-02-22,62.32,63.24,62.30,63.18,85800,63.18
2012-02-21,63.41,63.47,63.05,63.32,85800,63.32
2012-02-17,64.55,64.59,64.01,64.46,38400,64.46
2012-02-16,63.11,64.45,63.09,64.27,42400,64.27
2012-02-15,63.46,63.85,62.98,63.09,47900,63.09
2012-02-14,62.63,62.91,62.11,62.84,86000,62.84
2012-02-13,62.42,62.94,62.34,62.84,90500,62.84
2012-02-10,61.38,61.69,61.04,61.47,153400,61.47
2012-02-09,62.08,62.34,61.53,62.09,147800,62.09
2012-02-08,62.68,62.84,62.07,62.53,144600,62.53
2012-02-07,62.26,63.14,61.89,63.01,359100,63.01
2012-02-06,61.07,65.33,60.94,63.20,746100,63.20
2012-02-03,60.73,61.56,60.72,61.52,33100,61.52
2012-02-02,60.11,60.63,60.11,60.18,38800,60.18
2012-02-01,59.76,60.24,59.74,59.92,40100,59.92
2012-01-31,58.85,58.91,58.43,58.62,39300,58.62
2012-01-30,57.70,58.00,57.42,57.84,33100,57.84
2012-01-27,58.76,59.04,58.38,58.66,48800,58.66
2012-01-26,59.47,59.47,58.57,59.04,50900,59.04
2012-01-25,58.40,59.02,57.93,58.92,32700,58.92
2012-01-24,58.06,58.55,57.84,58.37,53800,58.37
2012-01-23,58.23,58.99,58.18,58.66,45700,58.66
2012-01-20,57.83,58.08,57.61,58.02,25800,58.02
2012-01-19,57.26,58.01,57.02,58.01,42500,58.01
2012-01-18,57.05,57.79,56.96,57.72,63900,57.72
2012-01-17,56.99,57.17,56.56,56.65,99100,56.65
2012-01-13,55.28,56.00,54.97,55.91,38100,55.91
2012-01-12,55.96,56.43,55.59,56.35,73500,56.35
2012-01-11,54.90,55.51,54.61,55.51,142600,55.51
2012-01-10,56.19,56.42,55.73,55.78,75700,55.78
2012-01-09,54.18,54.33,53.88,54.33,38800,54.33
2012-01-06,53.38,53.39,52.69,52.96,37800,52.96
2012-01-05,52.21,52.27,51.70,52.14,22500,52.14
2012-01-04,52.98,53.23,52.65,53.04,22500,53.04
2012-01-03,52.69,53.36,52.69,53.15,53700,53.15
2011-12-30,52.31,52.54,51.94,52.23,24500,52.23
2011-12-29,51.31,51.78,50.89,51.67,15700,51.67
2011-12-28,51.87,51.90,51.17,51.17,24600,51.17
2011-12-27,51.23,51.64,51.16,51.45,15600,51.45
2011-12-23,51.26,51.69,50.92,51.10,37400,51.10
2011-12-22,50.98,51.21,50.70,51.17,34000,51.17
2011-12-21,51.23,51.23,50.63,51.04,28900,51.04
2011-12-20,50.91,51.31,50.79,50.94,40900,50.94
2011-12-19,49.60,49.86,49.00,49.01,62200,49.01
2011-12-16,49.76,50.00,49.31,49.51,49900,49.51
2011-12-15,50.09,50.12,49.49,49.58,35400,49.58
2011-12-14,49.91,50.00,49.16,49.30,63900,49.30
2011-12-13,51.16,51.45,49.05,49.74,165700,49.74
2011-12-12,51.53,51.53,50.50,50.87,29000,50.87
2011-12-09,51.69,52.40,51.69,52.39,22300,52.39
2011-12-08,52.18,52.42,51.24,51.34,22200,51.34
2011-12-07,52.00,52.77,51.68,52.52,24500,52.52
2011-12-06,52.58,52.93,52.33,52.52,25700,52.52
2011-12-05,53.09,53.22,52.07,52.44,33000,52.44
2011-12-02,52.84,52.95,52.12,52.20,21300,52.20
2011-12-01,52.28,52.70,51.83,51.96,23900,51.96
2011-11-30,51.93,52.59,51.82,52.47,26200,52.47
2011-11-29,50.57,50.91,50.26,50.37,38300,50.37
2011-11-28,49.75,50.05,49.51,49.74,32200,49.74
2011-11-25,47.69,48.03,47.32,47.32,41100,47.32
2011-11-23,48.75,48.93,47.92,47.92,61000,47.92
2011-11-22,49.00,49.50,48.96,49.22,33800,49.22
2011-11-21,49.66,49.77,48.95,49.28,32900,49.28
2011-11-18,51.13,51.22,50.52,50.87,26300,50.87
2011-11-17,51.98,52.05,50.84,51.00,58400,51.00
2011-11-16,51.91,52.52,51.59,51.64,36500,51.64
2011-11-15,51.98,52.42,51.66,52.13,43500,52.13
2011-11-14,52.62,52.87,52.08,52.37,27000,52.37
2011-11-11,52.84,53.80,52.82,53.65,39200,53.65
2011-11-10,52.25,52.25,51.02,51.88,23100,51.88
2011-11-09,52.11,52.29,51.23,51.30,42300,51.30
2011-11-08,53.75,54.26,53.13,54.15,37000,54.15
2011-11-07,53.08,53.84,52.95,53.71,31100,53.71
2011-11-04,53.12,53.63,52.90,53.26,48000,53.26
2011-11-03,54.04,54.43,52.81,54.17,40500,54.17
2011-11-02,51.90,52.49,51.65,52.16,34800,52.16
2011-11-01,50.49,51.49,50.14,50.90,67700,50.90
2011-10-31,53.37,53.50,51.82,51.83,45900,51.83
2011-10-28,55.07,56.00,54.93,55.38,96700,55.38
2011-10-27,54.76,55.23,53.79,54.98,51800,54.98
2011-10-26,52.55,52.72,51.37,52.30,44700,52.30
2011-10-25,52.19,52.29,51.46,51.53,44200,51.53
2011-10-24,50.78,51.91,50.78,51.70,18200,51.70
2011-10-21,50.02,50.53,49.95,50.44,42800,50.44
2011-10-20,48.79,49.25,48.26,49.10,46400,49.10
2011-10-19,50.09,50.21,49.14,49.22,59500,49.22
2011-10-18,50.90,50.97,49.28,50.59,100900,50.59
2011-10-17,51.35,51.37,49.87,49.91,52000,49.91
2011-10-14,51.59,51.81,51.06,51.45,49000,51.45
2011-10-13,49.89,50.08,49.28,49.89,28100,49.89
2011-10-12,50.28,51.22,50.17,50.65,37700,50.65
2011-10-11,48.97,49.32,48.81,49.11,37700,48.50
2011-10-10,48.86,49.29,48.85,49.29,20700,48.68
2011-10-07,48.41,49.09,48.24,48.26,52600,47.66
2011-10-06,45.56,47.58,45.44,47.54,29500,46.95
2011-10-05,45.51,45.99,45.19,45.97,35900,45.40
2011-10-04,44.21,45.90,43.98,45.90,43800,45.33
2011-10-03,45.89,46.39,44.88,45.04,46100,44.48
2011-09-30,47.18,47.27,46.01,46.05,39000,45.48
2011-09-29,49.75,50.13,48.20,49.03,28200,48.42
2011-09-28,49.57,49.89,48.19,48.31,74800,47.71
2011-09-27,49.57,50.36,49.34,49.49,45600,48.88
2011-09-26,47.72,47.86,46.77,47.78,41100,47.19
2011-09-23,45.50,46.60,45.49,46.53,28500,45.95
2011-09-22,45.62,46.07,44.91,45.40,58500,44.84
2011-09-21,48.70,48.88,47.26,47.26,59600,46.67
2011-09-20,48.67,49.01,48.31,48.63,47900,48.03
2011-09-19,47.94,48.78,47.94,48.38,22200,47.78
2011-09-16,49.71,49.89,49.33,49.59,27100,48.98
2011-09-15,49.52,49.80,49.29,49.66,41200,49.04
2011-09-14,48.33,49.20,47.46,48.98,43000,48.37
2011-09-13,47.70,48.19,47.41,48.08,44100,47.48
2011-09-12,46.28,47.17,46.20,47.15,58300,46.57
2011-09-09,48.41,48.56,47.57,47.79,36400,47.20
2011-09-08,49.34,50.42,49.29,49.30,106600,48.69
2011-09-07,49.11,49.76,48.83,49.65,439600,49.03
2011-09-06,47.13,47.56,46.55,47.53,152800,46.94
2011-09-02,50.24,51.04,49.53,49.53,164600,48.92
2011-09-01,52.39,52.54,51.57,51.66,48100,51.02
2011-08-31,52.78,53.17,51.99,52.37,39300,51.72
2011-08-30,51.30,51.56,50.59,51.40,29900,50.76
2011-08-29,51.24,51.56,51.01,51.48,42600,50.84
2011-08-26,49.33,50.53,48.94,50.50,24500,49.87
2011-08-25,50.50,50.78,49.39,49.40,48400,48.79
2011-08-24,51.11,51.78,50.60,51.17,49300,50.54
2011-08-23,47.63,49.16,47.26,49.16,43400,48.55
2011-08-22,49.02,49.02,47.29,47.50,145200,46.91
2011-08-19,48.43,49.74,48.09,48.24,112300,47.64
2011-08-18,49.85,49.86,48.51,49.27,108300,48.66
2011-08-17,51.96,52.36,51.28,51.52,36500,50.88
2011-08-16,51.49,52.11,51.00,51.77,42600,51.13
2011-08-15,52.61,53.06,52.37,52.80,24800,52.15
2011-08-12,50.64,52.14,50.63,51.65,87000,51.01
2011-08-11,48.23,50.81,47.90,50.21,161300,49.59
2011-08-10,50.05,50.06,48.35,48.46,102500,47.86
2011-08-09,49.53,50.88,47.99,50.87,166200,50.24
2011-08-08,49.22,49.83,47.21,47.29,164400,46.70
2011-08-05,51.34,51.55,49.68,50.78,186600,50.15
2011-08-04,52.41,52.75,50.18,50.23,173500,49.61
2011-08-03,54.19,54.53,53.46,54.46,83100,53.78
2011-08-02,54.93,55.19,54.05,54.08,67200,53.41
2011-08-01,57.54,57.65,55.65,56.02,80400,55.33
2011-07-29,56.67,57.33,56.36,56.59,55400,55.89
2011-07-28,57.52,57.86,56.96,57.09,44800,56.38
2011-07-27,58.68,58.71,57.56,57.69,27500,56.97
2011-07-26,58.98,59.36,58.69,59.10,30600,58.37
2011-07-25,59.18,59.42,59.07,59.18,30100,58.45
2011-07-22,59.84,59.97,59.30,59.43,38700,58.69
2011-07-21,58.79,59.36,58.54,59.14,52400,58.41
2011-07-20,58.10,58.39,57.74,58.15,35800,57.43
2011-07-19,57.04,57.68,56.96,57.50,114100,56.79
2011-07-18,56.24,56.40,55.11,55.65,41400,54.96
2011-07-15,57.43,57.55,56.83,57.07,104100,56.36
2011-07-14,58.62,58.69,57.46,57.68,46000,56.96
2011-07-13,58.42,59.57,58.32,58.87,42800,58.14
2011-07-12,57.77,58.38,57.77,57.84,85900,57.12
2011-07-11,58.66,58.97,58.30,58.66,95900,57.93
2011-07-08,60.92,61.14,60.45,60.80,30400,60.05
2011-07-07,61.20,61.88,61.12,61.68,78200,60.92
2011-07-06,60.99,61.27,60.65,61.22,83000,60.46
2011-07-05,63.26,63.54,62.66,62.87,106800,62.09
2011-07-01,61.87,62.65,61.71,62.54,55500,61.76
2011-06-30,62.20,62.77,62.20,62.75,23500,61.97
2011-06-29,61.28,62.11,60.95,61.88,37000,61.11
2011-06-28,59.69,60.23,59.53,60.23,27800,59.48
2011-06-27,59.07,59.90,58.90,59.61,45100,58.87
2011-06-24,59.92,60.04,59.14,59.33,35400,58.59
2011-06-23,59.02,59.44,58.49,59.44,53100,58.70
2011-06-22,60.44,60.95,60.33,60.37,39700,59.62
2011-06-21,60.00,60.56,59.94,60.49,22600,59.74
2011-06-20,59.63,60.16,59.63,59.90,22200,59.16
2011-06-17,59.81,60.07,59.50,59.73,27100,58.99
2011-06-16,59.43,59.74,58.94,59.38,126700,58.64
2011-06-15,60.01,60.41,59.30,59.39,16600,58.65
2011-06-14,60.96,61.24,60.83,61.03,58700,60.27
2011-06-13,59.91,60.28,59.59,59.91,56200,59.17
2011-06-10,59.89,59.92,58.72,58.95,37900,58.22
2011-06-09,60.06,60.43,59.88,60.41,43800,59.66
2011-06-08,59.18,59.48,59.05,59.16,83400,58.43
2011-06-07,60.33,60.52,59.87,59.87,22000,59.13
2011-06-06,60.10,60.23,59.58,59.62,48500,58.88
2011-06-03,59.99,60.85,59.88,60.47,61500,59.72
2011-06-02,59.90,60.53,59.55,59.92,47000,59.18
2011-06-01,61.29,61.31,59.53,59.63,40800,58.89
2011-05-31,62.60,62.74,61.88,62.37,38000,60.66
2011-05-27,60.87,61.69,60.87,61.38,24700,59.70
2011-05-26,60.28,61.04,60.21,60.85,27800,59.18
2011-05-25,59.59,60.76,59.53,60.55,27900,58.89
2011-05-24,60.28,60.56,60.02,60.20,37000,58.55
2011-05-23,60.01,60.41,59.87,60.40,42900,58.74
2011-05-20,62.01,62.21,61.43,61.77,22500,60.07
2011-05-19,61.89,62.13,61.46,62.00,61200,60.30
2011-05-18,60.93,61.43,60.90,61.43,50000,59.74
2011-05-17,61.52,61.81,61.12,61.77,41000,60.07
2011-05-16,61.87,62.40,61.65,61.86,80100,60.16
2011-05-13,62.79,62.90,61.63,62.11,40500,60.41
2011-05-12,62.71,63.18,62.31,62.94,26100,61.21
2011-05-11,63.98,64.08,62.74,62.96,45500,61.23
2011-05-10,63.16,63.50,63.01,63.49,26100,61.75
2011-05-09,61.92,62.63,61.74,62.61,56800,60.89
2011-05-06,62.65,63.07,62.09,62.48,54000,60.77
2011-05-05,62.61,62.85,61.87,62.44,44400,60.73
2011-05-04,63.66,63.68,62.86,63.15,61100,61.42
2011-05-03,63.79,64.09,63.41,63.71,47600,61.96
2011-05-02,65.30,65.63,64.74,64.82,43300,63.04
2011-04-29,64.96,65.35,64.91,65.29,67800,63.50
2011-04-28,64.96,65.23,64.59,64.93,72700,63.15
2011-04-27,62.69,63.76,62.55,63.56,95300,61.82
2011-04-26,61.23,61.68,61.08,61.19,56500,59.51
2011-04-25,61.61,61.87,61.32,61.82,29900,60.12
2011-04-21,62.43,62.46,61.55,61.81,111500,60.11
2011-04-20,61.15,62.26,61.14,61.83,113100,60.13
2011-04-19,59.38,59.76,59.24,59.43,46600,57.80
2011-04-18,58.65,59.16,58.26,59.16,119600,57.54
2011-04-15,59.74,59.75,58.79,59.10,147800,57.48
2011-04-14,59.28,59.55,59.07,59.37,83400,57.74
2011-04-13,60.35,60.41,59.54,59.81,47300,58.17
2011-04-12,60.10,60.22,59.66,60.00,56000,58.35
2011-04-11,61.49,61.69,61.02,61.31,68300,59.63
2011-04-08,63.06,63.14,61.93,62.20,60100,60.49
2011-04-07,63.36,63.60,62.59,63.10,47800,61.37
2011-04-06,64.02,64.38,63.97,64.23,34700,62.47
2011-04-05,63.66,64.25,63.61,63.89,55200,62.14
2011-04-04,63.76,63.90,63.35,63.42,22900,61.68
