Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,39.66,39.72,38.49,38.55,1880300,38.55
2012-05-03,39.87,40.76,39.56,39.78,2823600,39.78
2012-05-02,38.73,40.09,38.63,39.95,2320100,39.95
2012-05-01,38.68,39.28,38.58,38.85,1165600,38.85
2012-04-30,39.49,39.53,38.62,38.69,1184400,38.69
2012-04-27,39.10,39.54,38.91,39.49,1824500,39.49
2012-04-26,38.26,39.07,38.20,39.04,1446700,39.04
2012-04-25,37.35,38.32,37.33,38.26,1564000,38.26
2012-04-24,37.92,38.12,36.97,37.27,1663300,37.05
2012-04-23,38.02,38.10,37.48,37.88,967500,37.66
2012-04-20,38.11,38.61,38.02,38.39,1973700,38.16
2012-04-19,37.85,38.48,37.63,38.07,1766900,37.85
2012-04-18,37.13,38.09,36.74,37.91,1612500,37.69
2012-04-17,37.43,37.70,36.99,37.23,1438500,37.01
2012-04-16,37.52,37.52,36.68,37.19,1230400,36.97
2012-04-13,37.88,38.01,37.09,37.17,1219700,36.95
2012-04-12,37.10,38.20,36.97,37.96,1638800,37.74
2012-04-11,36.34,37.19,36.28,37.04,2471500,36.82
2012-04-10,36.96,36.96,35.66,35.99,3654200,35.78
2012-04-09,36.53,37.34,36.53,36.95,2285900,36.73
2012-04-05,37.69,38.35,37.57,37.64,2459900,37.42
2012-04-04,37.00,37.83,37.00,37.67,3069300,37.45
2012-04-03,37.72,38.25,37.36,37.42,2264000,37.20
2012-04-02,37.65,38.10,37.26,37.75,3076400,37.53
2012-03-30,37.85,37.94,37.32,37.48,4839500,37.26
2012-03-29,38.01,38.09,37.44,37.75,3242700,37.53
2012-03-28,38.99,39.06,37.89,38.26,1317400,38.03
2012-03-27,39.16,39.43,38.68,38.92,2641400,38.69
2012-03-26,38.62,39.05,38.58,39.04,2058300,38.81
2012-03-23,38.55,38.77,37.93,38.54,2209400,38.31
2012-03-22,38.85,39.06,38.44,38.66,2919800,38.43
2012-03-21,38.46,39.54,38.37,39.38,4938600,39.15
2012-03-20,37.49,38.73,37.49,38.54,3063700,38.31
2012-03-19,36.96,38.09,36.69,37.77,2819800,37.55
2012-03-16,37.03,37.14,36.70,37.12,2287900,36.90
2012-03-15,37.02,37.15,36.70,36.97,2750900,36.75
2012-03-14,36.49,37.08,36.40,37.02,3940200,36.80
2012-03-13,35.92,36.82,35.69,36.54,4149000,36.32
2012-03-12,36.34,36.55,35.64,35.70,2450400,35.49
2012-03-09,35.48,36.62,35.08,36.28,5384200,36.07
2012-03-08,36.30,37.39,35.31,35.62,14362900,35.41
2012-03-07,37.55,38.22,37.53,37.84,3268100,37.62
2012-03-06,37.25,37.66,36.21,37.45,4148300,37.23
2012-03-05,38.67,38.84,37.73,38.04,4379200,37.82
2012-03-02,38.88,39.24,38.60,38.83,3116100,38.60
2012-03-01,38.76,39.44,38.68,38.97,3065800,38.74
2012-02-29,39.20,39.38,38.51,38.60,1850800,38.37
2012-02-28,39.74,39.75,38.87,39.20,2597900,38.97
2012-02-27,38.69,39.88,38.59,39.76,3427800,39.53
2012-02-24,38.25,39.29,37.97,38.84,3557900,38.61
2012-02-23,37.53,38.67,37.46,38.25,1503400,38.02
2012-02-22,37.50,37.78,37.37,37.45,1360900,37.23
2012-02-21,38.09,38.65,37.34,37.47,3415100,37.25
2012-02-17,37.44,38.19,37.44,38.00,1311100,37.78
2012-02-16,37.14,37.70,37.14,37.34,2036100,37.12
2012-02-15,37.55,37.89,36.96,37.20,2770700,36.98
2012-02-14,37.18,37.60,36.78,37.43,2067000,37.21
2012-02-13,37.13,37.13,36.34,36.53,2147900,36.31
2012-02-10,36.70,36.93,36.29,36.84,1204400,36.62
2012-02-09,37.22,37.29,36.74,37.08,1108800,36.86
2012-02-08,36.64,37.33,36.56,36.96,1479200,36.74
2012-02-07,36.35,36.81,36.30,36.59,1260400,36.37
2012-02-06,36.75,37.12,36.18,36.51,1850100,36.29
2012-02-03,37.00,37.33,36.81,36.87,2481200,36.65
2012-02-02,36.15,36.86,36.12,36.72,1725300,36.50
2012-02-01,36.07,36.26,35.86,36.22,1571600,36.01
2012-01-31,35.95,36.11,35.31,35.86,2978500,35.65
2012-01-30,34.84,35.71,34.34,35.59,3768200,35.38
2012-01-27,34.45,35.24,34.23,35.12,3129000,34.91
2012-01-26,35.12,35.19,34.12,34.61,2004800,34.41
2012-01-25,34.58,35.01,34.00,34.90,3096200,34.69
2012-01-24,34.33,34.97,34.08,34.96,1643900,34.53
2012-01-23,35.04,35.04,33.86,34.47,2684000,34.05
2012-01-20,34.89,35.21,34.75,34.97,3656800,34.54
2012-01-19,34.94,35.31,34.75,35.05,5830500,34.62
2012-01-18,33.73,35.09,33.45,34.86,5380200,34.44
2012-01-17,33.87,34.05,33.03,33.19,3063100,32.79
2012-01-13,33.81,34.11,33.62,33.85,3804600,33.44
2012-01-12,34.43,34.76,33.30,34.32,11698600,33.90
2012-01-11,38.83,39.22,38.45,39.08,1887000,38.60
2012-01-10,38.82,38.99,38.18,38.90,1727700,38.43
2012-01-09,37.71,38.46,37.34,38.35,2327100,37.88
2012-01-06,38.03,38.57,37.51,37.52,2062700,37.06
2012-01-05,37.79,38.16,37.30,37.93,1682400,37.47
2012-01-04,36.79,38.35,36.70,37.93,2003400,37.47
2012-01-03,37.66,38.34,36.63,36.94,4498100,36.49
2011-12-30,38.61,38.81,38.37,38.50,648400,38.03
2011-12-29,37.70,38.62,37.58,38.60,859400,38.13
2011-12-28,37.82,38.00,37.49,37.54,717000,37.08
2011-12-27,37.76,38.16,37.46,37.93,618700,37.47
2011-12-23,37.67,38.07,37.40,37.89,608800,37.43
2011-12-22,37.86,38.20,37.39,37.66,1847800,37.20
2011-12-21,38.26,38.56,37.04,38.50,1819400,38.03
2011-12-20,37.65,38.59,37.57,38.33,1387800,37.86
2011-12-19,37.97,38.38,36.82,36.96,847400,36.51
2011-12-16,36.69,37.88,36.69,37.72,1816100,37.26
2011-12-15,37.62,37.63,36.48,36.51,1687900,36.07
2011-12-14,37.61,37.87,36.86,37.29,1643900,36.84
2011-12-13,39.39,39.50,37.27,37.78,1476800,37.32
2011-12-12,38.96,39.15,38.33,39.12,852500,38.64
2011-12-09,38.20,39.57,38.03,39.46,1340900,38.98
2011-12-08,38.66,39.08,37.92,38.18,1271800,37.72
2011-12-07,38.60,39.12,38.41,39.01,1816200,38.54
2011-12-06,39.36,39.39,38.78,38.86,1651000,38.39
2011-12-05,39.61,39.98,39.14,39.38,1256100,38.90
2011-12-02,38.89,39.82,38.87,39.16,2496600,38.68
2011-12-01,37.59,38.78,37.33,38.63,1773300,38.16
2011-11-30,37.44,38.11,37.13,37.77,1800100,37.31
2011-11-29,36.18,36.28,35.74,36.15,1148900,35.71
2011-11-28,35.83,36.61,35.69,35.95,907600,35.51
2011-11-25,35.14,35.49,34.98,35.01,329600,34.58
2011-11-23,35.56,35.75,34.92,35.20,1175000,34.77
2011-11-22,36.64,37.03,35.93,35.97,1442000,35.53
2011-11-21,36.18,37.06,36.17,36.82,1029800,36.37
2011-11-18,37.31,37.46,36.38,36.75,2132700,36.30
2011-11-17,37.52,38.75,36.53,36.94,2869400,36.49
2011-11-16,38.00,38.47,37.42,37.56,1154700,37.10
2011-11-15,38.14,38.93,37.46,38.24,1513300,37.78
2011-11-14,37.98,38.68,37.90,38.26,1030800,37.79
2011-11-11,37.16,38.46,37.08,38.11,2116500,37.65
2011-11-10,37.54,37.68,36.52,36.86,1491300,36.41
2011-11-09,37.41,37.80,36.75,36.89,1180100,36.44
2011-11-08,37.68,38.38,36.64,38.19,1901000,37.73
2011-11-07,37.93,38.09,37.28,37.44,1680000,36.98
2011-11-04,37.76,38.03,37.20,37.99,1183300,37.53
2011-11-03,37.95,38.30,36.85,37.99,1478300,37.53
2011-11-02,38.29,38.35,37.16,37.29,1520300,36.84
2011-11-01,36.31,37.74,35.76,37.59,2166500,37.13
2011-10-31,37.75,38.44,37.49,37.54,966500,37.08
2011-10-28,39.18,39.56,38.03,38.35,1372000,37.88
2011-10-27,39.33,40.07,38.81,39.50,1158700,39.02
2011-10-26,38.14,38.62,37.10,38.42,1894200,37.95
2011-10-25,38.08,38.37,37.57,37.66,1498500,37.20
2011-10-24,37.69,39.40,37.41,38.61,2895000,37.97
2011-10-21,37.03,37.75,36.68,37.71,1297400,37.09
2011-10-20,35.53,36.64,35.43,36.57,1054500,35.97
2011-10-19,36.30,36.63,35.43,35.59,1303900,35.00
2011-10-18,35.57,36.58,34.57,36.31,1138900,35.71
2011-10-17,36.38,36.69,35.40,35.55,1420700,34.96
2011-10-14,36.09,36.73,35.78,36.67,1885300,36.06
2011-10-13,33.94,35.76,33.94,35.66,2918900,35.07
2011-10-12,32.52,33.91,32.30,33.50,5560100,32.95
2011-10-11,32.30,32.46,31.76,31.97,1224800,31.44
2011-10-10,31.81,32.84,31.73,32.54,1218700,32.00
2011-10-07,31.57,31.80,31.04,31.31,1008800,30.79
2011-10-06,30.03,31.38,29.65,31.35,1890600,30.83
2011-10-05,30.35,30.67,29.74,29.98,1487200,29.49
2011-10-04,28.82,30.31,28.53,30.27,2100000,29.77
2011-10-03,30.78,31.63,29.07,29.22,2395100,28.74
2011-09-30,32.06,32.20,30.77,30.79,1395700,30.28
2011-09-29,33.03,33.03,31.63,32.70,1167400,32.16
2011-09-28,33.42,33.46,32.25,32.32,1419400,31.79
2011-09-27,33.33,33.93,33.00,33.42,1355300,32.87
2011-09-26,31.68,32.42,31.05,32.37,1016100,31.84
2011-09-23,30.90,31.59,30.68,31.44,1075400,30.92
2011-09-22,30.69,31.82,30.42,30.99,1703400,30.48
2011-09-21,32.99,33.22,31.69,31.72,1359400,31.20
2011-09-20,33.89,33.94,33.00,33.03,1222000,32.48
2011-09-19,33.26,33.85,33.00,33.59,1408100,33.04
2011-09-16,33.88,34.35,33.75,33.95,1283100,33.39
2011-09-15,33.63,33.83,33.13,33.72,1272100,33.16
2011-09-14,33.25,33.85,32.46,33.36,2089200,32.81
2011-09-13,31.86,33.09,31.81,32.97,2156200,32.43
2011-09-12,30.67,31.71,30.67,31.70,1176400,31.18
2011-09-09,31.18,31.69,30.80,31.20,1576400,30.68
2011-09-08,31.81,32.15,31.47,31.57,1734900,31.05
2011-09-07,32.50,32.77,31.72,32.01,2933200,31.48
2011-09-06,30.06,31.10,30.06,30.79,2649700,30.28
2011-09-02,31.71,31.90,31.19,31.30,1800800,30.78
2011-09-01,33.15,33.55,32.44,32.48,1376000,31.94
2011-08-31,33.45,33.65,32.77,33.11,1840600,32.56
2011-08-30,33.43,33.79,33.01,33.35,1585900,32.80
2011-08-29,33.11,33.68,33.11,33.67,1542800,33.11
2011-08-26,30.92,32.88,30.89,32.72,2684200,32.18
2011-08-25,30.83,31.76,30.77,31.18,4001300,30.67
2011-08-24,29.31,31.09,28.92,30.65,4202900,30.14
2011-08-23,29.82,29.82,27.90,29.44,6704300,28.95
2011-08-22,29.75,30.14,29.07,30.03,4081700,29.53
2011-08-19,28.35,29.67,28.28,28.88,3778200,28.40
2011-08-18,29.15,29.31,28.30,28.81,3412000,28.33
2011-08-17,31.25,31.41,29.83,30.09,2978900,29.59
2011-08-16,31.30,31.63,31.01,31.06,2827900,30.55
2011-08-15,31.65,32.14,30.84,31.65,2978700,31.13
2011-08-12,32.57,32.62,31.54,32.32,2721800,31.79
2011-08-11,30.51,32.47,30.38,32.17,2275600,31.64
2011-08-10,30.55,31.34,30.16,30.29,2344300,29.79
2011-08-09,30.29,31.41,29.30,31.31,2575100,30.79
2011-08-08,31.58,31.95,29.23,29.63,3853600,29.14
2011-08-05,33.38,33.40,31.53,32.66,2461100,32.12
2011-08-04,34.18,34.64,32.99,32.99,2482500,32.45
2011-08-03,33.91,34.80,33.05,34.74,1719700,34.17
2011-08-02,35.73,35.82,33.74,33.78,2662800,33.22
2011-08-01,37.38,37.42,35.70,35.95,1678600,35.36
2011-07-29,36.57,37.28,35.95,37.02,1242600,36.41
2011-07-28,37.56,37.83,36.92,37.02,1556800,36.41
2011-07-27,38.75,38.83,37.39,37.45,1720800,36.83
2011-07-26,38.59,39.23,38.49,38.99,1220500,38.35
2011-07-25,38.21,39.05,38.02,38.46,814400,37.83
2011-07-22,38.76,39.14,38.50,38.81,737600,38.00
2011-07-21,38.72,39.08,38.46,38.78,976000,37.97
2011-07-20,39.01,39.09,37.89,38.14,1036700,37.35
2011-07-19,38.07,38.69,38.02,38.57,1062100,37.77
2011-07-18,37.91,38.11,37.35,37.77,935900,36.98
2011-07-15,38.22,38.28,37.36,38.01,1044400,37.22
2011-07-14,39.41,39.90,37.57,38.12,2577400,37.33
2011-07-13,37.55,38.25,37.46,37.96,1778200,37.17
2011-07-12,37.39,37.92,36.80,37.33,1576100,36.55
2011-07-11,37.54,38.14,36.74,37.54,1800400,36.76
2011-07-08,37.91,38.24,37.44,38.09,1925900,37.30
2011-07-07,36.99,38.53,36.96,38.38,2249200,37.58
2011-07-06,36.51,37.09,36.48,36.62,1308700,35.86
2011-07-05,36.31,36.63,35.64,36.58,2009500,35.82
2011-07-01,36.53,36.79,36.05,36.39,3197600,35.63
2011-06-30,36.54,37.21,36.26,36.49,2390200,35.73
2011-06-29,35.97,36.54,35.74,36.44,2465200,35.68
2011-06-28,36.68,37.00,35.65,35.82,3836500,35.07
2011-06-27,37.33,37.96,36.48,36.50,1982600,35.74
2011-06-24,37.59,37.75,36.94,37.26,1373200,36.48
2011-06-23,37.00,37.78,36.86,37.60,1151900,36.82
2011-06-22,37.60,38.03,37.32,37.36,1523000,36.58
2011-06-21,36.28,37.96,36.28,37.87,2440000,37.08
2011-06-20,34.82,35.96,34.58,35.83,1313800,35.08
2011-06-17,35.46,35.51,34.40,34.78,2874400,34.06
2011-06-16,35.77,36.00,34.85,35.13,2092700,34.40
2011-06-15,36.20,36.50,35.64,35.74,1338300,35.00
2011-06-14,36.80,36.97,36.48,36.62,1767900,35.86
2011-06-13,36.44,37.09,36.09,36.44,1254900,35.68
2011-06-10,36.81,36.98,36.29,36.37,980000,35.61
2011-06-09,36.63,37.30,36.45,36.94,1214900,36.17
2011-06-08,37.45,37.45,36.04,36.49,1752700,35.73
2011-06-07,37.77,38.43,37.47,37.47,1295000,36.69
2011-06-06,37.61,38.01,37.35,37.66,1873000,36.88
2011-06-03,37.57,38.76,37.24,37.84,1548500,37.05
2011-06-02,38.78,38.78,37.26,38.00,2047400,37.21
2011-06-01,39.15,39.69,38.59,38.65,1922000,37.85
2011-05-31,40.15,40.19,39.03,39.15,4094800,38.34
2011-05-27,39.93,40.27,39.59,39.74,977000,38.91
2011-05-26,39.27,40.14,39.17,39.92,1561300,39.09
2011-05-25,39.41,39.55,38.58,39.41,1334200,38.59
2011-05-24,39.28,39.60,38.67,38.99,1881000,38.18
2011-05-23,39.27,39.49,38.92,39.22,1944600,38.40
2011-05-20,40.98,40.98,39.82,40.06,2259900,39.23
2011-05-19,42.79,42.79,40.12,41.20,7502000,40.34
2011-05-18,43.08,43.60,42.26,43.26,2473300,42.36
2011-05-17,43.05,43.66,42.81,43.12,1258000,42.22
2011-05-16,44.21,44.43,43.21,43.35,1254300,42.45
2011-05-13,44.88,45.14,44.18,44.39,886500,43.47
2011-05-12,44.44,44.96,43.76,44.89,933000,43.96
2011-05-11,45.34,45.48,44.16,44.49,1346900,43.56
2011-05-10,43.40,45.42,43.32,45.24,2066500,44.30
2011-05-09,42.49,43.31,42.20,43.30,1225900,42.40
2011-05-06,43.44,44.00,42.45,42.50,1197700,41.62
2011-05-05,42.21,43.52,42.17,43.04,1058400,42.14
2011-05-04,42.34,42.85,41.95,42.62,957000,41.73
2011-05-03,42.59,42.87,42.01,42.35,797600,41.47
2011-05-02,43.54,43.89,42.61,42.69,849700,41.80
2011-04-29,43.23,43.63,43.14,43.41,1210100,42.51
2011-04-28,42.74,43.42,42.60,43.25,874700,42.35
2011-04-27,42.65,42.94,42.52,42.87,646200,41.98
2011-04-26,42.19,42.74,42.19,42.52,1100000,41.63
2011-04-25,41.79,42.16,41.68,42.03,680000,41.16
2011-04-21,41.99,42.34,41.70,42.07,838900,41.03
2011-04-20,41.89,42.10,41.63,41.79,1197400,40.75
2011-04-19,41.83,41.96,41.19,41.31,1151700,40.29
2011-04-18,42.13,42.13,41.01,41.76,1405500,40.73
2011-04-15,42.64,43.17,42.50,42.60,945400,41.54
2011-04-14,41.42,42.91,41.37,42.68,1515200,41.62
2011-04-13,42.05,42.24,41.11,41.61,1078400,40.58
2011-04-12,41.92,42.71,41.76,41.87,733000,40.83
2011-04-11,42.81,43.31,42.07,42.17,1112800,41.13
2011-04-08,43.06,44.20,42.34,42.76,2026300,41.70
2011-04-07,42.31,43.14,42.15,42.55,1953300,41.50
2011-04-06,41.95,42.36,41.57,41.78,1167000,40.74
2011-04-05,40.84,42.01,40.82,41.60,1891500,40.57
2011-04-04,41.23,41.33,40.69,40.87,1343600,39.86
2011-04-01,40.86,42.85,40.85,41.04,3902100,40.02
2011-03-31,39.37,40.50,38.96,40.50,1378700,39.50
2011-03-30,39.22,39.71,39.20,39.57,980900,38.59
2011-03-29,38.98,39.29,38.81,39.08,1827700,38.11
2011-03-28,39.41,39.88,38.95,39.03,1088100,38.06
2011-03-25,39.47,39.99,39.29,39.45,805300,38.47
2011-03-24,39.22,39.51,38.98,39.32,778100,38.35
2011-03-23,38.43,38.98,37.93,38.94,1963300,37.98
2011-03-22,38.67,38.91,38.39,38.55,883800,37.60
2011-03-21,38.77,39.35,38.49,38.74,1453800,37.78
2011-03-18,38.92,38.92,37.68,38.03,2121600,37.09
2011-03-17,39.14,39.27,38.46,38.50,1584800,37.55
2011-03-16,39.32,39.55,38.50,38.53,3050600,37.58
2011-03-15,34.78,39.75,34.68,39.38,5319800,38.40
2011-03-14,35.31,35.67,34.67,34.98,2057100,34.11
2011-03-11,35.52,36.12,35.31,35.59,1496400,34.71
2011-03-10,35.75,36.17,35.36,35.63,832700,34.75
2011-03-09,36.25,36.75,36.05,36.24,578800,35.34
2011-03-08,35.71,36.60,35.22,36.38,662800,35.48
2011-03-07,36.53,36.53,35.33,35.75,676800,34.86
2011-03-04,36.48,36.82,35.91,36.17,641600,35.27
2011-03-03,36.32,36.84,36.16,36.51,905100,35.61
2011-03-02,35.27,36.37,35.20,35.92,963200,35.03
2011-03-01,36.36,36.45,35.23,35.33,1145700,34.45
2011-02-28,36.58,36.66,35.73,36.09,758200,35.20
2011-02-25,35.86,36.48,35.82,36.45,493700,35.55
2011-02-24,35.68,36.29,34.95,35.68,1336600,34.80
2011-02-23,36.76,36.95,34.76,35.60,1723500,34.72
2011-02-22,37.93,38.09,36.66,36.78,1008200,35.87
2011-02-18,38.49,38.50,38.08,38.19,802700,37.24
2011-02-17,37.90,38.66,37.68,38.44,887700,37.49
2011-02-16,37.66,38.20,37.46,37.88,1173200,36.94
2011-02-15,38.11,38.28,37.39,37.55,1943700,36.62
2011-02-14,38.00,38.33,37.95,38.21,1203700,37.26
2011-02-11,37.37,38.20,37.21,37.96,1286200,37.02
2011-02-10,36.72,37.69,36.71,37.54,2310400,36.61
2011-02-09,34.85,36.99,34.82,36.95,2413000,36.03
2011-02-08,34.80,35.07,34.67,34.95,947700,34.08
2011-02-07,34.56,34.82,34.40,34.81,808000,33.95
2011-02-04,33.57,34.55,33.57,34.50,1342700,33.65
2011-02-03,32.23,33.67,32.20,33.63,1287700,32.80
2011-02-02,33.15,33.15,32.13,32.24,1111000,31.44
2011-02-01,32.57,33.52,32.50,33.19,1154900,32.37
2011-01-31,32.49,32.58,32.03,32.20,798800,31.40
2011-01-28,33.29,33.54,32.21,32.34,1076000,31.54
2011-01-27,32.87,33.59,32.59,33.28,1162800,32.46
2011-01-26,32.27,33.02,32.07,32.83,1399900,32.02
2011-01-25,32.06,32.40,31.69,32.16,1170900,31.36
2011-01-24,32.24,32.37,31.73,32.33,1138000,31.38
2011-01-21,32.47,32.76,32.10,32.23,1223200,31.29
2011-01-20,32.02,32.55,31.92,32.23,1353800,31.29
2011-01-19,32.55,32.77,31.76,31.98,1851200,31.04
2011-01-18,32.56,32.96,32.44,32.63,1690600,31.67
2011-01-14,32.73,33.14,32.20,32.63,3783300,31.67
2011-01-13,33.52,33.60,32.25,32.90,8055300,31.94
2011-01-12,34.18,34.90,33.96,34.18,1569500,33.18
2011-01-11,34.18,34.35,33.76,33.97,1367800,32.97
2011-01-10,34.09,34.25,33.56,34.05,1656400,33.05
2011-01-07,34.48,34.81,33.56,34.21,1613200,33.21
2011-01-06,35.39,35.41,34.34,34.38,2437300,33.37
2011-01-05,35.43,35.91,35.29,35.44,1674200,34.40
2011-01-04,36.13,36.30,34.69,35.59,1266700,34.55
2011-01-03,35.89,36.50,35.87,36.09,1054300,35.03
2010-12-31,36.07,36.13,35.64,35.69,565000,34.64
2010-12-30,35.93,36.39,35.90,36.07,477800,35.01
2010-12-29,35.87,36.39,35.87,36.01,384800,34.95
2010-12-28,36.08,36.13,35.67,35.86,461700,34.81
2010-12-27,35.88,36.13,35.45,36.01,573300,34.95
2010-12-23,35.73,36.65,35.73,36.01,736800,34.95
2010-12-22,36.08,36.08,35.59,35.67,652600,34.62
2010-12-21,35.64,36.10,35.57,36.00,668500,34.95
2010-12-20,35.80,35.81,35.15,35.54,906600,34.50
2010-12-17,35.07,36.14,35.00,35.64,1952100,34.60
2010-12-16,34.44,35.12,34.20,34.99,1219600,33.96
2010-12-15,35.04,35.22,34.13,34.40,1352200,33.39
2010-12-14,35.21,35.58,34.81,35.03,936400,34.00
2010-12-13,34.94,35.56,34.75,35.26,1516900,34.23
2010-12-10,34.75,35.03,34.36,34.82,998300,33.80
2010-12-09,34.15,34.86,33.95,34.75,1788900,33.73
2010-12-08,33.90,34.20,33.80,34.01,1428900,33.01
2010-12-07,34.57,34.88,33.81,33.89,1472600,32.90
2010-12-06,34.89,34.99,34.05,34.11,1573100,33.11
2010-12-03,34.43,35.09,34.00,35.02,1155500,33.99
2010-12-02,34.17,34.67,34.09,34.67,1511000,33.65
2010-12-01,33.98,34.93,33.67,34.24,1410300,33.24
2010-11-30,33.31,33.68,32.93,33.27,1363400,32.30
2010-11-29,33.26,33.88,32.90,33.67,1343400,32.68
2010-11-26,33.71,34.03,33.40,33.47,478600,32.49
2010-11-24,32.98,34.04,32.98,33.90,2006700,32.91
2010-11-23,32.13,32.87,32.07,32.78,2982200,31.82
2010-11-22,32.48,33.24,32.15,32.44,3317400,31.49
2010-11-19,32.01,32.66,31.82,32.62,2509800,31.66
2010-11-18,33.82,34.00,31.95,32.09,9001400,31.15
2010-11-17,35.15,36.06,34.97,35.80,2493800,34.75
2010-11-16,35.03,35.80,34.42,34.90,1544200,33.88
2010-11-15,35.96,36.05,35.40,35.41,1241500,34.37
2010-11-12,36.02,36.41,34.94,35.65,1713200,34.61
2010-11-11,35.11,36.21,34.96,36.05,1878200,34.99
2010-11-10,35.28,35.51,34.72,35.51,1920600,34.47
2010-11-09,35.73,35.80,34.43,34.63,1283100,33.62
2010-11-08,35.88,36.36,35.10,35.59,1792200,34.55
2010-11-05,35.89,36.82,35.74,36.06,3086100,35.00
2010-11-04,34.86,36.01,34.77,35.88,2280900,34.83
2010-11-03,34.15,34.48,33.81,34.34,1624200,33.33
2010-11-02,33.21,34.44,33.08,34.05,2007900,33.05
2010-11-01,33.42,33.95,32.70,32.85,1636600,31.89
2010-10-29,32.25,32.53,32.06,32.37,1061400,31.42
2010-10-28,32.50,32.85,31.97,32.41,1442000,31.46
2010-10-27,32.16,32.44,31.63,32.24,1334200,31.30
2010-10-26,31.82,32.65,31.82,32.44,1851800,31.49
2010-10-25,32.09,32.65,31.94,32.03,1367000,31.09
