Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,35.65,35.88,35.25,35.67,293900,35.67
2012-05-03,36.02,36.22,35.76,35.86,159400,35.86
2012-05-02,36.04,36.36,35.60,36.06,219500,36.06
2012-05-01,36.20,36.67,36.03,36.17,348700,36.17
2012-04-30,36.59,36.64,36.01,36.13,245000,36.13
2012-04-27,36.46,36.85,36.18,36.55,365300,36.55
2012-04-26,36.08,36.56,35.95,36.47,208400,36.47
2012-04-25,36.41,36.76,35.83,36.21,380800,36.21
2012-04-24,35.87,36.62,35.60,36.07,546600,36.07
2012-04-23,34.88,35.78,34.74,35.72,415700,35.72
2012-04-20,35.75,35.75,35.00,35.40,723700,35.40
2012-04-19,34.25,35.30,34.04,34.18,745700,34.18
2012-04-18,34.33,34.33,33.58,33.87,182100,33.87
2012-04-17,34.00,34.76,33.89,34.42,209500,34.42
2012-04-16,33.55,33.90,33.13,33.61,222600,33.61
2012-04-13,34.43,34.57,33.30,33.33,488800,33.33
2012-04-12,34.36,34.73,34.17,34.59,150100,34.59
2012-04-11,34.18,34.52,34.00,34.37,180600,34.37
2012-04-10,34.15,34.40,33.51,33.75,361900,33.75
2012-04-09,34.21,34.53,34.13,34.22,180200,34.22
2012-04-05,35.06,35.29,34.87,34.98,170500,34.98
2012-04-04,35.60,35.64,34.95,35.17,136000,35.17
2012-04-03,35.83,36.03,35.37,35.90,171000,35.90
2012-04-02,35.80,36.16,35.50,36.00,274500,36.00
2012-03-30,36.08,36.08,35.40,35.79,209200,35.79
2012-03-29,35.61,35.78,35.01,35.68,156900,35.68
2012-03-28,35.76,36.31,35.55,35.94,147400,35.94
2012-03-27,36.10,36.13,35.59,35.78,171800,35.78
2012-03-26,36.31,36.57,35.88,36.12,228300,36.12
2012-03-23,35.73,35.94,35.19,35.85,231500,35.85
2012-03-22,35.78,35.82,35.31,35.75,192200,35.75
2012-03-21,36.10,36.30,35.98,36.10,309400,36.10
