Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,14.43,14.47,13.72,13.89,227900,13.89
2012-05-03,14.63,14.98,14.35,14.56,316000,14.56
2012-05-02,14.42,14.86,14.42,14.68,233000,14.68
2012-05-01,14.43,14.60,14.28,14.48,149600,14.48
2012-04-30,14.45,14.78,14.30,14.38,218000,14.38
2012-04-27,14.68,14.98,14.42,14.46,157300,14.46
2012-04-26,13.78,14.80,13.78,14.58,343100,14.58
2012-04-25,13.68,13.84,13.65,13.79,157600,13.79
2012-04-24,13.56,13.72,13.40,13.57,185300,13.57
2012-04-23,13.70,13.81,13.50,13.53,170300,13.53
2012-04-20,13.77,13.81,13.50,13.76,73500,13.76
2012-04-19,13.86,14.26,13.58,13.73,130100,13.73
2012-04-18,13.88,13.99,13.78,13.85,134500,13.85
2012-04-17,13.80,14.00,13.75,13.95,89200,13.95
2012-04-16,14.10,14.12,13.56,13.73,204000,13.73
2012-04-13,14.19,14.19,13.90,14.02,90900,14.02
2012-04-12,14.06,14.22,14.06,14.19,82000,14.19
2012-04-11,14.00,14.06,13.90,14.04,121300,14.04
2012-04-10,14.09,14.12,13.45,13.90,325300,13.90
2012-04-09,14.49,14.49,14.12,14.18,241200,14.18
2012-04-05,14.18,14.65,14.11,14.61,150100,14.61
2012-04-04,14.35,14.45,14.10,14.27,161300,14.27
2012-04-03,14.56,14.87,14.48,14.53,213500,14.53
2012-04-02,14.34,14.75,14.30,14.59,190100,14.59
2012-03-30,14.61,14.61,14.33,14.40,97900,14.40
2012-03-29,14.45,14.54,14.31,14.48,141700,14.48
2012-03-28,14.73,14.89,14.45,14.56,194200,14.56
2012-03-27,15.54,15.60,14.65,14.75,267800,14.75
2012-03-26,14.81,15.50,14.65,15.39,599500,15.39
2012-03-23,14.45,14.69,14.36,14.63,123000,14.63
2012-03-22,14.37,14.49,14.30,14.39,214700,14.39
2012-03-21,14.77,14.77,14.49,14.50,165800,14.50
2012-03-20,14.81,14.83,14.33,14.68,356400,14.68
2012-03-19,14.85,14.89,14.57,14.79,231700,14.79
2012-03-16,14.89,14.90,14.72,14.85,218300,14.85
2012-03-15,14.80,14.95,14.65,14.91,570100,14.91
2012-03-14,14.26,14.89,14.24,14.81,832200,14.81
2012-03-13,14.00,14.36,13.83,14.34,436400,14.34
2012-03-12,13.90,14.04,13.69,13.98,682200,13.98
2012-03-09,14.35,14.55,13.62,13.88,1093600,13.88
2012-03-08,13.58,13.93,13.44,13.92,413300,13.92
2012-03-07,13.45,13.60,13.34,13.53,404800,13.53
2012-03-06,12.97,13.50,12.87,13.34,442800,13.34
2012-03-05,13.05,13.22,12.91,13.07,388300,13.07
2012-03-02,12.95,13.38,12.92,13.02,674500,13.02
2012-03-01,13.00,13.07,12.86,12.96,557400,12.96
2012-02-29,13.10,13.10,12.80,12.93,798800,12.93
2012-02-28,12.95,13.22,12.88,13.07,649300,13.07
2012-02-27,12.95,13.00,12.74,12.98,522700,12.98
2012-02-24,13.20,13.27,12.98,13.00,206100,13.00
2012-02-23,13.00,13.29,12.98,13.01,314600,13.01
2012-02-22,12.38,13.22,12.15,13.01,478600,13.01
2012-02-21,13.10,13.31,12.92,12.92,238700,12.92
2012-02-17,13.30,13.35,13.05,13.12,238300,13.12
2012-02-16,13.60,13.67,13.15,13.26,1061500,13.26
2012-02-15,13.60,13.90,13.35,13.60,959200,13.60
2012-02-14,13.76,13.76,13.39,13.49,463200,13.49
2012-02-13,13.84,14.00,13.68,13.71,244800,13.71
2012-02-10,14.03,14.08,13.69,13.70,271400,13.70
2012-02-09,14.40,14.50,14.10,14.13,152500,14.13
2012-02-08,14.45,14.66,14.30,14.32,306300,14.32
2012-02-07,14.53,14.69,14.39,14.42,401100,14.42
2012-02-06,14.72,14.85,14.19,14.60,573800,14.60
2012-02-03,14.11,14.83,14.10,14.81,400200,14.81
2012-02-02,13.50,14.08,13.45,13.94,311300,13.94
2012-02-01,13.62,14.00,13.49,13.56,466900,13.56
2012-01-31,13.16,13.74,13.16,13.58,264300,13.58
2012-01-30,13.61,13.63,13.07,13.09,325500,13.09
2012-01-27,13.89,13.98,13.67,13.78,146000,13.78
2012-01-26,13.95,14.07,13.56,13.97,326800,13.97
2012-01-25,13.66,13.99,13.44,13.98,418900,13.98
2012-01-24,13.39,13.72,13.27,13.65,148000,13.65
2012-01-23,13.24,13.44,13.17,13.40,193300,13.40
2012-01-20,13.00,13.20,12.99,13.19,310100,13.19
2012-01-19,12.85,13.16,12.84,13.02,165400,13.02
2012-01-18,12.70,12.90,12.50,12.90,132400,12.90
2012-01-17,12.34,12.80,12.34,12.61,271000,12.61
2012-01-13,12.00,12.27,12.00,12.24,142100,12.24
2012-01-12,12.25,12.51,12.01,12.17,470400,12.17
2012-01-11,12.40,12.40,12.10,12.26,889300,12.26
2012-01-10,12.35,12.50,12.11,12.39,401700,12.39
2012-01-09,12.20,12.24,11.94,12.21,333700,12.21
2012-01-06,11.79,12.08,11.72,11.97,314500,11.97
2012-01-05,11.40,11.92,11.40,11.84,139800,11.84
2012-01-04,11.35,11.50,11.32,11.45,101700,11.45
2012-01-03,11.20,11.44,11.14,11.43,184200,11.43
2011-12-30,11.00,11.14,10.84,11.04,1620800,11.04
2011-12-29,10.78,10.99,10.75,10.99,111000,10.99
2011-12-28,10.89,10.94,10.65,10.80,98000,10.80
2011-12-27,11.14,11.22,10.94,10.98,123700,10.98
2011-12-23,11.30,11.30,11.12,11.19,73100,11.19
2011-12-22,10.98,11.51,10.91,11.31,175800,11.31
2011-12-21,11.11,11.11,10.92,10.97,171600,10.97
2011-12-20,10.91,11.23,10.88,11.11,203700,11.11
2011-12-19,11.06,11.11,10.74,10.78,126800,10.78
2011-12-16,11.05,11.06,10.80,10.99,172700,10.99
2011-12-15,10.96,11.15,10.82,11.04,669500,11.04
2011-12-14,10.84,11.01,10.80,10.85,133600,10.85
2011-12-13,11.17,11.31,10.96,11.02,587200,11.02
2011-12-12,11.00,11.20,10.80,11.16,172900,11.16
2011-12-09,11.00,11.18,11.00,11.10,79600,11.10
2011-12-08,11.18,11.35,11.00,11.00,109100,11.00
2011-12-07,11.37,11.37,11.05,11.34,96900,11.34
2011-12-06,11.62,11.82,11.32,11.39,139500,11.39
2011-12-05,11.78,11.95,11.57,11.69,281400,11.69
2011-12-02,11.89,11.89,11.66,11.73,102900,11.73
2011-12-01,11.90,12.05,11.72,11.72,172400,11.72
2011-11-30,11.97,12.33,11.87,12.00,308700,12.00
2011-11-29,11.99,12.16,11.67,11.73,166000,11.73
2011-11-28,11.91,12.14,11.84,11.99,299000,11.99
2011-11-25,11.57,11.66,11.37,11.55,91800,11.55
2011-11-23,11.89,12.09,11.53,11.56,216300,11.56
2011-11-22,11.76,12.28,11.65,12.06,305800,12.06
2011-11-21,11.82,11.85,11.64,11.72,182600,11.72
2011-11-18,12.27,12.39,11.92,11.97,93200,11.97
2011-11-17,12.33,12.47,12.13,12.24,222800,12.24
2011-11-16,12.20,12.39,12.12,12.31,133500,12.31
2011-11-15,12.30,12.42,12.15,12.27,155900,12.27
2011-11-14,12.12,12.35,11.94,12.31,288200,12.31
2011-11-11,12.00,12.21,11.64,12.00,548100,12.00
2011-11-10,11.63,12.02,11.04,11.37,933600,11.37
2011-11-09,11.77,12.09,11.59,11.68,266900,11.68
2011-11-08,12.41,12.49,11.97,12.09,321400,12.09
2011-11-07,12.55,12.84,12.17,12.44,71400,12.44
2011-11-04,12.68,12.85,12.35,12.53,69800,12.53
