Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,58.50,59.11,57.55,57.71,385800,57.71
2012-05-03,59.93,59.97,58.00,58.81,456100,58.81
2012-05-02,62.64,62.80,59.29,60.29,760800,60.29
2012-05-01,63.53,65.35,63.27,63.98,303200,63.98
2012-04-30,65.20,65.43,63.52,63.82,208000,63.82
2012-04-27,64.88,65.68,64.27,65.08,207500,65.08
2012-04-26,63.71,64.84,63.71,64.64,239200,64.64
2012-04-25,62.65,64.16,62.65,63.73,296600,63.73
2012-04-24,61.57,62.50,61.28,61.88,131400,61.88
2012-04-23,61.62,61.90,60.49,61.54,332600,61.54
2012-04-20,62.78,63.16,62.27,62.55,250500,62.55
2012-04-19,63.74,64.34,62.30,62.52,265800,62.52
2012-04-18,64.02,64.23,63.45,63.68,277800,63.68
2012-04-17,63.57,65.06,63.49,64.46,178300,64.46
2012-04-16,63.45,63.73,62.62,63.15,208700,63.15
2012-04-13,63.96,64.03,63.05,63.14,286800,63.14
2012-04-12,63.81,64.93,63.81,64.33,208800,64.33
2012-04-11,62.90,63.96,62.53,63.85,242200,63.85
2012-04-10,63.93,63.93,62.24,62.36,399800,62.36
2012-04-09,62.65,64.44,62.65,64.05,340400,64.05
2012-04-05,63.94,64.74,63.94,64.58,159000,64.58
2012-04-04,64.85,64.93,63.96,64.35,278900,64.35
2012-04-03,65.07,65.54,64.90,65.51,332300,65.51
2012-04-02,64.43,65.29,64.21,65.17,299300,65.17
2012-03-30,65.41,65.70,64.58,64.73,316300,64.73
2012-03-29,63.87,65.17,63.56,64.86,281400,64.86
2012-03-28,64.80,64.95,63.93,64.34,392200,64.34
2012-03-27,64.59,65.27,64.53,64.83,657000,64.83
2012-03-26,65.94,66.23,64.20,64.20,5288300,64.20
2012-03-23,64.59,65.58,64.06,65.43,220600,65.43
2012-03-22,63.96,65.11,63.76,64.96,288400,64.96
2012-03-21,63.67,65.64,63.36,64.58,451600,64.58
2012-03-20,63.50,63.62,62.61,63.19,144100,63.19
2012-03-19,64.11,64.71,63.54,64.08,184100,64.08
2012-03-16,64.12,64.43,63.70,64.40,295200,64.40
2012-03-15,62.20,64.81,62.01,64.10,209900,64.10
2012-03-14,63.74,64.24,63.13,63.62,215500,63.62
2012-03-13,63.04,64.36,62.65,64.33,229400,64.33
2012-03-12,61.95,62.80,61.93,62.75,155500,62.75
2012-03-09,61.86,63.42,61.86,62.27,168300,62.27
2012-03-08,60.96,62.02,60.59,61.93,130800,61.93
2012-03-07,60.65,60.73,59.91,60.36,145900,60.36
2012-03-06,60.09,61.36,59.74,60.33,148400,60.33
2012-03-05,58.50,60.97,58.19,60.86,413100,60.86
2012-03-02,61.84,61.84,59.76,59.92,311800,59.92
2012-03-01,62.25,63.14,61.67,61.75,290000,61.75
2012-02-29,63.49,63.75,61.88,61.88,181600,61.88
2012-02-28,63.39,63.96,62.73,63.35,129400,63.35
2012-02-27,63.00,63.90,62.03,63.19,117700,63.19
2012-02-24,63.46,63.82,62.92,63.63,165500,63.63
2012-02-23,61.35,63.62,61.26,63.48,214100,63.48
2012-02-22,61.24,62.18,61.16,61.32,115900,61.32
2012-02-21,61.69,61.78,60.58,61.35,132100,61.35
2012-02-17,61.82,61.97,61.39,61.60,178200,61.60
2012-02-16,60.77,61.79,60.74,61.61,212000,61.61
2012-02-15,61.84,61.84,60.48,60.77,130900,60.77
2012-02-14,61.32,61.74,60.81,61.42,113800,61.42
2012-02-13,61.20,61.54,60.45,61.54,185000,61.54
2012-02-10,60.95,60.97,60.18,60.65,205800,60.65
2012-02-09,61.20,62.16,60.60,61.45,443400,61.45
2012-02-08,59.09,62.13,56.31,61.89,475100,61.89
2012-02-07,58.95,59.21,58.38,59.17,273900,59.17
2012-02-06,58.02,59.02,57.45,58.93,232400,58.93
2012-02-03,57.57,58.87,57.57,58.20,178000,58.20
2012-02-02,56.46,57.53,56.24,56.79,122400,56.79
2012-02-01,55.24,56.41,55.24,56.31,247200,56.31
2012-01-31,55.20,55.20,54.54,54.72,172500,54.72
