Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,43.80,43.80,43.61,43.61,140200,43.61
2012-05-03,44.34,44.35,43.99,44.00,89000,44.00
2012-05-02,43.97,44.05,43.93,43.95,175000,43.95
2012-05-01,43.58,44.12,43.50,44.00,355000,44.00
2012-04-30,43.93,43.94,43.53,43.62,347000,43.62
2012-04-27,44.44,44.46,44.20,44.21,314800,44.21
2012-04-26,44.70,44.95,44.63,44.87,218200,44.87
2012-04-25,45.26,45.68,45.20,45.33,509300,45.33
2012-04-24,45.08,45.30,44.97,45.26,116400,45.26
2012-04-23,45.02,45.12,45.00,45.11,153800,45.11
2012-04-20,45.71,45.73,45.53,45.54,203800,45.54
2012-04-19,45.55,45.59,45.38,45.53,270400,45.53
2012-04-18,45.29,45.35,45.19,45.19,154700,45.19
2012-04-17,44.61,44.85,44.54,44.81,154000,44.81
2012-04-16,44.63,44.63,44.17,44.33,311500,44.33
2012-04-13,45.01,45.09,44.85,44.97,152800,44.97
2012-04-12,44.83,44.96,44.67,44.83,266600,44.83
2012-04-11,44.77,45.10,44.72,44.86,232100,44.86
2012-04-10,45.04,45.12,44.57,44.58,534800,44.58
2012-04-09,45.32,45.72,45.24,45.68,501000,45.68
2012-04-05,46.37,46.61,46.33,46.58,277200,46.58
2012-04-04,46.54,46.88,46.50,46.62,363500,46.62
2012-04-03,46.45,47.24,46.21,47.06,611800,47.06
2012-04-02,46.43,46.62,46.00,46.22,711600,46.22
2012-03-30,46.35,47.14,46.27,47.05,754600,47.05
2012-03-29,46.25,46.68,46.08,46.65,321900,46.65
2012-03-28,47.37,47.49,46.93,47.10,615400,47.10
2012-03-27,47.50,47.74,47.37,47.48,953000,47.48
2012-03-26,46.89,47.21,46.87,47.07,511800,47.07
2012-03-23,46.64,46.80,46.13,46.63,757600,46.63
2012-03-22,47.26,47.41,46.53,46.78,897800,46.78
2012-03-21,48.38,48.47,47.76,47.76,245500,47.76
2012-03-20,48.11,48.21,47.70,48.16,546600,48.16
2012-03-19,47.83,47.97,47.56,47.70,411400,47.70
2012-03-16,48.14,48.14,47.54,47.79,343400,47.79
2012-03-15,47.67,47.91,47.55,47.91,294300,47.91
2012-03-14,47.96,48.28,47.96,48.21,405600,48.21
2012-03-13,47.06,47.43,46.97,47.35,932700,47.35
2012-03-12,46.41,46.56,46.39,46.50,221500,46.50
2012-03-09,46.51,46.93,46.46,46.68,908000,46.68
2012-03-08,45.70,45.87,45.50,45.77,268100,45.77
2012-03-07,44.94,45.36,44.94,45.34,317100,45.34
2012-03-06,45.13,45.13,44.66,44.96,528200,44.96
2012-03-05,45.69,45.74,45.50,45.68,525200,45.68
2012-03-02,45.85,46.13,45.73,46.06,1054700,46.06
2012-03-01,45.37,45.50,45.10,45.29,381300,45.29
2012-02-29,44.43,45.50,44.40,45.49,720800,45.49
2012-02-28,44.55,44.85,44.46,44.57,182700,44.57
2012-02-27,44.29,44.70,44.24,44.67,431700,44.67
2012-02-24,44.78,45.19,44.78,45.19,577100,45.19
2012-02-23,44.36,44.44,43.93,44.00,569600,44.00
2012-02-22,44.37,44.53,44.32,44.44,647600,44.44
2012-02-21,43.80,43.89,43.73,43.79,376400,43.79
2012-02-17,43.32,43.58,43.29,43.58,654000,43.58
2012-02-16,42.93,42.99,42.78,42.95,504400,42.95
2012-02-15,42.28,42.48,42.15,42.33,431900,42.33
2012-02-14,42.05,42.52,42.05,42.43,649700,42.43
2012-02-13,41.55,41.57,41.32,41.49,128700,41.49
2012-02-10,41.61,41.65,41.49,41.56,288500,41.56
2012-02-09,41.16,41.68,41.14,41.62,218800,41.62
2012-02-08,40.76,41.00,40.72,40.91,286900,40.91
2012-02-07,40.68,40.87,40.65,40.67,222400,40.67
2012-02-06,40.51,40.55,40.41,40.47,148800,40.47
2012-02-03,40.57,40.64,40.39,40.47,490900,40.47
2012-02-02,40.01,40.11,39.97,40.09,289500,40.09
2012-02-01,40.02,40.24,39.95,40.12,234400,40.12
2012-01-31,40.20,40.23,40.04,40.11,340600,40.11
2012-01-30,40.48,40.51,40.10,40.22,458300,40.22
2012-01-27,40.74,40.78,40.57,40.60,456900,40.60
2012-01-26,41.55,41.58,41.25,41.43,270700,41.43
2012-01-25,42.09,42.32,41.57,41.72,694100,41.72
2012-01-24,41.75,41.85,41.68,41.72,604400,41.72
2012-01-23,40.90,41.02,40.86,40.94,165100,40.94
2012-01-20,41.15,41.20,40.88,40.94,158300,40.94
2012-01-19,40.81,41.28,40.81,41.10,215300,41.10
2012-01-18,40.81,40.82,40.71,40.74,145700,40.74
2012-01-17,40.78,40.80,40.72,40.78,290300,40.78
2012-01-13,40.91,40.96,40.82,40.90,173000,40.90
2012-01-12,40.72,40.75,40.62,40.75,89800,40.75
2012-01-11,40.95,41.00,40.79,40.85,128600,40.85
2012-01-10,40.80,40.83,40.74,40.79,270600,40.79
2012-01-09,40.78,40.87,40.77,40.79,103400,40.79
2012-01-06,41.11,41.15,40.94,40.96,112600,40.96
2012-01-05,41.08,41.24,41.00,41.24,197500,41.24
2012-01-04,40.70,40.80,40.62,40.68,64500,40.68
2012-01-03,40.72,40.80,40.59,40.61,289900,40.61
2011-12-30,41.29,41.31,40.88,40.95,757400,40.95
2011-12-29,41.78,41.86,41.63,41.64,194000,41.64
2011-12-28,41.71,42.09,41.71,41.95,210800,41.95
2011-12-27,41.85,41.92,41.82,41.88,129000,41.88
2011-12-23,42.15,42.21,42.06,42.11,149700,42.11
2011-12-22,42.24,42.31,42.13,42.24,495600,42.24
2011-12-21,41.87,42.17,41.87,42.13,154300,42.13
2011-12-20,41.82,41.92,41.74,41.90,118400,41.90
2011-12-19,41.93,42.08,41.87,42.06,166400,42.06
2011-12-16,41.84,41.91,41.62,41.81,172200,41.81
2011-12-15,41.79,42.01,41.78,41.93,144600,41.93
2011-12-14,42.05,42.17,42.00,42.06,153500,42.06
2011-12-13,41.84,42.04,41.65,42.02,168500,42.02
2011-12-12,41.91,41.99,41.76,41.92,146300,41.92
2011-12-09,41.68,41.69,41.49,41.52,126800,41.52
2011-12-08,41.39,41.82,41.38,41.72,133800,41.72
2011-12-07,41.78,41.81,41.64,41.67,82800,41.67
2011-12-06,41.82,41.88,41.71,41.73,110400,41.73
2011-12-05,41.92,41.94,41.73,41.74,241200,41.74
2011-12-02,41.92,42.14,41.89,42.05,186200,42.05
2011-12-01,41.81,41.84,41.60,41.74,244600,41.74
2011-11-30,41.54,41.84,41.40,41.58,420100,41.58
2011-11-29,41.91,42.04,41.84,41.91,180700,41.91
2011-11-28,42.01,42.30,41.98,42.02,338700,42.02
2011-11-25,41.66,41.81,41.54,41.75,188300,41.75
2011-11-23,41.26,41.60,41.25,41.36,313000,41.36
2011-11-22,41.01,41.10,40.93,40.95,243900,40.95
2011-11-21,40.82,40.98,40.82,40.95,141100,40.95
2011-11-18,40.68,40.99,40.68,40.88,83700,40.88
2011-11-17,40.98,41.01,40.93,40.93,143000,40.93
2011-11-16,40.98,41.04,40.90,40.97,205300,40.97
2011-11-15,40.96,41.10,40.91,41.09,44100,41.09
2011-11-14,40.99,41.14,40.93,41.10,60700,41.10
2011-11-11,41.33,41.33,41.05,41.12,210600,41.12
2011-11-10,41.68,41.78,41.56,41.69,685200,41.69
2011-11-09,41.75,41.96,41.72,41.89,216500,41.89
2011-11-08,41.83,41.88,41.62,41.74,136100,41.74
2011-11-07,42.11,42.15,42.05,42.09,139000,42.09
2011-11-04,42.19,42.36,42.18,42.29,159000,42.29
2011-11-03,42.04,42.16,41.98,42.12,107100,42.12
2011-11-02,42.18,42.20,42.06,42.15,147500,42.15
2011-11-01,42.36,42.56,42.31,42.45,493000,42.45
2011-10-31,42.36,42.56,42.31,42.42,1603100,42.42
2011-10-28,39.81,39.84,39.72,39.81,241400,39.81
2011-10-27,39.89,40.06,39.75,39.98,434400,39.98
2011-10-26,39.93,40.39,39.92,40.32,326700,40.32
2011-10-25,40.16,40.22,39.79,40.02,872100,40.02
2011-10-24,40.16,40.24,40.07,40.14,257700,40.14
2011-10-21,40.18,40.36,40.10,40.22,601000,40.22
2011-10-20,41.03,41.16,40.94,40.99,378900,40.99
2011-10-19,40.89,40.97,40.82,40.91,532400,40.91
2011-10-18,40.88,41.06,40.83,40.93,742300,40.93
2011-10-17,41.27,41.28,40.71,40.97,594600,40.97
2011-10-14,41.15,41.63,41.01,41.37,1842000,41.37
2011-10-13,40.98,41.04,40.91,40.99,475000,40.99
2011-10-12,13.83,13.89,13.80,13.85,92500,41.55
2011-10-11,13.61,13.63,13.59,13.60,78800,40.80
2011-10-10,13.60,13.63,13.59,13.59,98100,40.77
2011-10-07,13.63,13.68,13.61,13.67,134200,41.01
2011-10-06,13.62,13.63,13.57,13.58,94300,40.74
2011-10-05,13.65,13.74,13.62,13.63,93200,40.89
2011-10-04,13.63,13.71,13.61,13.69,47200,41.07
2011-10-03,13.64,13.65,13.55,13.58,163800,40.74
2011-09-30,13.63,13.80,13.63,13.78,350400,41.34
2011-09-29,13.67,13.73,13.60,13.65,108700,40.95
2011-09-28,13.53,13.59,13.50,13.57,65700,40.71
2011-09-27,13.53,13.67,13.52,13.65,214000,40.95
2011-09-26,13.50,13.56,13.49,13.54,136300,40.62
2011-09-23,13.43,13.70,13.43,13.60,150100,40.80
2011-09-22,13.46,13.57,13.41,13.48,494300,40.44
2011-09-21,13.50,13.62,13.48,13.61,69400,40.83
2011-09-20,13.58,13.59,13.50,13.51,86900,40.53
2011-09-19,13.64,13.67,13.49,13.57,289200,40.71
2011-09-16,13.65,13.72,13.63,13.67,39600,41.01
2011-09-15,13.67,13.67,13.59,13.60,315100,40.80
2011-09-14,13.61,13.65,13.59,13.59,514200,40.77
2011-09-13,13.67,13.71,13.66,13.69,246800,41.07
2011-09-12,13.83,13.87,13.72,13.83,139000,41.49
2011-09-09,14.02,14.04,13.76,13.92,384000,41.76
2011-09-08,13.85,13.96,13.83,13.91,183200,41.73
2011-09-07,13.87,13.90,13.83,13.83,84500,41.49
2011-09-06,13.92,13.99,13.78,13.99,548600,41.97
2011-09-02,13.68,13.69,13.63,13.68,82400,41.04
2011-09-01,13.74,13.81,13.66,13.67,111300,41.01
2011-08-31,13.60,13.69,13.54,13.60,111100,40.80
2011-08-30,13.66,13.67,13.61,13.63,119600,40.89
2011-08-29,13.68,13.76,13.67,13.68,122700,41.04
2011-08-26,13.62,13.78,13.58,13.64,145600,40.92
2011-08-25,13.82,14.00,13.78,13.94,204600,41.82
2011-08-24,13.60,13.79,13.58,13.76,236000,41.28
2011-08-23,13.58,13.67,13.57,13.65,73300,40.95
2011-08-22,13.67,13.70,13.66,13.68,108200,41.04
2011-08-19,13.53,13.60,13.39,13.58,323400,40.74
2011-08-18,13.60,13.63,13.57,13.61,126700,40.83
2011-08-17,13.57,13.62,13.55,13.58,111700,40.74
2011-08-16,13.73,13.73,13.65,13.67,85300,41.01
2011-08-15,13.62,13.70,13.61,13.69,129300,41.07
2011-08-12,13.64,13.72,13.61,13.69,182600,41.07
2011-08-11,13.67,13.73,13.61,13.71,112200,41.13
2011-08-10,13.55,13.71,13.52,13.70,379600,41.10
2011-08-09,13.83,13.89,13.64,13.75,493300,41.25
2011-08-08,14.07,14.08,13.94,14.03,1109900,42.09
2011-08-05,14.40,14.40,14.28,14.31,382000,42.93
2011-08-04,14.60,14.62,14.39,14.53,2031100,43.59
2011-08-03,13.83,13.84,13.73,13.81,186800,41.43
2011-08-02,13.91,13.91,13.80,13.84,532000,41.52
2011-08-01,13.72,13.92,13.56,13.87,1185000,41.61
2011-07-29,13.85,13.91,13.78,13.81,670800,41.43
2011-07-28,14.13,14.14,14.08,14.10,148800,42.30
2011-07-27,14.13,14.23,14.10,14.17,257200,42.51
2011-07-26,14.20,14.23,14.12,14.16,238700,42.48
2011-07-25,14.25,14.33,14.23,14.30,173500,42.90
2011-07-22,14.35,14.36,14.28,14.34,234300,43.02
2011-07-21,14.42,14.45,14.31,14.35,194800,43.05
2011-07-20,14.52,14.53,14.44,14.47,193700,43.41
2011-07-19,14.55,14.65,14.48,14.62,126300,43.86
2011-07-18,14.58,14.61,14.56,14.56,57300,43.68
2011-07-15,14.63,14.63,14.55,14.58,74100,43.74
2011-07-14,14.55,14.66,14.55,14.60,147500,43.80
2011-07-13,14.65,14.66,14.51,14.55,415000,43.65
2011-07-12,14.84,14.84,14.66,14.71,548700,44.13
2011-07-11,15.10,15.10,14.97,15.04,274600,45.12
2011-07-08,15.20,15.20,15.14,15.17,108500,45.51
2011-07-07,15.42,15.43,15.38,15.39,67200,46.17
2011-07-06,15.26,15.34,15.23,15.30,66600,45.90
2011-07-05,15.33,15.37,15.32,15.33,71200,45.99
2011-07-01,15.23,15.37,15.23,15.23,129700,45.69
2011-06-30,15.10,15.26,15.09,15.13,261400,45.39
2011-06-29,15.19,15.30,15.18,15.27,200100,45.81
2011-06-28,15.26,15.43,15.20,15.36,201600,46.08
2011-06-27,15.30,15.31,15.25,15.27,78300,45.81
2011-06-24,15.05,15.12,15.02,15.12,157900,45.36
2011-06-23,15.20,15.21,15.09,15.15,136000,45.45
